concept_id,concept_name
45766075,Acute anterior ST segment elevation myocardial infarction
4178129,Acute anteroapical myocardial infarction
4267568,Acute anteroseptal myocardial infarction
312327,Acute myocardial infarction
44782769,Acute myocardial infarction due to left coronary artery occlusion
604425,Acute myocardial infarction due to occlusion of circumflex branch of left coronary artery
44782712,Acute myocardial infarction due to right coronary artery occlusion
45766115,Acute myocardial infarction during procedure
434376,Acute myocardial infarction of anterior wall
45766150,Acute myocardial infarction of anterior wall involving right ventricle
438438,Acute myocardial infarction of anterolateral wall
3654466,Acute myocardial infarction of apex of heart
4243372,Acute myocardial infarction of apical-lateral wall
4108669,Acute myocardial infarction of atrium
4151046,Acute myocardial infarction of basal-lateral wall
4275436,Acute myocardial infarction of high lateral wall
438170,Acute myocardial infarction of inferior wall
45771322,Acute myocardial infarction of inferior wall involving right ventricle
438447,Acute myocardial infarction of inferolateral wall
3654467,Acute myocardial infarction of inferolateral wall with posterior extension
441579,Acute myocardial infarction of inferoposterior wall
436706,Acute myocardial infarction of lateral wall
4324413,Acute myocardial infarction of posterobasal wall
4051874,Acute myocardial infarction of posterolateral wall
3654465,Acute myocardial infarction of right ventricle
4303359,Acute myocardial infarction of septum
4145721,Acute non-Q wave infarction
4119944,Acute non-Q wave infarction - anterolateral
4119456,Acute non-Q wave infarction - anteroseptal
4119945,Acute non-Q wave infarction - inferior
4119946,Acute non-Q wave infarction - inferolateral
4121466,Acute non-Q wave infarction - lateral
4124685,Acute non-Q wave infarction - widespread
4270024,Acute non-ST segment elevation myocardial infarction
35610091,Acute nontransmural myocardial infarction
319039,Acute posterior myocardial infarction
4119457,Acute Q wave infarction - anterolateral
4119943,Acute Q wave infarction - anteroseptal
4121464,Acute Q wave infarction - inferior
4121465,Acute Q wave infarction - inferolateral
4124684,Acute Q wave infarction - lateral
4119948,Acute Q wave infarction - widespread
4126801,Acute Q wave myocardial infarction
4296653,Acute ST segment elevation myocardial infarction
3661504,Acute ST segment elevation myocardial infarction due to distal left anterior descending coronary artery occlusion
46270162,Acute ST segment elevation myocardial infarction due to left coronary artery occlusion
3661503,Acute ST segment elevation myocardial infarction due to mid left anterior descending coronary artery occlusion
3661520,Acute ST segment elevation myocardial infarction due to occlusion of anterior descending branch of left coronary artery
604427,Acute ST segment elevation myocardial infarction due to occlusion of circumflex branch of left coronary artery
3661547,Acute ST segment elevation myocardial infarction due to occlusion of diagonal branch of anterior descending branch of left coronary artery
3661642,Acute ST segment elevation myocardial infarction due to occlusion of distal portion of right coronary artery
3655133,Acute ST segment elevation myocardial infarction due to occlusion of intermediate artery
3661644,Acute ST segment elevation myocardial infarction due to occlusion of marginal branch of right coronary artery
3661643,Acute ST segment elevation myocardial infarction due to occlusion of mid portion of right coronary artery
3661645,Acute ST segment elevation myocardial infarction due to occlusion of posterior descending branch of right coronary artery
3661646,Acute ST segment elevation myocardial infarction due to occlusion of posterior lateral branch of right coronary artery
3661641,Acute ST segment elevation myocardial infarction due to occlusion of proximal portion of right coronary artery
3661524,Acute ST segment elevation myocardial infarction due to occlusion of septal branch of anterior descending branch of left coronary artery
3661502,Acute ST segment elevation myocardial infarction due to proximal left anterior descending coronary artery occlusion
46270163,Acute ST segment elevation myocardial infarction due to right coronary artery occlusion
43020460,Acute ST segment elevation myocardial infarction involving left anterior descending coronary artery
45766076,Acute ST segment elevation myocardial infarction of anterior wall involving right ventricle
761736,Acute ST segment elevation myocardial infarction of anteroapical wall
46270159,Acute ST segment elevation myocardial infarction of anterolateral wall
46270160,Acute ST segment elevation myocardial infarction of anteroseptal wall
604429,Acute ST segment elevation myocardial infarction of apex of heart
45766116,Acute ST segment elevation myocardial infarction of inferior wall
45766151,Acute ST segment elevation myocardial infarction of inferior wall involving right ventricle
35611570,Acute ST segment elevation myocardial infarction of inferolateral wall
35611571,Acute ST segment elevation myocardial infarction of inferoposterior wall
46274044,Acute ST segment elevation myocardial infarction of lateral wall
46270161,Acute ST segment elevation myocardial infarction of posterior wall
46273495,Acute ST segment elevation myocardial infarction of posterobasal wall
46270158,Acute ST segment elevation myocardial infarction of posterolateral wall
604430,Acute ST segment elevation myocardial infarction of right ventricle
46270164,Acute ST segment elevation myocardial infarction of septum
444406,Acute subendocardial infarction
35610093,Acute transmural myocardial infarction
4119947,Acute widespread myocardial infarction
3189643,Anterior subendocardial myocardial infarction
37109912,Arrhythmia due to and following acute myocardial infarction
438172,Atrial septal defect due to and following acute myocardial infarction
4124687,Cardiac rupture due to and following acute myocardial infarction
766257,Exacerbation of myocardial ischemia
4215259,First myocardial infarction
4108678,Hemopericardium due to and following acute myocardial infarction
4323202,Mixed myocardial ischemia and infarction
4329847,Myocardial infarction
604179,Myocardial infarction due to atherothrombotic coronary artery disease
37309626,Myocardial infarction due to demand ischemia
4170094,Myocardial infarction in recovery phase
618951,Myocardial infarction with non-obstructive coronary artery
4200113,Non-Q wave myocardial infarction
4030582,Postoperative myocardial infarction
35610087,Postoperative nontransmural myocardial infarction
4206867,Postoperative subendocardial myocardial infarction
35610089,Postoperative transmural myocardial infarction
4207921,Postoperative transmural myocardial infarction of anterior wall
4209541,Postoperative transmural myocardial infarction of inferior wall
37109911,Pulmonary embolism due to and following acute myocardial infarction
4108679,Rupture of cardiac wall without hemopericardium as current complication following acute myocardial infarction
4108219,Rupture of chordae tendinae due to and following acute myocardial infarction
4147223,Rupture of ventricle due to acute myocardial infarction
4124686,Silent myocardial infarction
765132,Subendocardial myocardial infarction
4108217,Subsequent myocardial infarction
4108677,Subsequent myocardial infarction of anterior wall
4108218,Subsequent myocardial infarction of inferior wall
45766241,Subsequent non-ST segment elevation myocardial infarction
45766114,Subsequent ST segment elevation myocardial infarction
45766113,Subsequent ST segment elevation myocardial infarction of anterior wall
45773170,Subsequent ST segment elevation myocardial infarction of inferior wall
4108680,"Thrombosis of atrium, auricular appendage, and ventricle due to and following acute myocardial infarction"
439693,True posterior myocardial infarction
37109910,Ventricular aneurysm due to and following acute myocardial infarction
45766212,Mitral valve regurgitation due to and following acute myocardial infarction
