"","Id","Code","Name","Class","Standard Concept Caption","RC","DRC","PC","DPC","Domain","Vocabulary","Count"
"","321588","56265001","Heart disease","Clinical Finding","Standard","44,232","6,355,991","23,912","1,617,621","Condition","SNOMED","1"
"","433128","116223007","Complication","Clinical Finding","Standard","10,163","2,747,316","4,762","1,078,411","Condition","SNOMED","1"
"","4027255","128599005","Structural disorder of heart","Clinical Finding","Standard","0","2,551,817","0","716,475","Condition","SNOMED","1"
"","316139","84114007","Heart failure","Clinical Finding","Standard","126,821","1,389,985","28,403","267,147","Condition","SNOMED","1"
"","4166245","415991003","Disorder of cardiac ventricle","Clinical Finding","Standard","0","1,248,919","0","241,901","Condition","SNOMED","1"
"","318443","72092001","Arteriosclerotic vascular disease","Clinical Finding","Standard","1,625","1,114,715","1,167","264,598","Condition","SNOMED","1"
"","3655971","870575001","Atrial cardiopathy","Clinical Finding","Standard","0","1,079,467","0","174,702","Condition","SNOMED","1"
"","4187067","414024009","Disorder of coronary artery","Clinical Finding","Standard","0","955,611","0","214,936","Condition","SNOMED","1"
"","37116489","733217006","Injury of intrathoracic organ","Clinical Finding","Standard","28","816,937","17","302,808","Condition","SNOMED","1"
"","313217","49436004","Atrial fibrillation","Clinical Finding","Standard","728,749","799,327","78,065","91,395","Condition","SNOMED","1"
"","4152156","282728007","Cardiovascular injury","Clinical Finding","Standard","37","787,511","36","292,652","Condition","SNOMED","1"
"","4028367","128487001","Acute disease of cardiovascular system","Clinical Finding","Standard","19,138","778,785","10,184","252,255","Condition","SNOMED","1"
"","319835","42343007","Congestive heart failure","Clinical Finding","Standard","660,367","709,385","96,119","113,995","Condition","SNOMED","1"
"","43530876","609410002","Necrosis of anatomical site","Clinical Finding","Standard","0","647,896","0","225,190","Condition","SNOMED","1"
"","4239975","57809008","Myocardial disease","Clinical Finding","Standard","0","536,681","0","173,423","Condition","SNOMED","1"
"","40481919","443502000","Coronary atherosclerosis","Clinical Finding","Standard","249,712","450,373","61,883","98,313","Condition","SNOMED","2"
"","4132088","127337006","Acute heart disease","Clinical Finding","Standard","0","412,060","0","132,754","Condition","SNOMED","1"
"","438791","196115007","Pulmonary congestion and hypostasis","Clinical Finding","Standard","313,229","313,229","121,384","121,384","Condition","SNOMED","1"
"","254061","60046008","Pleural effusion","Clinical Finding","Standard","300,567","306,379","91,535","92,927","Condition","SNOMED","1"
"","4256228","409622000","Respiratory failure","Clinical Finding","Standard","17,300","299,906","3,411","56,837","Condition","SNOMED","1"
"","315286","413838009","Chronic ischemic heart disease","Clinical Finding","Standard","272,203","272,203","82,048","82,048","Condition","SNOMED","4"
"","197320","14669001","Acute renal failure syndrome","Clinical Finding","Standard","255,544","260,116","53,285","55,135","Condition","SNOMED","1"
"","319049","65710008","Acute respiratory failure","Clinical Finding","Standard","198,907","250,487","35,678","44,749","Condition","SNOMED","1"
"","321319","85898001","Cardiomyopathy","Clinical Finding","Standard","34,062","228,811","6,795","51,252","Condition","SNOMED","1"
"","4354249","251061000","Myocardial necrosis","Clinical Finding","Standard","0","209,563","0","87,981","Condition","SNOMED","1"
"","321318","194828000","Angina pectoris","Clinical Finding","Standard","93,089","202,826","40,444","87,271","Condition","SNOMED","4"
"","764123","451041000124103","Atherosclerosis of coronary artery without angina pectoris","Clinical Finding","Standard","200,661","200,661","36,430","36,430","Condition","SNOMED","1"
"","439846","85232009","Left heart failure","Clinical Finding","Standard","187,263","187,376","35,214","35,243","Condition","SNOMED","1"
"","443580","417996009","Systolic heart failure","Clinical Finding","Standard","28,910","181,109","10,511","42,123","Condition","SNOMED","1"
"","4232495","89461002","Primary cardiomyopathy","Clinical Finding","Standard","136,472","136,480","28,364","28,364","Condition","SNOMED","1"
"","40457757","253549006","Ventricular septal abnormality","Clinical Finding","Standard","0","126,610","0","13,931","Condition","SNOMED","1"
"","201965","27942005","Shock","Clinical Finding","Standard","39,116","119,017","15,030","41,491","Condition","SNOMED","2"
"","434814","269191009","Late effect of medical and surgical care complication","Clinical Finding","Standard","117,434","117,434","65,744","65,744","Condition","SNOMED","1"
"","434462","30288003","Ventricular septal defect","Clinical Finding","Standard","62,983","110,659","8,653","11,981","Condition","SNOMED","1"
"","315296","4557003","Preinfarction syndrome","Clinical Finding","Standard","95,346","100,250","40,687","42,987","Condition","SNOMED","2"
"","4176969","363294003","Sequelae of cardiovascular disorders","Clinical Finding","Standard","752","98,907","527","35,464","Condition","SNOMED","4"
"","4103295","25569003","Ventricular tachycardia","Clinical Finding","Standard","17,031","92,917","3,639","20,489","Condition","SNOMED","1"
"","42537729","737276005","Aortocoronary bypass graft present","Clinical Finding","Standard","89,135","89,135","25,220","25,220","Condition","SNOMED","1"
"","440417","59282003","Pulmonary embolism","Clinical Finding","Standard","19,894","84,660","2,995","16,353","Condition","SNOMED","1"
"","437579","66657009","Paroxysmal ventricular tachycardia","Clinical Finding","Standard","75,357","75,357","16,565","16,565","Condition","SNOMED","1"
"","443962","48724000","Mitral valve regurgitation","Clinical Finding","Standard","0","74,547","0","32,302","Condition","SNOMED","1"
"","317002","45007003","Low blood pressure","Clinical Finding","Standard","48,994","73,514","26,156","36,836","Condition","SNOMED","1"
"","4166844","4554005","Intraventricular conduction defect","Clinical Finding","Standard","308","71,093","123","41,961","Condition","SNOMED","1"
"","435517","51387008","Acidosis","Clinical Finding","Standard","43,367","68,941","19,800","27,511","Condition","SNOMED","1"
"","4101621","253516002","Right ventricular abnormality","Clinical Finding","Standard","0","66,268","0","5,402","Condition","SNOMED","1"
"","40480603","443254009","Acute systolic heart failure","Clinical Finding","Standard","17,884","66,211","5,595","16,036","Condition","SNOMED","1"
"","444044","35455006","Acute tubular necrosis","Clinical Finding","Standard","59,889","59,889","15,429","15,429","Condition","SNOMED","1"
"","40480602","443253003","Acute on chronic systolic heart failure","Clinical Finding","Standard","40,156","45,399","7,869","9,621","Condition","SNOMED","1"
"","4162038","2929001","Occlusion of artery","Clinical Finding","Standard","0","45,307","0","23,914","Condition","SNOMED","1"
"","4025194","105980002","Disease affecting entire cardiovascular system","Clinical Finding","Standard","0","42,541","0","10,553","Condition","SNOMED","1"
"","4181217","363296001","Sequelae of disorders classified by disorder-system","Clinical Finding","Standard","0","38,169","0","16,939","Condition","SNOMED","1"
"","434004","21639008","Hypervolemia","Clinical Finding","Standard","34,901","35,050","13,320","13,408","Condition","SNOMED","1"
"","40481042","443343001","Acute diastolic heart failure","Clinical Finding","Standard","8,910","32,919","3,002","9,864","Condition","SNOMED","1"
"","442982","253535002","Left ventricular abnormality","Clinical Finding","Standard","0","31,148","0","11,178","Condition","SNOMED","1"
"","4263712","46109009","Subendocardial ischemia","Clinical Finding","Standard","0","30,917","0","14,803","Condition","SNOMED","2"
"","40481043","443344007","Acute on chronic diastolic heart failure","Clinical Finding","Standard","15,838","21,081","4,290","6,042","Condition","SNOMED","1"
"","261600","40541001","Acute pulmonary edema","Clinical Finding","Standard","19,444","19,493","11,418","11,448","Condition","SNOMED","1"
"","196236","76571007","Septic shock","Clinical Finding","Standard","18,464","18,944","8,386","8,571","Condition","SNOMED","1"
"","200618","58581001","Postoperative shock","Clinical Finding","Standard","16,991","17,159","6,173","6,270","Condition","SNOMED","2"
"","443563","429673002","Arteriosclerosis of coronary artery bypass graft","Clinical Finding","Standard","6,282","16,998","2,591","8,812","Condition","SNOMED","2"
"","4110961","194849004","Generalized ischemic myocardial dysfunction","Clinical Finding","Standard","16,048","16,048","2,872","2,872","Condition","SNOMED","1"
"","444101","46113002","Hypertensive heart failure","Clinical Finding","Standard","4,371","14,566","1,859","9,293","Condition","SNOMED","1"
"","4163710","399020009","Dilated cardiomyopathy","Clinical Finding","Standard","9,656","14,386","1,834","3,354","Condition","SNOMED","1"
"","4138837","3238004","Pericarditis","Clinical Finding","Standard","34","13,565","17","6,189","Condition","SNOMED","1"
"","36712983","15960141000119102","Angina co-occurrent and due to coronary arteriosclerosis","Clinical Finding","Standard","8,006","12,910","2,823","5,123","Condition","SNOMED","4"
"","142026","271966006","Disorder of cardiovascular prostheses and implants","Clinical Finding","Standard","9,493","12,878","4,938","6,477","Condition","SNOMED","1"
"","377845","389098007","Anoxic encephalopathy","Clinical Finding","Standard","11,277","11,579","3,395","3,451","Condition","SNOMED","1"
"","437894","71908006","Ventricular fibrillation","Clinical Finding","Standard","10,650","10,650","4,215","4,215","Condition","SNOMED","1"
"","44784623","78741000119103","Acute coronary artery occlusion not resulting in myocardial infarction","Clinical Finding","Standard","9,671","9,671","2,397","2,397","Condition","SNOMED","4"
"","42537730","737278006","Coronary artery graft present","Clinical Finding","Standard","9,666","9,666","4,354","4,354","Condition","SNOMED","1"
"","46271075","709111008","Acute hypoxemic respiratory failure","Clinical Finding","Standard","7,723","9,346","1,654","2,004","Condition","SNOMED","1"
"","40482638","442224005","Arteriosclerosis of autologous vein coronary artery bypass graft","Clinical Finding","Standard","8,624","8,624","4,831","4,831","Condition","SNOMED","1"
"","44782718","153931000119109","Acute combined systolic and diastolic heart failure","Clinical Finding","Standard","2,928","8,171","820","2,572","Condition","SNOMED","1"
"","4188331","46847001","Chronic pulmonary edema","Clinical Finding","Standard","8,157","8,157","5,465","5,465","Condition","SNOMED","1"
"","37312532","792842004","Coronary arteriosclerosis in artery of transplanted heart","Clinical Finding","Standard","7,949","7,949","1,358","1,358","Condition","SNOMED","1"
"","321109","28574005","Congenital anomaly of coronary artery","Clinical Finding","Standard","7,397","7,397","2,750","2,750","Condition","SNOMED","1"
"","4184762","55930002","EKG ST segment changes","Clinical Finding","Standard","0","7,167","0","1,985","Condition","SNOMED","1"
"","438730","21420006","Alkalosis","Clinical Finding","Standard","5,609","6,174","4,096","4,119","Condition","SNOMED","1"
"","44782733","153951000119103","Acute on chronic combined systolic and diastolic heart failure","Clinical Finding","Standard","5,243","5,243","1,752","1,752","Condition","SNOMED","1"
"","36712779","117051000119103","Chronic total occlusion of coronary artery","Clinical Finding","Standard","5,242","5,242","3,369","3,369","Condition","SNOMED","2"
"","46273390","79031000119101","Dependence on respirator","Clinical Finding","Standard","4,912","4,912","2,947","2,947","Condition","SNOMED","1"
"","4250169","74021003","Bifascicular block","Clinical Finding","Standard","1,598","4,906","703","3,256","Condition","SNOMED","1"
"","314664","9651007","Long QT syndrome","Clinical Finding","Standard","4,107","4,107","1,129","1,129","Condition","SNOMED","1"
"","40483189","442421004","Arteriosclerosis of arterial coronary artery bypass graft","Clinical Finding","Standard","1,867","1,867","1,245","1,245","Condition","SNOMED","1"
