concept_id,concept_name,rationale
433208,Disorder of pulmonary circulation,Parent of topmost gold-standard concept
4176962,Obesity associated disorder,Sibling of a gold-standard concept
253549,Disorder of connective tissue,PHOEBE Recommendation
435524,Sleep disorder,PHOEBE Recommendation
198185,Chronic renal failure,PHOEBE Recommendation
319835,Congestive heart failure,PHOEBE Recommendation
4028244,Chronic disease of cardiovascular system,PHOEBE Recommendation
4167864,Effect of exposure to physical force,PHOEBE Recommendation
4134586,Chronic heart disease,PHOEBE Recommendation
313217,Atrial fibrilation,PHOEBE Recommendation
40480603,Acute systolic heart failure,PHOEBE Recommendation
40481042,Acute diastolic heart failure,PHOEBE Recommendation
4281749,Heart valve disorder,PHOEBE Recommendation
440417,Pulmonary embolism,PHOEBE Recommendation
433740,Immunodeficiency disorder,PHOEBE Recommendation
40481043,Acute on chronic diastolic heart failure,PHOEBE Recommendation
40480602,Acute on chronic systolic heart failure,PHOEBE Recommendation
442106,Idiopathic disease,PHOEBE Recommendation
44782718,Acute combined systolic and diastolic heart failure,PHOEBE Recommendation
4108173,Pulmonary artery finding,PHOEBE Recommendation
42873170,Dependence on supplemental oxygen,PHOEBE Recommendation
44782733,Acute on chronic combined systolic and diastolic heart failure,PHOEBE Recommendation
312723,Congenital heart disease,PHOEBE Recommendation
444101,Hypertensive heart failure,PHOEBE Recommendation
4006473,Autosomal dominant hereditary disorder,PHOEBE Recommendation
315273,Mitral valve stenosis,PHOEBE Recommendation
439696,Hypertensive heart and renal disease with (congestive) heart failure,PHOEBE Recommendation
4312226,Autosomal recessive hereditary disorder,PHOEBE Recommendation
312935,Venous hypertension,PHOEBE Recommendation
439727,Human immunodeficiency virus infection,PHOEBE Recommendation
315085,Lymphadenopathy,PHOEBE Recommendation
4130197,Histiocytic syndrome,PHOEBE Recommendation
4318544,Renal tubular disorder,PHOEBE Recommendation
192680,Portal hypertension,PHOEBE Recommendation
4190192,Disorder of blood vessels of thorax,Ancestor of gold-standard concept
45768905,Pulmonary capillaritis,SIbling of topmost gold-standard concept
45766196,Acquired abnormality of pulmonary arterial tree,SIbling of topmost gold-standard concept
43021994,Arterial duct dependent pulmonary circulation,SIbling of topmost gold-standard concept
43020888,Obstruction of pulmonary great vein due to compression by right atrial dilatation,SIbling of topmost gold-standard concept
43020909,Obstruction of surgically constructed pulmonary venous pathway as complication of procedure,SIbling of topmost gold-standard concept
43021605,Acquired abnormality of pulmonary venous structure,SIbling of topmost gold-standard concept
40491522,Pulmonary vein dilatation,SIbling of topmost gold-standard concept
40487093,Tortuosity of pulmonary artery,SIbling of topmost gold-standard concept
40487095,Hypoperfusion of right pulmonary artery due to preferential flow to left pulmonary artery,SIbling of topmost gold-standard concept
40487094,Hypoperfusion of left pulmonary artery due to preferential flow to right pulmonary artery,SIbling of topmost gold-standard concept
40482501,Congenital hypoplasia of right pulmonary artery,SIbling of topmost gold-standard concept
40482502,Congenital hypoplasia of left pulmonary artery,SIbling of topmost gold-standard concept
40482455,Congenital dilation of right pulmonary artery,SIbling of topmost gold-standard concept
40482073,Congenital dilation of left pulmonary artery,SIbling of topmost gold-standard concept
4121650,Pulmonary vein stenosis,SIbling of topmost gold-standard concept
4109343,Pulmonary trunk abnormality,SIbling of topmost gold-standard concept
4317288,Pulmonary artery stenosis,SIbling of topmost gold-standard concept
4354083,Peripheral pulmonary artery disease,SIbling of topmost gold-standard concept
440417,Pulmonary embolism,SIbling of topmost gold-standard concept
4006984,Congenital anomaly of pulmonary veins,SIbling of topmost gold-standard concept
4001998,Pulmonary apoplexy,SIbling of topmost gold-standard concept
441593,Arteriovenous fistula of pulmonary vessels,SIbling of topmost gold-standard concept
4296039,Pulmonary endarteritis,SIbling of topmost gold-standard concept
4232485,Pulmonary veno-occlusive disease,SIbling of topmost gold-standard concept
4239826,Pulmonary thrombosis,SIbling of topmost gold-standard concept
435646,Congenital anomaly of pulmonary artery,SIbling of topmost gold-standard concept
4173261,Idiopathic pulmonary arteriosclerosis,SIbling of topmost gold-standard concept
4101572,Congenital pulmonary arteriovenous aneurysm,SIbling of topmost gold-standard concept
4320819,Pulmonary cyanosis,SIbling of topmost gold-standard concept
4343344,Lymphomatoid granulomatosis of lung,SIbling of topmost gold-standard concept
4077129,Pulmonary arteritis,SIbling of topmost gold-standard concept
4221695,Rupture of pulmonary vessel,SIbling of topmost gold-standard concept
4035327,Stricture of pulmonary vessel,SIbling of topmost gold-standard concept
4112096,Pulmonary atresia with confluent pulmonary arteries,SIbling of topmost gold-standard concept
4119302,Pulmonary arteriovenous malformation,SIbling of topmost gold-standard concept
4353837,Dilatation of pulmonary artery,SIbling of topmost gold-standard concept
4101018,Obstructed pulmonary venous connection,SIbling of topmost gold-standard concept
4101014,Solitary pulmonary trunk with aortic atresia,SIbling of topmost gold-standard concept
440260,Pulmonary blood vessel injury,SIbling of topmost gold-standard concept
4193236,Ayerza's syndrome,SIbling of topmost gold-standard concept
