"","Id","Code","Name","Class","Standard Concept Caption","RC","DRC","PC","DPC","Domain","Vocabulary","Count"
"","4185503","298705000","Finding of region of thorax","Clinical Finding","Standard","0","13,838,349","0","3,877,572","Condition","SNOMED","1"
"","321588","56265001","Heart disease","Clinical Finding","Standard","44,232","6,355,991","23,912","1,617,621","Condition","SNOMED","1"
"","4344497","239953001","Soft tissue lesion","Clinical Finding","Standard","0","4,800,440","0","2,308,860","Condition","SNOMED","1"
"","316866","38341003","Hypertensive disorder","Clinical Finding","Standard","10,835","3,342,999","2,081","478,595","Condition","SNOMED","1"
"","433128","116223007","Complication","Clinical Finding","Standard","10,163","2,747,316","4,762","1,078,411","Condition","SNOMED","1"
"","4115260","301230006","Lung finding","Clinical Finding","Standard","0","2,707,107","0","847,178","Condition","SNOMED","1"
"","4027255","128599005","Structural disorder of heart","Clinical Finding","Standard","0","2,551,817","0","716,475","Condition","SNOMED","1"
"","40481517","444905003","Mass of soft tissue","Clinical Finding","Standard","0","2,521,382","0","1,358,996","Condition","SNOMED","1"
"","257907","19829001","Disorder of lung","Clinical Finding","Standard","221,181","2,367,253","86,310","758,478","Condition","SNOMED","1"
"","4095631","248718009","Arterial finding","Clinical Finding","Standard","0","2,096,250","0","565,633","Condition","SNOMED","1"
"","321887","359557001","Disorder of artery","Clinical Finding","Standard","38,841","1,997,421","17,191","536,059","Condition","SNOMED","1"
"","4024552","105981003","Disorder of cardiac function","Clinical Finding","Standard","0","1,525,514","0","320,592","Condition","SNOMED","1"
"","4208786","312225001","Musculoskeletal and connective tissue disorder","Clinical Finding","Standard","0","1,039,287","0","487,984","Condition","SNOMED","2"
"","46271022","709044004","Chronic kidney disease","Clinical Finding","Standard","301,697","984,803","42,888","131,589","Condition","SNOMED","1"
"","4281749","368009","Heart valve disorder","Clinical Finding","Standard","0","890,591","0","257,162","Condition","SNOMED","1"
"","313217","49436004","Atrial fibrillation","Clinical Finding","Standard","728,749","799,327","78,065","91,395","Condition","SNOMED","1"
"","319835","42343007","Congestive heart failure","Clinical Finding","Standard","660,367","709,385","96,119","113,995","Condition","SNOMED","5"
"","4028244","128292002","Chronic disease of cardiovascular system","Clinical Finding","Standard","0","694,460","0","185,140","Condition","SNOMED","1"
"","4185932","414545008","Ischemic heart disease","Clinical Finding","Standard","6,467","693,058","4,034","262,414","Condition","SNOMED","1"
"","192359","42399005","Renal failure syndrome","Clinical Finding","Standard","49,591","650,784","17,187","114,024","Condition","SNOMED","1"
"","4134586","128238001","Chronic heart disease","Clinical Finding","Standard","0","644,555","0","169,089","Condition","SNOMED","1"
