concept_id,concept_name
4292371,Accelerated rheumatoid nodulosis
4297649,Accelerated rheumatoid nodulosis caused by methotrexate
37309722,Bilateral deformity of feet due to rheumatoid arthritis
37309724,Bilateral deformity of hands due to rheumatoid arthritis
37209321,Bilateral rheumatoid arthritis of feet
37209323,Bilateral rheumatoid arthritis of hands
37209322,Bilateral rheumatoid arthritis of knees
37209311,Bilateral rheumatoid nodule of subcutaneous tissue of elbows
37209312,Bilateral rheumatoid nodule of subcutaneous tissue of hands
608810,Bilateral seronegative rheumatoid arthritis of elbow joints
608809,Bilateral seronegative rheumatoid arthritis of feet
608811,Bilateral seronegative rheumatoid arthritis of knees
608812,Bilateral seronegative rheumatoid arthritis of wrists
603301,Bilateral seropositive rheumatoid arthritis of ankle joints
609024,Bilateral seropositive rheumatoid arthritis of feet
603300,Bilateral seropositive rheumatoid arthritis of hip joints
603302,Bilateral seropositive rheumatoid arthritis of joint of elbows
603299,Bilateral seropositive rheumatoid arthritis of knees
603298,Bilateral seropositive rheumatoid arthritis of shoulder regions
608813,Bilateral seropositive rheumatoid arthritis of wrist joint regions
40639636,Chronic rheumatoid nodular fibrosis
4297650,Cutaneous atrophy due to rheumatoid arthritis
4299403,Cutaneous complication of rheumatoid disease
4334806,Deformity of foot due to rheumatoid arthritis
46273442,Deformity of hand due to rheumatoid arthritis
42534841,Deformity of left foot co-occurrent and due to rheumatoid arthritis
42534839,Deformity of left hand co-occurrent and due to rheumatoid arthritis
42534840,Deformity of right foot co-occurrent and due to rheumatoid arthritis
42534838,Deformity of right hand co-occurrent and due to rheumatoid arthritis
4028118,Diffuse interstitial rheumatoid disease of lung
2107572,"Disease prognosis for rheumatoid arthritis assessed, good prognosis documented (RA)"
2107561,"Disease prognosis for rheumatoid arthritis assessed, poor prognosis documented (RA)"
1340460,Exacerbation of rheumatoid arthritis
4200987,Extra-articular rheumatoid process
81097,Felty's syndrome
4114444,Flare of rheumatoid arthritis
607144,Isolated nailfold rheumatoid vasculitis
4132809,Juvenile seropositive polyarthritis
601030,Left ankle seropositive rheumatoid arthritis
601031,Left elbow seropositive rheumatoid arthritis
605414,Left foot seropositive rheumatoid arthritis
601040,Left hip joint seronegative rheumatoid arthritis
601042,Left shoulder region seronegative rheumatoid arthritis
601043,Left wrist region seronegative rheumatoid arthritis
601034,Left wrist region seropositive rheumatoid arthritis
4107913,Myopathy due to rheumatoid arthritis
2108721,Patient receiving first-time biologic disease modifying anti-rheumatic drug therapy for rheumatoid arthritis (RA)
4102493,Polyneuropathy in rheumatoid arthritis
1340523,Progression of rheumatoid arthritis
4306357,Rheumatoid aortitis
4269880,Rheumatoid arteritis
80809,Rheumatoid arthritis
4117687,Rheumatoid arthritis - ankle and/or foot
4115161,Rheumatoid arthritis - hand joint
37117421,Rheumatoid arthritis in remission
4116149,Rheumatoid arthritis of acromioclavicular joint
4116445,Rheumatoid arthritis of ankle
36687005,Rheumatoid arthritis of bilateral ankles
36687002,Rheumatoid arthritis of bilateral elbows
36687003,Rheumatoid arthritis of bilateral hips
36686999,Rheumatoid arthritis of bilateral temporomandibular joints
36687006,Rheumatoid arthritis of bilateral wrists
4116439,Rheumatoid arthritis of cervical spine
4114440,Rheumatoid arthritis of distal interphalangeal joint of finger
4115050,Rheumatoid arthritis of distal radioulnar joint
4116440,Rheumatoid arthritis of elbow
4114441,Rheumatoid arthritis of first metatarsophalangeal joint
4179378,Rheumatoid arthritis of foot
4116150,Rheumatoid arthritis of hip
4114442,Rheumatoid arthritis of interphalangeal joint of toe
36683391,Rheumatoid arthritis of joint of spine
4116151,Rheumatoid arthritis of knee
36685017,Rheumatoid arthritis of left ankle
36685018,Rheumatoid arthritis of left elbow
36685019,Rheumatoid arthritis of left foot
42534834,Rheumatoid arthritis of left hand
42534835,Rheumatoid arthritis of left hip
37108590,Rheumatoid arthritis of left knee
35609009,Rheumatoid arthritis of left shoulder
36687001,Rheumatoid arthritis of left temporomandibular joint
36685020,Rheumatoid arthritis of left wrist
4116153,Rheumatoid arthritis of lesser metatarsophalangeal joint
4116442,Rheumatoid arthritis of metacarpophalangeal joint
4117686,Rheumatoid arthritis of multiple joints
4116443,Rheumatoid arthritis of proximal interphalangeal joint of finger
36685021,Rheumatoid arthritis of right ankle
36685022,Rheumatoid arthritis of right elbow
36685023,Rheumatoid arthritis of right foot
42534836,Rheumatoid arthritis of right hand
42534837,Rheumatoid arthritis of right hip
37108591,Rheumatoid arthritis of right knee
35609010,Rheumatoid arthritis of right shoulder
36687000,Rheumatoid arthritis of right temporomandibular joint
36685024,Rheumatoid arthritis of right wrist
4116444,Rheumatoid arthritis of sacroiliac joint
4114439,Rheumatoid arthritis of shoulder
4116148,Rheumatoid arthritis of sternoclavicular joint
4116446,Rheumatoid arthritis of subtalar joint
4116152,Rheumatoid arthritis of talonavicular joint
4179536,Rheumatoid arthritis of temporomandibular joint
4115051,Rheumatoid arthritis of tibiofibular joint
4116441,Rheumatoid arthritis of wrist
