"","Id","Code","Name","Class","Standard Concept Caption","RC","DRC","PC","DPC","Domain","Vocabulary","Count"
"","4043346","118946009","Disorder of thorax","Clinical Finding","Standard","287","11,131,714","198","3,043,298","Condition","SNOMED","1"
"","40480457","441742003","Evaluation finding","Clinical Finding","Standard","0","7,452,729","0","2,038,950","Condition","SNOMED","1"
"","73553","399269003","Arthropathy","Clinical Finding","Standard","60,604","2,889,994","31,242","1,145,666","Condition","SNOMED","1"
"","4316083","95324001","Skin lesion","Clinical Finding","Standard","0","2,881,099","0","1,528,633","Condition","SNOMED","1"
"","433128","116223007","Complication","Clinical Finding","Standard","10,163","2,747,316","4,762","1,078,411","Condition","SNOMED","1"
"","193460","118937003","Disorder of lower extremity","Clinical Finding","Standard","4,100","2,469,814","2,586","1,012,619","Condition","SNOMED","1"
"","257907","19829001","Disorder of lung","Clinical Finding","Standard","221,181","2,367,253","86,310","758,478","Condition","SNOMED","1"
"","440371","414029004","Disorder of immune function","Clinical Finding","Standard","32,305","1,787,255","2,684","398,754","Condition","SNOMED","1"
"","44782620","700012005","Disorder of free lower limb","Clinical Finding","Standard","0","1,749,711","0","697,338","Condition","SNOMED","1"
"","80180","396275006","Osteoarthritis","Clinical Finding","Standard","250,529","1,134,139","63,122","430,785","Condition","SNOMED","2"
"","4208786","312225001","Musculoskeletal and connective tissue disorder","Clinical Finding","Standard","0","1,039,287","0","487,984","Condition","SNOMED","1"
"","4181062","363168001","Inflammation of skin and/or subcutaneous tissue","Clinical Finding","Standard","0","913,292","0","455,419","Condition","SNOMED","1"
"","4266188","399986003","Disorder of body wall","Clinical Finding","Standard","11,067","863,773","7,987","373,731","Condition","SNOMED","1"
"","4305027","419518009","Finding of ankle or foot","Clinical Finding","Standard","0","826,683","0","373,256","Condition","SNOMED","1"
"","253506","205237003","Pneumonitis","Clinical Finding","Standard","50","653,346","8","231,729","Condition","SNOMED","1"
"","4054054","125610000","Joint injury","Clinical Finding","Standard","0","622,840","0","252,910","Condition","SNOMED","1"
"","4157453","372109003","Disorder of joint of spine","Clinical Finding","Standard","330","542,190","159","291,763","Condition","SNOMED","1"
"","4324765","428724006","Arthropathy of knee joint","Clinical Finding","Standard","37,441","523,150","16,932","168,128","Condition","SNOMED","2"
"","4176946","363179006","Inflammatory disorder of musculoskeletal system","Clinical Finding","Standard","570","509,539","177","151,948","Condition","SNOMED","1"
"","77635","118933004","Disorder of hand","Clinical Finding","Standard","171","454,357","129","248,220","Condition","SNOMED","1"
"","4029964","128597007","Disorder of digit","Clinical Finding","Standard","0","450,519","0","215,080","Condition","SNOMED","1"
"","4181064","363175000","Inflammatory disorder of extremity","Clinical Finding","Standard","0","418,752","0","160,947","Condition","SNOMED","1"
"","195906","129139009","Disorder of lumbar spine","Clinical Finding","Standard","5,153","408,821","3,579","172,027","Condition","SNOMED","2"
"","4090616","280135003","Disorder of soft tissue of upper limb","Clinical Finding","Standard","6","396,443","0","175,718","Condition","SNOMED","1"
"","4119786","233703007","Interstitial lung disease","Clinical Finding","Standard","18,681","393,889","2,055","135,933","Condition","SNOMED","2"
"","4227449","8847002","Spondylosis","Clinical Finding","Standard","1,900","310,801","999","170,220","Condition","SNOMED","1"
"","4291025","3723001","Arthritis","Clinical Finding","Standard","2,482","297,162","849","70,527","Condition","SNOMED","2"
"","4182007","298160000","Inflamed joint","Clinical Finding","Standard","0","297,162","0","70,527","Condition","SNOMED","1"
"","72618","75047002","Disorder of skeletal muscle","Clinical Finding","Standard","15,891","276,151","6,224","91,184","Condition","SNOMED","1"
"","4079750","239873007","Osteoarthritis of knee","Clinical Finding","Standard","227,216","252,937","49,573","59,312","Condition","SNOMED","2"
"","40484571","444003007","Disorder of joint of shoulder region","Clinical Finding","Standard","28,903","238,866","8,998","84,659","Condition","SNOMED","1"
"","4188970","413834006","Chronic disease of immune function","Clinical Finding","Standard","0","228,948","0","54,202","Condition","SNOMED","1"
"","321319","85898001","Cardiomyopathy","Clinical Finding","Standard","34,062","228,811","6,795","51,252","Condition","SNOMED","1"
"","80497","128049000","Disorder of cervical spine","Clinical Finding","Standard","4,244","228,503","3,253","117,091","Condition","SNOMED","1"
"","4193464","313133004","Finding of finger","Clinical Finding","Standard","0","208,802","0","109,920","Condition","SNOMED","1"
"","4180010","363055007","Degenerative disorder of cartilage","Clinical Finding","Standard","0","192,336","0","99,026","Condition","SNOMED","1"
"","439103","53417006","Articular cartilage disorder","Clinical Finding","Standard","1,185","176,659","943","81,666","Condition","SNOMED","1"
"","442106","41969006","Idiopathic disease","Clinical Finding","Standard","0","152,091","0","44,787","Condition","SNOMED","1"
"","4323193","428107009","Disorder of wrist joint","Clinical Finding","Standard","3,564","142,469","1,968","48,557","Condition","SNOMED","1"
"","81454","52011008","Injury of finger","Clinical Finding","Standard","28,767","141,515","20,995","83,516","Condition","SNOMED","2"
"","255891","200936003","Lupus erythematosus","Clinical Finding","Standard","6,787","127,761","1,480","10,000","Condition","SNOMED","1"
"","443357","299413005","Ankle joint finding","Clinical Finding","Standard","399","117,398","326","53,076","Condition","SNOMED","1"
"","443583","428776005","Disorder of ankle joint","Clinical Finding","Standard","0","116,523","0","52,583","Condition","SNOMED","2"
"","4174262","42345000","Polyneuropathy","Clinical Finding","Standard","30,072","113,123","7,813","34,266","Condition","SNOMED","1"
