concept_id,concept_name
36715571,Acidosis due to type 1 diabetes mellitus
45769891,Ankle ulcer due to type 1 diabetes mellitus
37016767,Autonomic neuropathy due to type 1 diabetes mellitus
609098,Bilateral mild nonproliferative retinopathy due to diabetes mellitus type 1
603320,Bilateral moderate nonproliferative retinopathy due to diabetes mellitus type 1
609107,Bilateral nonproliferative retinopathy of eyes due to diabetes mellitus type 1
609120,Bilateral proliferative retinopathy of eyes due to diabetes mellitus type 1
609111,Bilateral severe nonproliferative retinopathy of eyes due to diabetes mellitus type 1
45763585,Blindness due to type 1 diabetes mellitus
4128019,Brittle type 1 diabetes mellitus
4225656,Cataract due to diabetes mellitus type 1
609070,Cheiroarthropathy due to diabetes mellitus type 1
45773688,Chronic kidney disease due to type 1 diabetes mellitus
45773576,Chronic kidney disease stage 1 due to type 1 diabetes mellitus
45769901,Chronic kidney disease stage 2 due to type 1 diabetes mellitus
45771075,Chronic kidney disease stage 3 due to type 1 diabetes mellitus
45769902,Chronic kidney disease stage 4 due to type 1 diabetes mellitus
45769903,Chronic kidney disease stage 5 due to type 1 diabetes mellitus
45769837,Chronic ulcer of skin due to type 1 diabetes mellitus
609191,Coronary artery disease due to type 1 diabetes mellitus
35626765,Cranial nerve palsy due to type 1 diabetes mellitus
45769832,Dermopathy due to type 1 diabetes mellitus
45757674,Diabetes mellitus type 1 without retinopathy
435216,Disorder due to type 1 diabetes mellitus
42538169,Disorder of eye due to type 1 diabetes mellitus
42535539,Disorder of nerve co-occurrent and due to type 1 diabetes mellitus
377821,Disorder of nervous system due to type 1 diabetes mellitus
37016353,Dyslipidemia due to type 1 diabetes mellitus
42689695,Eating disorder co-occurrent with diabetes mellitus type 1
45769904,End stage renal disease on dialysis due to type 1 diabetes mellitus
43531565,Erectile dysfunction due to type 1 diabetes mellitus
766252,Exacerbation of type 1 diabetes mellitus
4221344,Exudative maculopathy due to type 1 diabetes mellitus
4223303,Gangrene due to type 1 diabetes mellitus
37017429,Gastroparesis due to type 1 diabetes mellitus
765533,Glaucoma due to diabetes mellitus type 1
37016348,Hyperglycemia due to type 1 diabetes mellitus
45757432,Hyperlipidemia due to type 1 diabetes mellitus
443592,Hyperosmolality due to uncontrolled type 1 diabetes mellitus
201531,Hyperosmolar coma due to type 1 diabetes mellitus
42535540,Hyperosmolarity due to type 1 diabetes mellitus
45757393,Hypertension concurrent and due to end stage renal disease on dialysis due to type 1 diabetes mellitus
45771067,Hypertension in chronic kidney disease due to type 1 diabetes mellitus
45769876,Hypoglycemia due to type 1 diabetes mellitus
4228112,Hypoglycemic coma due to type 1 diabetes mellitus
45757362,Hypoglycemic unawareness due to type 1 diabetes mellitus
601159,Inflammatory dermatosis due to type 1 diabetes mellitus
4047906,Insulin dependent diabetes mellitus type 1A
4102018,Insulin dependent diabetes mellitus type 1B
36717215,"Intellectual disability, craniofacial dysmorphism, hypogonadism, diabetes mellitus syndrome"
45757073,Ischemia of retina due to type 1 diabetes mellitus
439770,Ketoacidosis due to type 1 diabetes mellitus
4224254,Ketoacidotic coma due to type 1 diabetes mellitus
4143857,Lumbosacral radiculoplexus neuropathy due to type 1 diabetes mellitus
35626069,Macular edema due to type 1 diabetes mellitus
43531006,"Maturity onset diabetes of the young, type 1"
45757535,Microalbuminuria due to type 1 diabetes mellitus
37016179,Mild nonproliferative retinopathy due to type 1 diabetes mellitus
609102,Mild nonproliferative retinopathy of left eye due to diabetes mellitus type 1
609100,Mild nonproliferative retinopathy of right eye due to diabetes mellitus type 1
43530660,Mixed hyperlipidemia due to type 1 diabetes mellitus
37016180,Moderate nonproliferative retinopathy due to type 1 diabetes mellitus
603318,Moderate nonproliferative retinopathy of left eye due to diabetes mellitus type 1
603319,Moderate nonproliferative retinopathy of right eye due to diabetes mellitus type 1
4225055,Mononeuropathy due to type 1 diabetes mellitus
4224709,Multiple complications due to type 1 diabetes mellitus
45769829,Nephrotic syndrome due to type 1 diabetes mellitus
45769830,Neuropathic arthropathy due to type 1 diabetes mellitus
37312218,Neuropathy due to type 1 diabetes mellitus
