"","Id","Code","Name","Class","Standard Concept Caption","RC","DRC","PC","DPC","Domain","Vocabulary","Count"
"","433128","116223007","Complication","Clinical Finding","Standard","10,163","2,747,316","4,762","1,078,411","Condition","SNOMED","1"
"","201820","73211009","Diabetes mellitus","Clinical Finding","Standard","3,030","1,826,708","1,198","252,582","Condition","SNOMED","2"
"","4008576","111552007","Diabetes mellitus without complication","Clinical Finding","Standard","233,560","1,570,261","32,950","197,109","Condition","SNOMED","2"
"","201826","44054006","Type 2 diabetes mellitus","Clinical Finding","Standard","150,821","1,235,153","31,654","167,475","Condition","SNOMED","2"
"","4193704","313436004","Type 2 diabetes mellitus without complication","Clinical Finding","Standard","1,083,167","1,083,167","135,518","135,518","Condition","SNOMED","1"
"","378416","29555009","Retinal disorder","Clinical Finding","Standard","23,006","531,353","10,473","149,149","Condition","SNOMED","1"
"","442793","74627003","Complication due to diabetes mellitus","Clinical Finding","Standard","18,678","516,086","5,883","147,361","Condition","SNOMED","1"
"","4188598","47200007","High risk pregnancy","Clinical Finding","Standard","142,419","158,342","25,689","28,950","Condition","SNOMED","1"
"","435216","420868002","Disorder due to type 1 diabetes mellitus","Clinical Finding","Standard","21,594","84,779","7,721","25,382","Condition","SNOMED","2"
"","40484648","444073006","Type 1 diabetes mellitus uncontrolled","Clinical Finding","Standard","76,319","76,319","11,784","11,784","Condition","SNOMED","2"
"","141663","60168000","Osteomyelitis","Clinical Finding","Standard","19,012","54,378","6,448","20,886","Condition","SNOMED","1"
"","4167354","48130008","Hypogonadism","Clinical Finding","Standard","632","37,334","296","7,115","Condition","SNOMED","1"
"","4058243","199223000","Diabetes mellitus during pregnancy, childbirth and the puerperium","Clinical Finding","Standard","811","29,470","204","6,697","Condition","SNOMED","2"
"","4048027","230571009","Neuropathy associated with endocrine disorder","Clinical Finding","Standard","0","27,661","0","10,847","Condition","SNOMED","1"
"","37016349","368051000119109","Hyperglycemia due to type 2 diabetes mellitus","Clinical Finding","Standard","26,576","26,576","6,103","6,103","Condition","SNOMED","1"
"","40277917","110359009","Intellectual disability","Clinical Finding","Standard","12,975","23,896","4,080","7,567","Condition","SNOMED","1"
"","439394","398302004","Congenital anomaly of face","Clinical Finding","Standard","59","21,367","27","6,515","Condition","SNOMED","1"
"","37016348","367991000119101","Hyperglycemia due to type 1 diabetes mellitus","Clinical Finding","Standard","18,240","18,240","2,502","2,502","Condition","SNOMED","3"
"","42872398","171000119107","Maternal obesity complicating pregnancy, childbirth and the puerperium, antepartum","Clinical Finding","Standard","16,242","16,242","3,991","3,991","Condition","SNOMED","1"
"","4311246","86041002","Pre-existing hypertension in obstetric context","Clinical Finding","Standard","1,975","15,322","363","5,362","Condition","SNOMED","1"
"","376065","421326000","Disorder of nervous system due to type 2 diabetes mellitus","Clinical Finding","Standard","6,872","14,012","2,186","4,361","Condition","SNOMED","1"
"","36715571","721283000","Acidosis due to type 1 diabetes mellitus","Clinical Finding","Standard","0","11,785","0","2,718","Condition","SNOMED","1"
"","439770","420270002","Ketoacidosis due to type 1 diabetes mellitus","Clinical Finding","Standard","11,770","11,785","2,707","2,718","Condition","SNOMED","3"
"","200687","421893009","Renal disorder due to type 1 diabetes mellitus","Clinical Finding","Standard","10,384","10,384","3,069","3,069","Condition","SNOMED","3"
"","377821","421468001","Disorder of nervous system due to type 1 diabetes mellitus","Clinical Finding","Standard","7,446","8,683","2,977","3,494","Condition","SNOMED","3"
"","42538169","739681000","Disorder of eye due to type 1 diabetes mellitus","Clinical Finding","Standard","6,679","8,311","2,783","3,324","Condition","SNOMED","2"
"","4181965","429445008","Chronic ulcer of foot","Clinical Finding","Standard","7,764","7,764","1,383","1,383","Condition","SNOMED","1"
"","37017432","713706002","Polyneuropathy due to type 2 diabetes mellitus","Clinical Finding","Standard","5,451","5,451","1,601","1,601","Condition","SNOMED","1"
"","380097","312912001","Macular edema due to diabetes mellitus","Clinical Finding","Standard","2,901","5,008","725","1,144","Condition","SNOMED","1"
"","318712","421365002","Peripheral circulatory disorder due to type 1 diabetes mellitus","Clinical Finding","Standard","4,577","4,577","2,111","2,111","Condition","SNOMED","2"
"","4159742","371087003","Diabetic foot ulcer","Clinical Finding","Standard","220","2,961","73","661","Condition","SNOMED","1"
"","4009303","111556005","Diabetic ketoacidosis without coma","Clinical Finding","Standard","2,889","2,889","622","622","Condition","SNOMED","2"
"","43530690","1521000119100","Foot ulcer due to type 2 diabetes mellitus","Clinical Finding","Standard","2,741","2,741","588","588","Condition","SNOMED","1"
"","43531007","609563008","Pre-existing diabetes mellitus in pregnancy","Clinical Finding","Standard","522","2,210","110","346","Condition","SNOMED","2"
"","4227210","420789003","Retinopathy due to type 1 diabetes mellitus","Clinical Finding","Standard","462","1,599","161","530","Condition","SNOMED","2"
"","4153218","370999003","Primary hypogonadism","Clinical Finding","Standard","0","1,356","0","420","Condition","SNOMED","1"
"","4274970","65094009","Multiple malformation syndrome with facial defects as major feature","Clinical Finding","Standard","0","1,103","0","710","Condition","SNOMED","1"
"","37016768","712883005","Autonomic neuropathy due to type 2 diabetes mellitus","Clinical Finding","Standard","1,035","1,035","327","327","Condition","SNOMED","1"
"","42535540","368561000119102","Hyperosmolarity due to type 1 diabetes mellitus","Clinical Finding","Standard","0","1,007","0","506","Condition","SNOMED","1"
"","4032787","14735008","Hyperosmolarity","Clinical Finding","Standard","938","938","410","410","Condition","SNOMED","1"
"","43531010","609567009","Pre-existing type 2 diabetes mellitus in pregnancy","Clinical Finding","Standard","820","820","140","140","Condition","SNOMED","1"
"","45769876","84371000119108","Hypoglycemia due to type 1 diabetes mellitus","Clinical Finding","Standard","752","777","184","200","Condition","SNOMED","3"
"","201531","190330002","Hyperosmolar coma due to type 1 diabetes mellitus","Clinical Finding","Standard","723","723","319","319","Condition","SNOMED","1"
"","45763584","60971000119101","Proliferative retinopathy due to type 1 diabetes mellitus","Clinical Finding","Standard","653","653","164","164","Condition","SNOMED","2"
"","376114","312905005","Severe nonproliferative retinopathy due to diabetes mellitus","Clinical Finding","Standard","70","571","40","198","Condition","SNOMED","1"
"","37312218","789542009","Neuropathy due to type 1 diabetes mellitus","Clinical Finding","Standard","0","474","0","171","Condition","SNOMED","1"
