"","Id","Code","Name","Class","Standard Concept Caption","RC","DRC","PC","DPC","Domain","Vocabulary","Count"
"","37205047","784289008","Nerve palsy","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","4292672","402727002","Secondary hyperlipidemia","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","45757112","10750551000119100","Obesity in mother complicating childbirth","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","4030520","236435004","End stage renal failure on dialysis","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","4134455","128189008","Mononeuropathy","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","443919","49220004","Hypertensive renal failure","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","4054067","125663008","Open wound of foot","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","4162095","399864000","Macular edema not clinically significant due to diabetes mellitus","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","4096042","190412005","Malnutrition-related diabetes mellitus without complications","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","376337","118940003","Disorder of nervous system","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","42536605","735539005","Metabolic acidosis due to diabetes mellitus","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","44787902","112991000000101","Lipoatrophic diabetes mellitus without complication","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","321052","400047006","Peripheral vascular disease","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","45757092","10741751000119100","Anemia in mother complicating childbirth","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","4208223","312999006","Disorder of macula of retina","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","37016107","10641431000119109","Necrosis of bone of lower leg co-occurrent and due to chronic ulcer of lower leg","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","35626047","769191001","Very severe nonproliferative retinopathy of left eye due to diabetes mellitus","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","24609","302866003","Hypoglycemia","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","2"
