concept_name,concept_id,include,rationale
Heart disease,321588,False,"No, heart disease is not specific to pulmonary hypertension. While pulmonary hypertension can lead to right ventricular dysfunction and ultimately heart failure, heart disease is a broad term that encompasses various conditions affecting the heart, including coronary artery disease, heart rhythm disorders, and structural heart defects. Therefore, having heart disease does not necessarily mean that an individual has pulmonary hypertension."
Soft tissue lesion,4344497,False,"No, a soft tissue lesion is not specific to Pulmonary Hypertension. A soft tissue lesion refers to an abnormal growth or mass in the soft tissues of the body, which can occur for various reasons unrelated to PH. Soft tissue lesions can be benign or malignant and may require further evaluation and treatment depending on the specific characteristics and location of the lesion. In the context of PH, soft tissue lesions would not be a defining feature or diagnostic criterion for the condition."
Hypertensive disorder,316866,False,"No, the condition ""Hypertensive disorder"" is not specific to the malady Pulmonary Hypertension. 

Hypertensive disorder typically refers to conditions such as essential hypertension (high blood pressure), which is a common medical condition that can affect various organ systems in the body, including the heart, kidneys, and blood vessels. While pulmonary hypertension involves elevated blood pressure specifically within the pulmonary vasculature, it is a distinct and separate condition from essential hypertension. 

Therefore, having a hypertensive disorder does not necessarily mean that an individual has Pulmonary Hypertension. Pulmonary Hypertension is a specific diagnosis that requires confirmation through right heart catheterization and evaluation of mean pulmonary arterial pressure."
Complication,433128,False,"No, the condition ""Complication"" is not specific to Pulmonary Hypertension. Complications can arise from various medical conditions, including Pulmonary Hypertension, but having a complication does not definitively mean that a person has Pulmonary Hypertension. Complications can be a result of a wide range of diseases or conditions, so it is not specific to any one particular malady."
Mass of soft tissue,40481517,False,"No, a mass of soft tissue is not specific to Pulmonary Hypertension. While patients with PH may present with symptoms such as dyspnea, fatigue, chest pain, and signs of right heart failure, a mass of soft tissue is not a typical or specific finding associated with this condition. A mass of soft tissue may indicate other conditions such as tumors, cysts, or inflammatory processes, which would require further evaluation and diagnostic testing to determine the underlying cause."
Disorder of lung,257907,False,"No, a disorder of the lung is not specific to Pulmonary Hypertension. While Pulmonary Hypertension can be associated with certain lung diseases, it is not solely defined by a disorder of the lung. Pulmonary Hypertension is specifically characterized by elevated blood pressure within the pulmonary vasculature, leading to right ventricular dysfunction and ultimately heart failure. Therefore, having a disorder of the lung does not definitively mean that an individual has Pulmonary Hypertension."
Disorder of artery,321887,False,"No, the condition ""Disorder of artery"" is not specific to Pulmonary Hypertension. While Pulmonary Hypertension involves elevated blood pressure within the pulmonary vasculature, a disorder of an artery could refer to a wide range of conditions affecting any artery in the body, not specifically the pulmonary arteries. Pulmonary Hypertension is a specific diagnosis that involves specific criteria related to the pulmonary vasculature and right heart dysfunction."
Disorder of connective tissue,253549,True,"Yes, a disorder of connective tissue can be specific to Pulmonary Hypertension. Connective tissue diseases, such as systemic sclerosis (scleroderma) and systemic lupus erythematosus, are known to be associated with the development of Pulmonary Hypertension. In these cases, the presence of a connective tissue disorder can lead to the development of PH, making it a specific condition for this malady."
Heart failure,316139,True,"Yes, heart failure is specific to pulmonary hypertension. 

Heart failure is a common complication of pulmonary hypertension, as the elevated blood pressure within the pulmonary vasculature can lead to right ventricular dysfunction and ultimately heart failure. In fact, heart failure is one of the potential outcomes of untreated or poorly managed pulmonary hypertension. Therefore, if a patient has heart failure, it may be indicative of underlying pulmonary hypertension as the cause. However, not all cases of heart failure are due to pulmonary hypertension, as heart failure can have various other causes such as coronary artery disease, valvular heart disease, or cardiomyopathy."
Heart valve disorder,4281749,False,"No, a heart valve disorder is not specific to Pulmonary Hypertension. While patients with Pulmonary Hypertension may develop right heart failure, which can lead to tricuspid valve regurgitation, a heart valve disorder is not a defining characteristic of Pulmonary Hypertension. Pulmonary Hypertension is primarily characterized by elevated blood pressure within the pulmonary vasculature, leading to right ventricular dysfunction."
