concept_name,concept_id,include,rationale
Finding of region of thorax,4185503,False,"No, the condition ""Finding of region of thorax"" is not specific to Pulmonary Hypertension. This condition is a general finding that could indicate a variety of issues within the thoracic region, such as musculoskeletal problems, respiratory conditions, or even cardiac issues. It does not definitively point to Pulmonary Hypertension specifically. Further evaluation and testing would be needed to determine if Pulmonary Hypertension is present in a patient with this finding."
Heart disease,321588,False,"No, the condition ""heart disease"" is not specific to the malady of Pulmonary Hypertension. While Pulmonary Hypertension can lead to right ventricular dysfunction and heart failure, heart disease is a broad term that encompasses a variety of conditions affecting the heart, including coronary artery disease, heart rhythm disorders, and structural heart defects. Pulmonary Hypertension is a specific condition characterized by elevated blood pressure within the pulmonary vasculature, distinct from other forms of heart disease. Therefore, having heart disease does not necessarily mean that an individual has Pulmonary Hypertension."
Soft tissue lesion,4344497,False,"No, a soft tissue lesion is not specific to Pulmonary Hypertension. A soft tissue lesion refers to an abnormal growth or mass in the soft tissues of the body, which can be caused by a variety of factors such as trauma, infection, inflammation, or neoplastic processes. While patients with Pulmonary Hypertension may have other medical conditions or findings, the presence of a soft tissue lesion is not a defining characteristic of Pulmonary Hypertension. It is important to consider the specific symptoms, signs, and diagnostic criteria associated with Pulmonary Hypertension when assessing for this condition."
Hypertensive disorder,316866,False,"No

Rationale: A hypertensive disorder refers to a condition characterized by high blood pressure, which is not specific to pulmonary hypertension. While pulmonary hypertension involves elevated blood pressure within the pulmonary vasculature, it is a specific condition with distinct pathophysiology and diagnostic criteria. Therefore, having a hypertensive disorder does not necessarily mean that an individual has pulmonary hypertension."
Complication,433128,False,"No, the condition ""Complication"" is not specific to Pulmonary Hypertension. Complications can arise from various medical conditions, including Pulmonary Hypertension, but having a complication does not definitively mean that a person has Pulmonary Hypertension. Complications are secondary issues that can occur as a result of a primary condition, and they can be seen in a wide range of medical illnesses."
Lung finding,4115260,False,"No, the condition ""lung finding"" is not specific to Pulmonary Hypertension. A ""lung finding"" is a very broad term that could encompass a wide range of abnormalities or conditions related to the lungs, such as infections, tumors, or inflammatory diseases. While Pulmonary Hypertension can be associated with certain lung diseases, the presence of a generic ""lung finding"" does not definitively indicate the presence of Pulmonary Hypertension. Further evaluation and testing would be needed to confirm a diagnosis of Pulmonary Hypertension in a patient with a lung finding."
Structural disorder of heart,4027255,False,"No, a structural disorder of the heart is not specific to Pulmonary Hypertension. While Pulmonary Hypertension can lead to right ventricular dysfunction and ultimately heart failure, not all structural heart disorders are indicative of Pulmonary Hypertension. Structural heart disorders can encompass a wide range of conditions affecting the heart's valves, chambers, or vessels, which may or may not be related to Pulmonary Hypertension. Therefore, having a structural disorder of the heart does not definitively mean that an individual has Pulmonary Hypertension."
Mass of soft tissue,40481517,False,"No, a mass of soft tissue is not specific to Pulmonary Hypertension. While patients with PH may present with symptoms such as dyspnea, fatigue, chest pain, and signs of right heart failure, a mass of soft tissue is not a typical or specific finding associated with this condition. A mass of soft tissue may indicate other conditions such as tumors, cysts, or inflammatory processes, which would require further evaluation and diagnostic testing to determine the underlying cause."
Disorder of lung,257907,False,"No, a disorder of the lung is not specific to pulmonary hypertension. While pulmonary hypertension can be associated with various lung diseases, it is not the only condition that can affect the lungs. A disorder of the lung could refer to a wide range of conditions such as pneumonia, chronic obstructive pulmonary disease (COPD), asthma, lung cancer, etc. Therefore, having a disorder of the lung does not definitively mean that a person has pulmonary hypertension."
Arterial finding,4095631,False,"No, the condition ""Arterial finding"" is not specific to Pulmonary Hypertension. While Pulmonary Hypertension is characterized by elevated blood pressure within the pulmonary vasculature, the term ""Arterial finding"" is too broad and nonspecific to definitively indicate the presence of Pulmonary Hypertension. Additional diagnostic tests and evaluation would be needed to confirm a diagnosis of Pulmonary Hypertension."
