"","Id","Code","Name","Class","Standard Concept Caption","RC","DRC","PC","DPC","Domain","Vocabulary","Count"
"","4155965","371824008","Myocardial ischemia manifest on stress test status post myocardial infarction","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","4119597","233889001","Post-infarction hemopericardium","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","4161570","371865008","TIMI grade 3: complete perfusion","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","44782733","153951000119103","Acute on chronic combined systolic and diastolic heart failure","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","36712982","15960061000119102","Unstable angina co-occurrent and due to coronary arteriosclerosis","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","4239975","57809008","Myocardial disease","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","4147223","30277009","Rupture of ventricle due to acute myocardial infarction","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","36712985","15960981000119105","Mural thrombus of left ventricle following acute myocardial infarction","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","4124686","233843008","Silent myocardial infarction","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","2"
"","4124687","233847009","Cardiac rupture due to and following acute myocardial infarction","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","319038","66189004","Postmyocardial infarction syndrome","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","3"
"","4065281","164866006","ECG: no myocardial infarction","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","316995","63739005","Coronary occlusion","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","4030582","129574000","Postoperative myocardial infarction","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","2"
"","319049","65710008","Acute respiratory failure","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","4110961","194849004","Generalized ischemic myocardial dysfunction","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","4166245","415991003","Disorder of cardiac ventricle","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","37311079","827163002","Early postmyocardial infarction pericarditis","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","37311078","827164008","Delayed postmyocardial infarction pericarditis","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","2"
"","442982","253535002","Left ventricular abnormality","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","4064348","164867002","EKG: old myocardial infarction","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","3655760","868223009","Occlusion of posterior lateral branch of right coronary artery","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","4012109","102931001","Fear of heart attack","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","40457757","253549006","Ventricular septal abnormality","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","4176969","363294003","Sequelae of cardiovascular disorders","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","3"
"","3655759","868222004","Occlusion of posterior descending branch of right coronary artery","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","3655758","868221006","Occlusion of marginal branch of right coronary artery","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","3655757","868219001","Occlusion of mid portion of right coronary artery","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","4179525","429391004","New myocardial infarction compared to prior study","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","3655756","868216008","Occlusion of distal portion of right coronary artery","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","3655755","868215007","Occlusion of proximal portion of right coronary artery","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","37309626","16837681000119104","Myocardial infarction due to demand ischemia","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","3"
"","45771327","703330009","Mitral valve regurgitation due to acute myocardial infarction with papillary muscle and chordal rupture","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","4354249","251061000","Myocardial necrosis","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","317576","53741008","Coronary arteriosclerosis","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","2"
"","3654821","840315000","Occlusion of distal left anterior descending coronary artery","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","3654820","840313007","Occlusion of mid left anterior descending coronary artery","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","3654819","840310005","Occlusion of proximal left anterior descending coronary artery","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","4188331","46847001","Chronic pulmonary edema","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","37109910","723858002","Ventricular aneurysm due to and following acute myocardial infarction","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","37109911","723859005","Pulmonary embolism due to and following acute myocardial infarction","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","46271075","709111008","Acute hypoxemic respiratory failure","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","4048534","123641001","Left coronary artery occlusion","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","37109912","723860000","Arrhythmia due to and following acute myocardial infarction","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","4247796","7326005","Inferior myocardial infarction on electrocardiogram","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","4198141","314116003","Post infarct angina","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","4180609","429731003","Anterior myocardial infarction on electrocardiogram","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","765132","380001000004106","Subendocardial myocardial infarction","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","2"
"","142026","271966006","Disorder of cardiovascular prostheses and implants","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","42537536","736978009","Mural thrombus of right ventricle following acute myocardial infarction","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","197320","14669001","Acute renal failure syndrome","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","764123","451041000124103","Atherosclerosis of coronary artery without angina pectoris","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
