"","Id","Code","Name","Class","Standard Concept Caption","RC","DRC","PC","DPC","Domain","Vocabulary","Count"
"","321588","56265001","Heart disease","Clinical Finding","Standard","44,232","6,355,991","23,912","1,617,621","Condition","SNOMED","1"
"","4344497","239953001","Soft tissue lesion","Clinical Finding","Standard","0","4,800,440","0","2,308,860","Condition","SNOMED","1"
"","316866","38341003","Hypertensive disorder","Clinical Finding","Standard","10,835","3,342,999","2,081","478,595","Condition","SNOMED","1"
"","433128","116223007","Complication","Clinical Finding","Standard","10,163","2,747,316","4,762","1,078,411","Condition","SNOMED","1"
"","40481517","444905003","Mass of soft tissue","Clinical Finding","Standard","0","2,521,382","0","1,358,996","Condition","SNOMED","1"
"","257907","19829001","Disorder of lung","Clinical Finding","Standard","221,181","2,367,253","86,310","758,478","Condition","SNOMED","1"
"","321887","359557001","Disorder of artery","Clinical Finding","Standard","38,841","1,997,421","17,191","536,059","Condition","SNOMED","1"
"","253549","105969002","Disorder of connective tissue","Clinical Finding","Standard","4,890","1,884,343","922","750,069","Condition","SNOMED","1"
"","316139","84114007","Heart failure","Clinical Finding","Standard","126,821","1,389,985","28,403","267,147","Condition","SNOMED","1"
"","4281749","368009","Heart valve disorder","Clinical Finding","Standard","0","890,591","0","257,162","Condition","SNOMED","1"
"","313217","49436004","Atrial fibrillation","Clinical Finding","Standard","728,749","799,327","78,065","91,395","Condition","SNOMED","1"
"","319835","42343007","Congestive heart failure","Clinical Finding","Standard","660,367","709,385","96,119","113,995","Condition","SNOMED","1"
"","4028244","128292002","Chronic disease of cardiovascular system","Clinical Finding","Standard","0","694,460","0","185,140","Condition","SNOMED","1"
"","192359","42399005","Renal failure syndrome","Clinical Finding","Standard","49,591","650,784","17,187","114,024","Condition","SNOMED","1"
"","4134586","128238001","Chronic heart disease","Clinical Finding","Standard","0","644,555","0","169,089","Condition","SNOMED","1"
"","4234997","90507008","Disorder of vein","Clinical Finding","Standard","21,378","597,081","11,332","239,833","Condition","SNOMED","1"
"","442019","116224001","Complication of procedure","Clinical Finding","Standard","46,055","470,847","29,751","244,716","Condition","SNOMED","1"
"","4167864","419026008","Effect of exposure to physical force","Clinical Finding","Standard","125,513","422,310","3,397","113,952","Condition","SNOMED","1"
"","439727","86406008","Human immunodeficiency virus infection","Clinical Finding","Standard","344,768","394,972","13,250","22,797","Condition","SNOMED","1"
"","4119786","233703007","Interstitial lung disease","Clinical Finding","Standard","18,681","393,889","2,055","135,933","Condition","SNOMED","1"
"","255573","13645005","Chronic obstructive lung disease","Clinical Finding","Standard","251,880","380,035","51,670","88,603","Condition","SNOMED","1"
"","312723","13213009","Congenital heart disease","Clinical Finding","Standard","49,054","366,624","11,733","61,491","Condition","SNOMED","1"
"","435524","39898005","Sleep disorder","Clinical Finding","Standard","15,472","319,038","7,457","101,690","Condition","SNOMED","1"
"","198185","90688005","Chronic renal failure","Clinical Finding","Standard","0","270,046","0","13,797","Condition","SNOMED","1"
"","433208","39785005","Disorder of pulmonary circulation","Clinical Finding","Standard","1,851","258,877","1,111","49,803","Condition","SNOMED","1"
"","4175485","425333006","Myeloproliferative disorder","Clinical Finding","Standard","0","213,537","0","9,776","Condition","SNOMED","1"
"","442106","41969006","Idiopathic disease","Clinical Finding","Standard","0","152,091","0","44,787","Condition","SNOMED","1"
"","4108173","251039005","Pulmonary artery finding","Clinical Finding","Standard","0","135,958","0","23,515","Condition","SNOMED","1"
"","4312226","85995004","Autosomal recessive hereditary disorder","Clinical Finding","Standard","0","129,738","0","9,530","Condition","SNOMED","1"
"","315085","30746006","Lymphadenopathy","Clinical Finding","Standard","66,128","122,265","32,599","61,432","Condition","SNOMED","1"
"","4273632","367363000","Right ventricular failure","Clinical Finding","Standard","611","105,123","169","24,616","Condition","SNOMED","1"
"","4307356","83291003","Cor pulmonale","Clinical Finding","Standard","3,154","104,120","1,616","24,255","Condition","SNOMED","1"
