"","Id","Code","Name","Class","Standard Concept Caption","RC","DRC","PC","DPC","Domain","Vocabulary","Count"
"","4043346","118946009","Disorder of thorax","Clinical Finding","Standard","287","11,131,714","198","3,043,298","Condition","SNOMED","1"
"","44782620","700012005","Disorder of free lower limb","Clinical Finding","Standard","0","1,749,711","0","697,338","Condition","SNOMED","1"
"","80180","396275006","Osteoarthritis","Clinical Finding","Standard","250,529","1,134,139","63,122","430,785","Condition","SNOMED","2"
"","4266188","399986003","Disorder of body wall","Clinical Finding","Standard","11,067","863,773","7,987","373,731","Condition","SNOMED","1"
"","434621","85828009","Autoimmune disease","Clinical Finding","Standard","3,437","414,177","1,426","56,874","Condition","SNOMED","1"
"","4119786","233703007","Interstitial lung disease","Clinical Finding","Standard","18,681","393,889","2,055","135,933","Condition","SNOMED","1"
"","40482662","442246002","Disorder of joint of ankle and/or foot","Clinical Finding","Standard","16,976","250,492","8,061","119,066","Condition","SNOMED","1"
"","40484571","444003007","Disorder of joint of shoulder region","Clinical Finding","Standard","28,903","238,866","8,998","84,659","Condition","SNOMED","1"
"","4027258","128618006","Disorder of finger","Clinical Finding","Standard","0","202,226","0","106,483","Condition","SNOMED","1"
"","4180010","363055007","Degenerative disorder of cartilage","Clinical Finding","Standard","0","192,336","0","99,026","Condition","SNOMED","1"
"","439103","53417006","Articular cartilage disorder","Clinical Finding","Standard","1,185","176,659","943","81,666","Condition","SNOMED","1"
"","443583","428776005","Disorder of ankle joint","Clinical Finding","Standard","0","116,523","0","52,583","Condition","SNOMED","1"
"","35622958","765205004","Disorder in remission","Clinical Finding","Standard","875","92,517","463","19,034","Condition","SNOMED","1"
"","4328821","430940009","Disorder of glenohumeral joint","Clinical Finding","Standard","0","81,287","0","23,467","Condition","SNOMED","1"
"","319825","23685000","Rheumatic heart disease","Clinical Finding","Standard","7,129","40,810","1,953","14,880","Condition","SNOMED","1"
"","74125","417373000","Inflammatory polyarthropathy","Clinical Finding","Standard","10,351","39,392","2,529","6,222","Condition","SNOMED","2"
"","4253901","410795001","Juvenile rheumatoid arthritis","Clinical Finding","Standard","4,714","36,121","572","4,390","Condition","SNOMED","2"
"","200527","16294009","Splenomegaly","Clinical Finding","Standard","24,592","26,381","10,625","11,756","Condition","SNOMED","1"
"","72714","1961000","Chronic polyarticular juvenile rheumatoid arthritis","Clinical Finding","Standard","24,740","24,740","2,839","2,839","Condition","SNOMED","2"
"","4153359","371082009","Arthritis of spine","Clinical Finding","Standard","4,817","23,078","1,913","12,351","Condition","SNOMED","1"
"","4205509","439656005","Arthritis of elbow","Clinical Finding","Standard","117","22,780","99","6,232","Condition","SNOMED","2"
"","4208390","55146009","Inflammation of sacroiliac joint","Clinical Finding","Standard","8,568","16,510","2,152","3,835","Condition","SNOMED","1"
"","4138837","3238004","Pericarditis","Clinical Finding","Standard","34","13,565","17","6,189","Condition","SNOMED","1"
"","40483262","443798008","Arthritis of shoulder region joint","Clinical Finding","Standard","5,037","11,690","2,036","4,143","Condition","SNOMED","1"
"","4094283","250131003","Lower limb joint arthritis","Clinical Finding","Standard","0","10,254","0","4,026","Condition","SNOMED","1"
