concept_name,concept_id,include,rationale
Heart disease,321588,False,"No.

Rationale: Heart disease is a broad term that encompasses a variety of conditions affecting the heart, such as coronary artery disease, heart failure, arrhythmias, and congenital heart defects. While pulmonary hypertension (PH) can lead to right ventricular dysfunction and heart failure, having heart disease does not necessarily mean that one has PH. Heart disease can exist independently of PH and can be caused by numerous other factors unrelated to elevated pulmonary arterial pressure. Therefore, the presence of heart disease is not specific to pulmonary hypertension."
Soft tissue lesion,4344497,False,"No.

A soft tissue lesion is not specific to Pulmonary Hypertension (PH). Soft tissue lesions can arise from a variety of causes, including trauma, infections, benign or malignant tumors, and inflammatory conditions. They are not directly related to the pathophysiology of PH, which involves elevated blood pressure within the pulmonary vasculature and right ventricular dysfunction. While a patient with PH might coincidentally have a soft tissue lesion, the presence of a soft tissue lesion does not indicate that the patient definitely has PH. Therefore, a soft tissue lesion is not specific to Pulmonary Hypertension."
Hypertensive disorder,316866,False,"No.

Rationale: A hypertensive disorder generally refers to conditions characterized by elevated blood pressure, such as essential hypertension, secondary hypertension, or hypertensive crisis. While pulmonary hypertension (PH) involves elevated blood pressure within the pulmonary arteries, it is a specific type of hypertension that affects the lungs and the right side of the heart. 

Having a hypertensive disorder does not necessarily mean that one has pulmonary hypertension. Essential hypertension, for example, primarily affects systemic arterial blood pressure and does not imply elevated pressure in the pulmonary arteries. Conversely, pulmonary hypertension can occur in the absence of systemic hypertension. Therefore, the condition of having a hypertensive disorder is not specific to pulmonary hypertension."
Complication,433128,False,"No, the condition ""complication"" is not specific to the malady ""Pulmonary Hypertension.""

**Rationale:**
- **Complication** is a broad term that refers to any secondary disease or condition that develops in the course of a primary disease. It is not specific to any one disease or condition.
- Pulmonary Hypertension (PH) can indeed lead to various complications, such as right heart failure, arrhythmias, or thromboembolic events. However, complications can arise from a multitude of other diseases and conditions as well.
- Therefore, having a complication does not definitively indicate that a person has Pulmonary Hypertension. Complications can occur in the context of many different maladies, making the term non-specific.

In summary, the term ""complication"" is too general and can be associated with numerous medical conditions, not just Pulmonary Hypertension."
Mass of soft tissue,40481517,False,"No.

A ""mass of soft tissue"" is not specific to Pulmonary Hypertension (PH). Soft tissue masses can arise from a variety of causes, including benign conditions like lipomas, cysts, or abscesses, as well as malignant conditions like sarcomas or metastatic cancer. They are not directly related to the pathophysiology of PH, which involves elevated blood pressure within the pulmonary vasculature and right ventricular dysfunction. Therefore, the presence of a soft tissue mass does not definitively indicate that a person has Pulmonary Hypertension."
Disorder of lung,257907,False,"No, a ""disorder of lung"" is not specific to Pulmonary Hypertension (PH).

Rationale:
- Pulmonary Hypertension (PH) is a specific condition characterized by elevated blood pressure in the pulmonary arteries, which can result from various underlying causes, including lung disorders.
- However, the term ""disorder of lung"" is broad and encompasses a wide range of conditions affecting the lungs, such as chronic obstructive pulmonary disease (COPD), asthma, interstitial lung disease, and infections like pneumonia.
- While some lung disorders can lead to or be associated with PH, not all lung disorders will result in PH. Therefore, having a lung disorder does not definitively mean that a person has PH.
- Conversely, PH can be caused by factors other than lung disorders, such as left heart disease, chronic thromboembolic disease, or idiopathic causes.

Given the broad nature of ""disorder of lung"" and the specific diagnostic criteria for PH, the condition is not specific to the malady."
Disorder of artery,321887,False,"No.

Rationale:
A ""disorder of artery"" is a broad term that encompasses a wide range of conditions affecting the arteries, such as atherosclerosis, aneurysms, and peripheral artery disease. While Pulmonary Hypertension (PH) involves elevated blood pressure within the pulmonary arteries, it is a specific condition with distinct pathophysiological mechanisms and diagnostic criteria. 

Having a ""disorder of artery"" does not necessarily mean that one has Pulmonary Hypertension. For example, a person with atherosclerosis (a type of arterial disorder) may not have elevated pulmonary arterial pressure or right ventricular dysfunction characteristic of PH. Conversely, PH can be caused by various factors, including idiopathic origins, connective tissue diseases, or chronic lung diseases, which may not involve a general arterial disorder.

Therefore, the condition ""disorder of artery"" is not specific to Pulmonary Hypertension."
Disorder of connective tissue,253549,False,"No.

Rationale: A disorder of connective tissue is not specific to Pulmonary Hypertension (PH). While connective tissue diseases (such as systemic sclerosis, lupus, and rheumatoid arthritis) can be associated with the development of PH, having a connective tissue disorder does not definitively mean that a person has PH. Connective tissue disorders can lead to a variety of complications and affect multiple organ systems, not just the pulmonary vasculature. Therefore, while there is an association between connective tissue disorders and PH, the presence of a connective tissue disorder alone is not specific to PH."
Heart failure,316139,False,"No.

Rationale: Heart failure is not specific to Pulmonary Hypertension (PH). While PH can lead to right ventricular dysfunction and ultimately heart failure, heart failure can result from a variety of other conditions as well, such as coronary artery disease, hypertension, valvular heart disease, and cardiomyopathies. Therefore, having heart failure does not definitively mean that a person has Pulmonary Hypertension."
Heart valve disorder,4281749,False,"No.

A heart valve disorder is not specific to Pulmonary Hypertension (PH). While heart valve disorders can be associated with or contribute to the development of PH, they are not exclusive to it. Heart valve disorders can occur independently of PH and can be caused by a variety of other conditions, such as rheumatic heart disease, infective endocarditis, or degenerative changes. Therefore, having a heart valve disorder does not definitively mean that a person has Pulmonary Hypertension."
Atrial fibrillation,313217,False,"No.

Atrial fibrillation (AF) is not specific to Pulmonary Hypertension (PH). While AF can occur in patients with PH due to the strain and remodeling of the heart, particularly the right atrium, it is not exclusive to PH. AF is a common arrhythmia that can result from a variety of other conditions, including hypertension, coronary artery disease, valvular heart disease, heart failure, and hyperthyroidism, among others. Therefore, the presence of AF does not definitively indicate that a person has PH."
Congestive heart failure,319835,False,"No.

Congestive heart failure (CHF) is not specific to Pulmonary Hypertension (PH). While PH can lead to right ventricular dysfunction and ultimately heart failure, CHF can result from a variety of other conditions as well, such as left ventricular dysfunction, coronary artery disease, hypertension, valvular heart disease, and cardiomyopathies. Therefore, having CHF does not definitively mean that a person has PH. CHF is a broad condition that can be caused by multiple underlying pathologies, and PH is just one of the potential contributors."
Chronic disease of cardiovascular system,4028244,False,"No.

Rationale: While Pulmonary Hypertension (PH) is indeed a chronic disease that affects the cardiovascular system, the condition ""chronic disease of cardiovascular system"" is not specific to PH. There are numerous chronic cardiovascular diseases, such as coronary artery disease, heart failure, arrhythmias, and hypertension, that do not necessarily involve elevated blood pressure within the pulmonary vasculature. Therefore, having a chronic disease of the cardiovascular system does not definitively mean that one has Pulmonary Hypertension."
Renal failure syndrome,192359,False,"No.

Renal failure syndrome, also known as kidney failure, is not specific to Pulmonary Hypertension (PH). While renal failure can be associated with various cardiovascular conditions, including PH, it is not a definitive indicator that a person has PH. Renal failure can result from a multitude of causes such as diabetes, hypertension, glomerulonephritis, and other systemic diseases. Therefore, having renal failure does not mean that a person definitely has Pulmonary Hypertension."
Chronic heart disease,4134586,False,"No.

Chronic heart disease is not specific to Pulmonary Hypertension (PH). While chronic heart disease can be associated with or lead to the development of PH, it is not exclusive to PH. Chronic heart disease encompasses a wide range of heart conditions, including coronary artery disease, heart failure, and valvular heart disease, among others. These conditions can exist independently of PH and are not definitive indicators that a person has PH. Therefore, having chronic heart disease does not mean that a person definitely has Pulmonary Hypertension."
Disorder of vein,4234997,False,"No, a ""disorder of vein"" is not specific to Pulmonary Hypertension (PH).

Rationale:
- Pulmonary Hypertension (PH) is specifically related to elevated blood pressure within the pulmonary arteries, not veins. While PH involves the pulmonary vasculature, it is primarily an arterial condition.
- Disorders of veins can encompass a wide range of conditions, such as varicose veins, deep vein thrombosis (DVT), chronic venous insufficiency, and others, which are not directly related to the pulmonary arterial pressure or the right ventricular dysfunction seen in PH.
- Therefore, having a disorder of the vein does not definitively indicate that a person has Pulmonary Hypertension."
Complication of procedure,442019,False,"No, a ""complication of procedure"" is not specific to Pulmonary Hypertension (PH).

Rationale:
A ""complication of procedure"" is a broad term that can refer to any adverse event or unintended outcome resulting from a medical or surgical procedure. These complications can occur in a wide range of medical contexts and are not specific to any single disease or condition. While it is possible for a complication of a procedure to lead to or exacerbate Pulmonary Hypertension, the presence of a complication of a procedure does not definitively indicate that a patient has PH. Therefore, this condition is not specific to Pulmonary Hypertension."
Effect of exposure to physical force,4167864,False,"No, the condition ""Effect of exposure to physical force"" is not specific to Pulmonary Hypertension (PH).

Rationale:
Pulmonary Hypertension is a condition characterized by elevated blood pressure within the pulmonary arteries, leading to right ventricular dysfunction and potentially heart failure. It is diagnosed through specific hemodynamic measurements and is associated with various etiologies, including idiopathic, heritable, drug-induced, and secondary to other diseases.

The condition ""Effect of exposure to physical force"" is a broad term that can encompass a wide range of physical injuries or stressors, such as trauma, mechanical injury, or physical exertion. While physical force or trauma can potentially exacerbate symptoms in someone with PH or contribute to secondary complications, it is not a specific indicator of PH. Many other conditions and injuries can result from exposure to physical force, and having such an exposure does not definitively indicate the presence of PH.

Therefore, the presence of ""Effect of exposure to physical force"" does not mean that a person definitely has Pulmonary Hypertension."
Human immunodeficiency virus infection,439727,False,"No.

Rationale:
Human immunodeficiency virus (HIV) infection is not specific to Pulmonary Hypertension (PH). While HIV infection can be one of the etiologies that may lead to the development of PH, having HIV does not definitively mean that a person has PH. PH can result from a variety of causes, including idiopathic, heritable, drug-induced, and other associated conditions such as connective tissue diseases, congenital heart defects, or chronic lung diseases. Therefore, the presence of HIV infection alone does not confirm the presence of PH, making it not specific to PH."
Interstitial lung disease,4119786,False,"No, interstitial lung disease (ILD) is not specific to pulmonary hypertension (PH).

Rationale:
Interstitial lung disease (ILD) refers to a group of disorders that cause progressive scarring of lung tissue, which can lead to respiratory issues and impaired oxygen exchange. While ILD can be one of the causes or associated conditions that may lead to the development of pulmonary hypertension, it is not specific to PH. This means that having ILD does not definitively indicate that a person has PH. 

PH can result from a variety of etiologies, including idiopathic, heritable, drug-induced, and associated with other conditions such as connective tissue diseases, congenital heart defects, or chronic lung diseases, including ILD. However, ILD itself is a separate condition that can exist without the presence of PH. Therefore, the presence of ILD does not necessarily mean that a person has PH, even though it can be a contributing factor.

In summary, while ILD can be associated with PH, it is not specific to PH, as ILD can occur independently of PH."
Chronic obstructive lung disease,255573,False,"No.

Chronic obstructive lung disease (COPD) is not specific to Pulmonary Hypertension (PH). While COPD can be a contributing factor or associated condition that may lead to the development of PH, having COPD does not definitively mean that a person has PH. COPD is a common lung condition that includes chronic bronchitis and emphysema, characterized by persistent respiratory symptoms and airflow limitation due to airway and/or alveolar abnormalities. 

PH can develop as a complication of COPD due to chronic hypoxia and subsequent vascular remodeling in the lungs, but not all individuals with COPD will develop PH. Therefore, the presence of COPD does not specifically indicate the presence of PH."
Congenital heart disease,312723,False,"No.

Congenital heart disease (CHD) is not specific to Pulmonary Hypertension (PH). While CHD can be one of the etiologies that lead to the development of PH, having CHD does not definitively mean that a person has PH. CHD encompasses a wide range of structural heart defects present from birth, and not all individuals with CHD will develop PH. Therefore, the presence of CHD does not specifically indicate the presence of PH."
Sleep disorder,435524,False,"No.

Rationale: Sleep disorders are not specific to Pulmonary Hypertension (PH). While sleep disorders, such as sleep apnea, can be associated with or exacerbate PH, they are not exclusive to it. Sleep disorders can occur in a wide range of other conditions, including but not limited to obesity, cardiovascular diseases, neurological disorders, and primary sleep disorders like insomnia or restless legs syndrome. Therefore, having a sleep disorder does not definitively indicate that a person has Pulmonary Hypertension."
Chronic renal failure,198185,False,"No.

Chronic renal failure, also known as chronic kidney disease (CKD), is not specific to Pulmonary Hypertension (PH). While chronic renal failure can be associated with various cardiovascular complications, including hypertension, it is not a condition that definitively indicates the presence of PH. PH is a specific condition characterized by elevated blood pressure in the pulmonary arteries, and while it can be associated with a variety of other conditions, chronic renal failure is not a specific indicator of PH. Therefore, having chronic renal failure does not mean that a person definitely has Pulmonary Hypertension."
Disorder of pulmonary circulation,433208,False,"No.

Rationale: While a disorder of pulmonary circulation is a broad category that includes various conditions affecting the blood vessels in the lungs, it is not specific to Pulmonary Hypertension (PH). Pulmonary Hypertension is one type of disorder within this broader category, but there are other disorders of pulmonary circulation that do not necessarily involve elevated pulmonary arterial pressure, such as pulmonary embolism or pulmonary arteriovenous malformations. Therefore, having a disorder of pulmonary circulation does not definitively mean that one has Pulmonary Hypertension."
Myeloproliferative disorder,4175485,False,"No.

Rationale: A myeloproliferative disorder (MPD) is a type of blood cancer that involves the overproduction of blood cells in the bone marrow. While MPDs can lead to various complications, including an increased risk of blood clots and other cardiovascular issues, they are not specific to Pulmonary Hypertension (PH). 

PH can be associated with a wide range of underlying conditions, including connective tissue diseases, congenital heart defects, and chronic lung diseases, among others. However, having a myeloproliferative disorder does not definitively indicate that a person has PH. Therefore, the presence of a myeloproliferative disorder is not specific to PH."
Idiopathic disease,442106,False,"No, idiopathic disease is not specific to Pulmonary Hypertension (PH).

**Rationale:**
- **Idiopathic disease** refers to any condition that arises spontaneously or for which the cause is unknown. It is a broad term that can apply to many different diseases across various organ systems.
- **Pulmonary Hypertension (PH)** can indeed be idiopathic, meaning that in some cases, the cause of PH is unknown. However, idiopathic disease is not exclusive to PH and can be associated with numerous other conditions, such as idiopathic pulmonary fibrosis, idiopathic thrombocytopenic purpura, and idiopathic epilepsy, among others.
- Therefore, having an idiopathic disease does not definitively indicate that a person has PH. It simply means that the cause of their condition is unknown, which could apply to a wide range of medical issues."
Pulmonary artery finding,4108173,False,"No.

Rationale: A ""pulmonary artery finding"" is a broad term that can encompass a variety of abnormalities or observations related to the pulmonary artery. These findings could include structural abnormalities, changes in pressure, or other pathophysiological changes. While elevated pulmonary arterial pressure is a hallmark of Pulmonary Hypertension (PH), not all pulmonary artery findings are specific to PH. For example, a pulmonary artery finding could also be indicative of other conditions such as pulmonary embolism, congenital heart defects, or other forms of pulmonary arterial hypertension not classified under PH. Therefore, the presence of a pulmonary artery finding does not definitively indicate that a person has Pulmonary Hypertension."
Autosomal recessive hereditary disorder,4312226,False,"No, an autosomal recessive hereditary disorder is not specific to Pulmonary Hypertension (PH).

Rationale:
Pulmonary Hypertension (PH) can result from a variety of etiologies, including idiopathic, heritable, drug-induced, and associated with other conditions such as connective tissue diseases, congenital heart defects, or chronic lung diseases. While there are heritable forms of PH, not all cases of PH are due to genetic causes, and not all genetic causes of PH follow an autosomal recessive inheritance pattern. Additionally, autosomal recessive hereditary disorders encompass a wide range of genetic conditions that are not necessarily related to PH. Therefore, having an autosomal recessive hereditary disorder does not definitively indicate the presence of PH."
Lymphadenopathy,315085,False,"No.

Lymphadenopathy, which refers to the enlargement of lymph nodes, is not specific to Pulmonary Hypertension (PH). Lymphadenopathy can be caused by a wide range of conditions, including infections, autoimmune diseases, malignancies, and other systemic diseases. While it is possible for a patient with PH to also have lymphadenopathy, the presence of lymphadenopathy alone does not definitively indicate that a person has PH. Therefore, lymphadenopathy is not specific to Pulmonary Hypertension."
Right ventricular failure,4273632,False,"No.

Right ventricular failure is not specific to Pulmonary Hypertension (PH). While right ventricular failure can be a consequence of PH due to the increased pressure load on the right ventricle, it can also result from other conditions. These include left heart disease, myocardial infarction, cardiomyopathies, congenital heart defects, and other forms of pulmonary arterial hypertension not related to PH. Therefore, the presence of right ventricular failure does not definitively indicate that a person has Pulmonary Hypertension."
Cor pulmonale,4307356,False,"No.

Cor pulmonale is a condition characterized by right ventricular hypertrophy and eventual right heart failure due to pulmonary hypertension (PH) or other lung disorders. While cor pulmonale can be a consequence of pulmonary hypertension, it is not specific to PH alone. Cor pulmonale can also result from chronic obstructive pulmonary disease (COPD), interstitial lung disease, or other chronic lung conditions that lead to increased pressure in the pulmonary arteries and subsequent right heart strain.

Therefore, while cor pulmonale can occur in patients with pulmonary hypertension, it is not specific to PH, as it can also be caused by other pulmonary conditions."
Chronic right-sided heart failure,4014159,False,"No.

Chronic right-sided heart failure is not specific to Pulmonary Hypertension (PH). While chronic right-sided heart failure can be a consequence of PH due to the increased pressure in the pulmonary arteries leading to right ventricular dysfunction, it is not exclusive to PH. Right-sided heart failure can also result from other conditions such as left-sided heart failure, chronic lung diseases (e.g., chronic obstructive pulmonary disease), congenital heart diseases, and valvular heart diseases. Therefore, having chronic right-sided heart failure does not definitively indicate that a person has Pulmonary Hypertension."
Chronic cor pulmonale,4195892,False,"No.

Chronic cor pulmonale is a condition characterized by the enlargement and failure of the right ventricle of the heart as a response to increased vascular resistance or high blood pressure in the lungs (pulmonary hypertension). While chronic cor pulmonale can be a consequence of pulmonary hypertension, it is not specific to it. Pulmonary hypertension can result from various causes, and not all patients with pulmonary hypertension will develop chronic cor pulmonale. Therefore, having chronic cor pulmonale does not definitively mean that a person has pulmonary hypertension, as it could also be due to other underlying lung conditions that lead to right ventricular dysfunction."
Immunodeficiency disorder,433740,False,"No.

Rationale: An immunodeficiency disorder is not specific to Pulmonary Hypertension (PH). While an immunodeficiency disorder can be associated with various health complications, it is not a condition that definitively indicates the presence of PH. Pulmonary Hypertension is primarily characterized by elevated blood pressure in the pulmonary arteries and can result from a variety of causes, including idiopathic, heritable, drug-induced, and associated with other conditions such as connective tissue diseases, congenital heart defects, or chronic lung diseases. Immunodeficiency disorders, on the other hand, involve a compromised immune system and can lead to increased susceptibility to infections and other immune-related issues, but they do not specifically cause or indicate PH. Therefore, having an immunodeficiency disorder does not mean that a person definitely has Pulmonary Hypertension."
Diastolic heart failure,443587,False,"No.

Diastolic heart failure, also known as heart failure with preserved ejection fraction (HFpEF), is a condition where the heart's ventricles become stiff and do not relax properly, leading to inadequate filling of the heart with blood during the diastolic phase. This condition can result in symptoms such as shortness of breath, fatigue, and fluid retention.

While diastolic heart failure can be associated with pulmonary hypertension (PH), it is not specific to PH. Diastolic heart failure can occur due to a variety of other conditions, including hypertension, aging, obesity, diabetes, and coronary artery disease. Therefore, having diastolic heart failure does not definitively mean that a person has pulmonary hypertension. 

In summary, diastolic heart failure is not specific to pulmonary hypertension because it can be caused by multiple other conditions."
Pulmonary embolism,440417,False,"No.

Rationale: Pulmonary embolism (PE) is not specific to Pulmonary Hypertension (PH). While a pulmonary embolism can lead to the development of PH, having a PE does not definitively mean that a person has PH. Pulmonary embolism is a condition where one or more arteries in the lungs become blocked by a blood clot, which can cause acute symptoms and may lead to increased pressure in the pulmonary arteries. However, PH can result from a variety of other causes, including idiopathic origins, connective tissue diseases, congenital heart defects, and chronic lung diseases, among others. Therefore, the presence of a pulmonary embolism does not necessarily indicate that a person has PH, although it can be a contributing factor."
Congenital septal defect of heart,4245646,False,"No.

A congenital septal defect of the heart, such as an atrial septal defect (ASD) or ventricular septal defect (VSD), is not specific to Pulmonary Hypertension (PH). While a congenital septal defect can be one of the etiologies that may lead to the development of PH, having a congenital septal defect does not mean that a person definitely has PH. Many individuals with congenital septal defects may not develop PH, especially if the defect is small or has been surgically corrected. Therefore, the presence of a congenital septal defect is not specific to PH."
Right ventricular abnormality,4101621,False,"No.

Rationale: While right ventricular abnormality is a common consequence of Pulmonary Hypertension (PH) due to the increased pressure load on the right side of the heart, it is not specific to PH. Right ventricular abnormalities can occur in a variety of other conditions, such as left heart disease, congenital heart defects, chronic lung diseases, and other forms of heart disease. Therefore, the presence of a right ventricular abnormality does not definitively indicate that a person has Pulmonary Hypertension."
Acute systolic heart failure,40480603,False,"No.

Acute systolic heart failure is not specific to Pulmonary Hypertension (PH). While PH can lead to right ventricular dysfunction and heart failure, acute systolic heart failure can result from a variety of other conditions as well, such as ischemic heart disease, valvular heart disease, myocarditis, and other forms of cardiomyopathy. Therefore, having acute systolic heart failure does not definitively indicate that a person has Pulmonary Hypertension."
Renal tubular disorder,4318544,False,"No.

Renal tubular disorders are a group of conditions that affect the renal tubules in the kidneys, leading to issues with the reabsorption and secretion of various substances. These disorders can result in a variety of symptoms, including electrolyte imbalances, metabolic acidosis, and issues with urine concentration. 

Pulmonary Hypertension (PH), on the other hand, is characterized by elevated blood pressure within the pulmonary arteries, leading to right ventricular dysfunction and potentially heart failure. While PH can be associated with various systemic conditions, including some that may affect the kidneys, a renal tubular disorder is not specific to PH. 

In other words, having a renal tubular disorder does not definitively indicate that a person has Pulmonary Hypertension. Therefore, the condition of having a renal tubular disorder is not specific to the malady of Pulmonary Hypertension."
Sarcoidosis,438688,False,"No.

Sarcoidosis is not specific to Pulmonary Hypertension (PH). Sarcoidosis is an inflammatory disease that can affect multiple organs in the body, most commonly the lungs and lymph glands. It is characterized by the formation of granulomas—clusters of immune cells—in affected tissues. While sarcoidosis can lead to pulmonary complications, including pulmonary hypertension, it is not specific to PH. 

In other words, having sarcoidosis does not mean that a person definitely has pulmonary hypertension. Sarcoidosis can exist without causing PH, and PH can be caused by a variety of other conditions unrelated to sarcoidosis. Therefore, sarcoidosis is not a condition that is specific to pulmonary hypertension."
