"","Id","Code","Name","Class","Standard Concept Caption","RC","DRC","PC","DPC","Domain","Vocabulary","Count"
"","316139","84114007","Heart failure","Clinical Finding","Standard","126,821","1,389,985","28,403","267,147","Condition","SNOMED","1"
"","4166245","415991003","Disorder of cardiac ventricle","Clinical Finding","Standard","0","1,248,919","0","241,901","Condition","SNOMED","1"
"","3655971","870575001","Atrial cardiopathy","Clinical Finding","Standard","0","1,079,467","0","174,702","Condition","SNOMED","1"
"","317576","53741008","Coronary arteriosclerosis","Clinical Finding","Standard","448,895","929,176","91,898","204,146","Condition","SNOMED","1"
"","319835","42343007","Congestive heart failure","Clinical Finding","Standard","660,367","709,385","96,119","113,995","Condition","SNOMED","1"
"","4185932","414545008","Ischemic heart disease","Clinical Finding","Standard","6,467","693,058","4,034","262,414","Condition","SNOMED","1"
"","197320","14669001","Acute renal failure syndrome","Clinical Finding","Standard","255,544","260,116","53,285","55,135","Condition","SNOMED","1"
"","319049","65710008","Acute respiratory failure","Clinical Finding","Standard","198,907","250,487","35,678","44,749","Condition","SNOMED","1"
"","4329847","22298006","Myocardial infarction","Clinical Finding","Standard","12","209,563","11","87,981","Condition","SNOMED","3"
"","319844","413439005","Acute ischemic heart disease","Clinical Finding","Standard","1,827","133,156","1,047","58,440","Condition","SNOMED","2"
"","40457757","253549006","Ventricular septal abnormality","Clinical Finding","Standard","0","126,610","0","13,931","Condition","SNOMED","1"
"","315296","4557003","Preinfarction syndrome","Clinical Finding","Standard","95,346","100,250","40,687","42,987","Condition","SNOMED","1"
"","4176969","363294003","Sequelae of cardiovascular disorders","Clinical Finding","Standard","752","98,907","527","35,464","Condition","SNOMED","2"
"","314666","1755008","Old myocardial infarction","Clinical Finding","Standard","77,817","77,817","30,369","30,369","Condition","SNOMED","1"
"","437579","66657009","Paroxysmal ventricular tachycardia","Clinical Finding","Standard","75,357","75,357","16,565","16,565","Condition","SNOMED","1"
"","4101621","253516002","Right ventricular abnormality","Clinical Finding","Standard","0","66,268","0","5,402","Condition","SNOMED","1"
"","40480603","443254009","Acute systolic heart failure","Clinical Finding","Standard","17,884","66,211","5,595","16,036","Condition","SNOMED","1"
"","40480602","443253003","Acute on chronic systolic heart failure","Clinical Finding","Standard","40,156","45,399","7,869","9,621","Condition","SNOMED","1"
"","198571","89138009","Cardiogenic shock","Clinical Finding","Standard","42,541","42,541","10,553","10,553","Condition","SNOMED","1"
"","442982","253535002","Left ventricular abnormality","Clinical Finding","Standard","0","31,148","0","11,178","Condition","SNOMED","1"
"","765132","380001000004106","Subendocardial myocardial infarction","Clinical Finding","Standard","0","30,917","0","14,803","Condition","SNOMED","1"
"","261600","40541001","Acute pulmonary edema","Clinical Finding","Standard","19,444","19,493","11,418","11,448","Condition","SNOMED","1"
"","4110961","194849004","Generalized ischemic myocardial dysfunction","Clinical Finding","Standard","16,048","16,048","2,872","2,872","Condition","SNOMED","1"
"","316995","63739005","Coronary occlusion","Clinical Finding","Standard","0","14,913","0","5,766","Condition","SNOMED","1"
