"","Id","Code","Name","Class","Standard Concept Caption","RC","DRC","PC","DPC","Domain","Vocabulary","Count"
"","4119606","233929004","Post-infarction mural thrombus","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","316427","50570003","Aneurysm of coronary vessels","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4119597","233889001","Post-infarction hemopericardium","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","37209632","16754391000119100","Stable angina due to coronary arteriosclerosis","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","604179","726499301000119105","Myocardial infarction due to atherothrombotic coronary artery disease","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","2"
"","4161570","371865008","TIMI grade 3: complete perfusion","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4111393","194842008","Single coronary vessel disease","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","2"
"","36712983","15960141000119102","Angina co-occurrent and due to coronary arteriosclerosis","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","4"
"","4172822","423191000","Cardiac arrest due to cardiac disorder","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","321588","56265001","Heart disease","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4124686","233843008","Silent myocardial infarction","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","2"
"","42536633","735571003","Acquired ventricular septal defect","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4124682","233817007","Triple vessel disease of the heart","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","2"
"","4065281","164866006","ECG: no myocardial infarction","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4103295","25569003","Ventricular tachycardia","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","2"
"","4163710","399020009","Dilated cardiomyopathy","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","37016181","139011000119104","Coronary arteriosclerosis following coronary artery bypass graft","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4011131","10273003","Acute infarction of papillary muscle","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4030582","129574000","Postoperative myocardial infarction","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","2"
"","37311079","827163002","Early postmyocardial infarction pericarditis","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","37311078","827164008","Delayed postmyocardial infarction pericarditis","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","3"
"","4064348","164867002","EKG: old myocardial infarction","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","440417","59282003","Pulmonary embolism","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","37017177","713405002","Subacute ischemic heart disease","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","2"
"","254061","60046008","Pleural effusion","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4012109","102931001","Fear of heart attack","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","40457757","253549006","Ventricular septal abnormality","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","1340513","OMOP5166168","Progression of coronary arteriosclerosis","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","OMOP Extension","1"
"","4176969","363294003","Sequelae of cardiovascular disorders","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","4"
"","3655759","868222004","Occlusion of posterior descending branch of right coronary artery","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","2"
"","4108352","195147006","Atrial thrombosis","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","37116489","733217006","Injury of intrathoracic organ","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4166844","4554005","Intraventricular conduction defect","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4354249","251061000","Myocardial necrosis","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4188331","46847001","Chronic pulmonary edema","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4275423","6456007","Supraventricular tachycardia","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","46271075","709111008","Acute hypoxemic respiratory failure","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","443563","429673002","Arteriosclerosis of coronary artery bypass graft","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","2"
"","4242669","92506005","Biventricular congestive heart failure","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4242670","92517006","Calcific coronary arteriosclerosis","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","2"
"","45766165","703273002","Heart failure with reduced ejection fraction due to coronary artery disease","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","43021857","285141000119106","Arteriosclerosis of autologous arterial coronary artery bypass graft","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4247796","7326005","Inferior myocardial infarction on electrocardiogram","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","3656846","328851000119107","Cardiogenic shock following procedure","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","443580","417996009","Systolic heart failure","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4096252","25106000","Impending infarction","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","441536","76220009","Mixed acid-base balance disorder","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4132088","127337006","Acute heart disease","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","764123","451041000124103","Atherosclerosis of coronary artery without angina pectoris","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4181217","363296001","Sequelae of disorders classified by disorder-system","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","43530876","609410002","Necrosis of anatomical site","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","45766238","703356002","Coronary artery occlusion due to neoplastic disease","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","201965","27942005","Shock","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","2"
"","46269996","11018701000119109","Coronary arteriosclerosis after percutaneous coronary angioplasty","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","3655971","870575001","Atrial cardiopathy","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4309332","213213007","Cardiac arrest as a complication of care","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","434462","30288003","Ventricular septal defect","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4186397","414795007","Myocardial ischemia","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","2"
"","4215140","394659003","Acute coronary syndrome","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","40482638","442224005","Arteriosclerosis of autologous vein coronary artery bypass graft","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","314664","9651007","Long QT syndrome","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","40480603","443254009","Acute systolic heart failure","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","45767560","705013002","Inferior and lateral ST segment elevation","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","2"
"","4168972","420006002","Obliterative coronary artery disease","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","40480602","443253003","Acute on chronic systolic heart failure","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","45767554","705006002","Lateral ST segment elevation","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
