concept_id,concept_name
44783621,Associated pulmonary arterial hypertension
36715093,Braddock syndrome
4120094,Chronic thromboembolic pulmonary hypertension
715991,Drug or toxin induced pulmonary arterial hypertension
40493243,Eisenmenger's syndrome
4337510,Episodic pulmonary hypertension
1340451,Exacerbation of pulmonary hypertension
4081040,Facultative pulmonary hypertension with shunt at atrial level
4119611,Familial primary pulmonary hypertension
44783618,Heritable pulmonary arterial hypertension
44783620,Heritable pulmonary arterial hypertension due to ALK1 or endoglin mutation
44783619,Heritable pulmonary arterial hypertension due to BMPR2 mutation
36679002,"Hyperuricemia, pulmonary hypertension, renal failure, alkalosis syndrome"
44782560,Idiopathic pulmonary arterial hypertension
4120093,Large vessel pulmonary hypertension
3654816,Mild pulmonary hypertension
3654817,Moderate pulmonary hypertension
3174548,Persistent pulmonary hypertension
4121462,Persistent pulmonary hypertension of the newborn
4120095,Post-arteritic pulmonary hypertension
4233689,Postcapillary pulmonary hypertension
44783617,Precapillary pulmonary hypertension
4033160,Progressive pulmonary hypertension
4013643,Pulmonary arterial hypertension
44783626,Pulmonary arterial hypertension associated with chronic hemolytic anemia
44783624,Pulmonary arterial hypertension associated with congenital heart disease
44782562,Pulmonary arterial hypertension associated with congenital systemic-to-pulmonary shunt
44783622,Pulmonary arterial hypertension associated with connective tissue disease
44783623,Pulmonary arterial hypertension associated with HIV infection
40482858,Pulmonary arterial hypertension associated with portal hypertension
44783625,Pulmonary arterial hypertension associated with schistosomiasis
4121620,Pulmonary arterial hypertension induced by drug
44782561,Pulmonary arterial hypertension induced by toxin
4322024,Pulmonary hypertension
4124832,Pulmonary hypertension associated with chronic underventilation
44783632,Pulmonary hypertension due to alveolar hypoventilation disorder
4124833,Pulmonary hypertension due to chronic exposure to high altitude
44782563,Pulmonary hypertension due to chronic obstructive pulmonary disease
605202,Pulmonary hypertension due to developmental abnormality
44783633,Pulmonary hypertension due to developmental abnormality of the lung
44783641,Pulmonary hypertension due to diastolic systemic ventricular dysfunction
604307,Pulmonary hypertension due to familial pulmonary capillary hemangiomatosis
44782564,Pulmonary hypertension due to hematological disorder
715990,Pulmonary hypertension due to hypoxia
44783629,Pulmonary hypertension due to interstitial lung disease
43020910,Pulmonary hypertension due to left heart disease
44782566,Pulmonary hypertension due to left-sided valvular heart disease
715989,Pulmonary hypertension due to lung disease
44783628,Pulmonary hypertension due to lung disease and/or hypoxia
44783634,Pulmonary hypertension due to myeloproliferative disorder
44783635,Pulmonary hypertension due to post-splenectomy hematological disorder
604305,Pulmonary hypertension due to pulmonary capillary hemangiomatosis
44783630,Pulmonary hypertension due to pulmonary disease with mixed restrictive and obstructive pattern
605200,Pulmonary hypertension due to pulmonary disease with mixed restrictive and obstructive patterns
604306,Pulmonary hypertension due to pulmonary veno-occlusive disease
44783631,Pulmonary hypertension due to sleep-disordered breathing
44783640,Pulmonary hypertension due to systolic systemic ventricular dysfunction
45766237,Pulmonary hypertension due to vasculitis
44782565,Pulmonary hypertension in Langerhans cell histiocytosis
44783638,Pulmonary hypertension in lymphangioleiomyomatosis
44783639,Pulmonary hypertension in neurofibromatosis
44783637,Pulmonary hypertension in sarcoidosis
44783636,Pulmonary hypertension in systemic disorder
4235804,Pulmonary hypertension secondary to raised pulmonary vascular resistance
4081038,Pulmonary hypertension with extreme obesity
4081039,Pulmonary hypertension with occult mitral stenosis
4339214,Secondary pulmonary hypertension
3654818,Severe pulmonary hypertension
4121619,Small vessel pulmonary hypertension
4120092,Solitary pulmonary hypertension
4124831,Sporadic primary pulmonary hypertension
