"","Id","Code","Name","Class","Standard Concept Caption","RC","DRC","PC","DPC","Domain","Vocabulary","Count"
"","4041436","118245000","Measurement finding","Clinical Finding","Standard","29,335","4,011,934,114","0","0","Condition","SNOMED","1"
"","316866","38341003","Hypertensive disorder","Clinical Finding","Standard","52,341,147","2,619,875,085","0","0","Condition","SNOMED","1"
"","321588","56265001","Heart disease","Clinical Finding","Standard","21,213,680","2,600,725,115","0","0","Condition","SNOMED","1"
"","253549","105969002","Disorder of connective tissue","Clinical Finding","Standard","3,597,306","1,697,592,066","0","0","Condition","SNOMED","1"
"","433128","116223007","Complication","Clinical Finding","Standard","390,363","1,587,756,326","0","0","Condition","SNOMED","1"
"","257907","19829001","Disorder of lung","Clinical Finding","Standard","45,761,081","1,131,505,612","0","0","Condition","SNOMED","1"
"","321887","359557001","Disorder of artery","Clinical Finding","Standard","5,917,354","714,940,818","0","0","Condition","SNOMED","1"
"","435524","39898005","Sleep disorder","Clinical Finding","Standard","22,443,155","649,362,211","0","0","Condition","SNOMED","1"
"","192359","42399005","Renal failure syndrome","Clinical Finding","Standard","20,147,400","607,777,272","0","0","Condition","SNOMED","1"
"","316139","84114007","Heart failure","Clinical Finding","Standard","91,976,792","595,069,506","0","0","Condition","SNOMED","1"
"","255573","13645005","Chronic obstructive lung disease","Clinical Finding","Standard","417,640,706","561,068,163","0","0","Condition","SNOMED","1"
"","313217","49436004","Atrial fibrillation","Clinical Finding","Standard","406,678,989","514,163,626","0","0","Condition","SNOMED","1"
"","198185","90688005","Chronic renal failure","Clinical Finding","Standard","986,151","392,325,402","0","0","Condition","SNOMED","1"
"","4234997","90507008","Disorder of vein","Clinical Finding","Standard","2,891,235","332,787,998","0","0","Condition","SNOMED","1"
"","319835","42343007","Congestive heart failure","Clinical Finding","Standard","287,331,024","314,149,404","0","0","Condition","SNOMED","1"
"","4028244","128292002","Chronic disease of cardiovascular system","Clinical Finding","Standard","200","257,903,759","0","0","Condition","SNOMED","1"
"","4281749","368009","Heart valve disorder","Clinical Finding","Standard","196,798","234,342,892","0","0","Condition","SNOMED","1"
"","4134586","128238001","Chronic heart disease","Clinical Finding","Standard","671","230,134,831","0","0","Condition","SNOMED","1"
"","4167864","419026008","Effect of exposure to physical force","Clinical Finding","Standard","300","169,394,388","0","0","Condition","SNOMED","1"
"","442019","116224001","Complication of procedure","Clinical Finding","Standard","10,192,397","126,069,976","0","0","Condition","SNOMED","1"
"","433208","39785005","Disorder of pulmonary circulation","Clinical Finding","Standard","512,581","108,629,775","0","0","Condition","SNOMED","1"
"","443587","418304008","Diastolic heart failure","Clinical Finding","Standard","14,832,143","85,006,390","0","0","Condition","SNOMED","1"
"","4108173","251039005","Pulmonary artery finding","Clinical Finding","Standard","300","66,204,470","0","0","Condition","SNOMED","1"
"","315085","30746006","Lymphadenopathy","Clinical Finding","Standard","34,216,980","65,651,369","0","0","Condition","SNOMED","1"
"","40479576","441530006","Chronic diastolic heart failure","Clinical Finding","Standard","27,560,804","60,702,063","0","0","Condition","SNOMED","1"
"","440417","59282003","Pulmonary embolism","Clinical Finding","Standard","20,824,100","52,684,859","0","0","Condition","SNOMED","1"
"","4175485","425333006","Myeloproliferative disorder","Clinical Finding","Standard","25,313","49,545,653","0","0","Condition","SNOMED","1"
"","439727","86406008","Human immunodeficiency virus infection","Clinical Finding","Standard","39,492,554","44,318,907","0","0","Condition","SNOMED","1"
"","433740","234532001","Immunodeficiency disorder","Clinical Finding","Standard","4,844,722","38,314,853","0","0","Condition","SNOMED","1"
"","40480603","443254009","Acute systolic heart failure","Clinical Finding","Standard","9,039,019","36,591,707","0","0","Condition","SNOMED","1"
"","40481042","443343001","Acute diastolic heart failure","Clinical Finding","Standard","7,232,150","33,573,440","0","0","Condition","SNOMED","1"
"","442106","41969006","Idiopathic disease","Clinical Finding","Standard","200","32,213,149","0","0","Condition","SNOMED","1"
"","4119786","233703007","Interstitial lung disease","Clinical Finding","Standard","4,958,627","31,495,715","0","0","Condition","SNOMED","1"
"","444101","46113002","Hypertensive heart failure","Clinical Finding","Standard","24,874,817","29,618,869","0","0","Condition","SNOMED","1"
"","4027557","128289001","Chronic metabolic disorder","Clinical Finding","Standard","200","26,356,157","0","0","Condition","SNOMED","1"
"","4167085","274096000","Pulmonary heart disease","Clinical Finding","Non-Standard","897,079","25,336,156","0","0","Condition","SNOMED","1"
"","40480602","443253003","Acute on chronic systolic heart failure","Clinical Finding","Standard","17,511,194","25,313,449","0","0","Condition","SNOMED","1"
"","312723","13213009","Congenital heart disease","Clinical Finding","Standard","5,384,190","24,862,299","0","0","Condition","SNOMED","1"
"","40481043","443344007","Acute on chronic diastolic heart failure","Clinical Finding","Standard","16,299,796","24,102,051","0","0","Condition","SNOMED","1"
"","42873170","931000119107","Dependence on supplemental oxygen","Clinical Finding","Standard","23,636,226","23,639,358","0","0","Condition","SNOMED","1"
"","315273","79619009","Mitral valve stenosis","Clinical Finding","Standard","1,211,357","22,935,029","0","0","Condition","SNOMED","1"
"","315831","87837008","Chronic pulmonary heart disease","Clinical Finding","Non-Standard","21,654,171","22,573,211","0","0","Condition","SNOMED","1"
"","4147761","35885006","Hyperuricemia","Clinical Finding","Standard","271,249","18,135,478","0","0","Condition","SNOMED","1"
"","439696","194779001","Hypertensive heart and renal disease with (congestive) heart failure","Clinical Finding","Standard","15,454,772","17,820,021","0","0","Condition","SNOMED","1"
"","4318544","95568003","Renal tubular disorder","Clinical Finding","Standard","15,075","16,984,523","0","0","Condition","SNOMED","1"
"","4177862","428173007","Chronic hypoxemic respiratory failure","Clinical Finding","Standard","7,070,387","16,316,552","0","0","Condition","SNOMED","1"
"","4312226","85995004","Autosomal recessive hereditary disorder","Clinical Finding","Standard","295","16,216,180","0","0","Condition","SNOMED","1"
"","312935","234072000","Venous hypertension","Clinical Finding","Standard","5,489","16,019,714","0","0","Condition","SNOMED","1"
"","438688","31541009","Sarcoidosis","Clinical Finding","Standard","12,000,647","13,771,685","0","0","Condition","SNOMED","1"
"","44782718","153931000119109","Acute combined systolic and diastolic heart failure","Clinical Finding","Standard","2,239,239","10,041,494","0","0","Condition","SNOMED","1"
"","4159647","371039008","Thromboembolic disorder","Clinical Finding","Standard","75,776","9,521,065","0","0","Condition","SNOMED","1"
"","435503","61261009","Hemolytic anemia","Clinical Finding","Standard","21,541","9,411,539","0","0","Condition","SNOMED","1"
"","37016114","10672271000119100","Acute on chronic hypoxemic respiratory failure","Clinical Finding","Standard","9,246,165","9,246,165","0","0","Condition","SNOMED","1"
"","4006473","11164009","Autosomal dominant hereditary disorder","Clinical Finding","Standard","245","8,351,132","0","0","Condition","SNOMED","1"
"","44782733","153951000119103","Acute on chronic combined systolic and diastolic heart failure","Clinical Finding","Standard","7,802,255","7,802,255","0","0","Condition","SNOMED","1"
"","192680","34742003","Portal hypertension","Clinical Finding","Standard","5,962,376","5,962,976","0","0","Condition","SNOMED","1"
"","4220676","82354003","Multiple system malformation syndrome","Clinical Finding","Standard","2,589","5,802,111","0","0","Condition","SNOMED","1"
"","4140438","426896000","Chronic hypercapnic respiratory failure","Clinical Finding","Standard","1,659,166","5,333,912","0","0","Condition","SNOMED","1"
"","261600","40541001","Acute pulmonary edema","Clinical Finding","Standard","5,225,184","5,229,241","0","0","Condition","SNOMED","1"
"","312603","31515003","Hypoventilation","Clinical Finding","Standard","4,057","4,462,104","0","0","Condition","SNOMED","1"
"","4245646","59494005","Congenital septal defect of heart","Clinical Finding","Standard","68,489","4,349,159","0","0","Condition","SNOMED","1"
"","36716978","7361000175106","Acute on chronic hypercapnic respiratory failure","Clinical Finding","Standard","3,674,746","3,674,746","0","0","Condition","SNOMED","1"
"","440376","15993004","Alveolar hypoventilation","Clinical Finding","Standard","2,541","3,544,066","0","0","Condition","SNOMED","1"
"","4101621","253516002","Right ventricular abnormality","Clinical Finding","Standard","682","3,433,213","0","0","Condition","SNOMED","1"
"","4273632","367363000","Right ventricular failure","Clinical Finding","Standard","3,638","3,102,152","0","0","Condition","SNOMED","1"
"","4307356","83291003","Cor pulmonale","Clinical Finding","Standard","62,572","2,791,979","0","0","Condition","SNOMED","1"
"","37109980","723976005","Fibromatosis","Clinical Finding","Standard","221","2,443,760","0","0","Condition","SNOMED","1"
"","4180943","363696006","Neonatal cardiovascular disorder","Clinical Finding","Standard","200","2,145,290","0","0","Condition","SNOMED","1"
"","44782732","133971000119108","Chronic pulmonary embolism","Clinical Finding","Standard","2,055,380","2,063,408","0","0","Condition","SNOMED","1"
"","45757752","367591000119105","Hereditary nephropathy","Clinical Finding","Standard","40,381","1,901,747","0","0","Condition","SNOMED","1"
"","81539","240096000","Mitochondrial cytopathy","Clinical Finding","Standard","769,608","1,501,833","0","0","Condition","SNOMED","1"
"","4086243","24369008","Pulmonary sarcoidosis","Clinical Finding","Standard","1,331,012","1,446,850","0","0","Condition","SNOMED","1"
"","43022062","473459007","Cardiovascular system complication of procedure","Clinical Finding","Standard","199,788","1,382,206","0","0","Condition","SNOMED","1"
"","4130197","127068004","Histiocytic syndrome","Clinical Finding","Standard","120,627","1,231,748","0","0","Condition","SNOMED","1"
"","4014159","10335000","Chronic right-sided heart failure","Clinical Finding","Standard","73,629","998,034","0","0","Condition","SNOMED","1"
"","4195892","79955004","Chronic cor pulmonale","Clinical Finding","Standard","919,040","919,040","0","0","Condition","SNOMED","1"
"","4179992","363005004","Cardiovascular system hereditary disorder","Clinical Finding","Standard","200","865,727","0","0","Condition","SNOMED","1"
"","4119821","304522008","Pulmonary vein finding","Clinical Finding","Standard","100","611,814","0","0","Condition","SNOMED","1"
"","436038","10087007","Infection by Schistosoma","Clinical Finding","Standard","345,729","530,123","0","0","Condition","SNOMED","1"
"","4278365","65399007","Langerhans cell histiocytosis","Clinical Finding","Standard","9,661","340,168","0","0","Condition","SNOMED","2"
"","4239826","69357003","Pulmonary thrombosis","Clinical Finding","Standard","461","188,676","0","0","Condition","SNOMED","1"
"","4242669","92506005","Biventricular congestive heart failure","Clinical Finding","Standard","151,837","151,837","0","0","Condition","SNOMED","1"
"","4006951","205562004","Angiomatosis","Clinical Finding","Standard","347","93,121","0","0","Condition","SNOMED","1"
"","4291592","402867006","Capillary hemangioma","Clinical Finding","Standard","15,328","75,644","0","0","Condition","SNOMED","1"
"","4233424","359617009","Acute right-sided heart failure","Clinical Finding","Standard","42,806","44,500","0","0","Condition","SNOMED","1"
"","4195785","44313006","Right heart failure secondary to left heart failure","Clinical Finding","Standard","23,733","23,733","0","0","Condition","SNOMED","1"
"","4108213","194791005","Hypertension secondary to drug","Clinical Finding","Standard","4,263","15,206","0","0","Condition","SNOMED","1"
"","4112814","196053000","Chronic drug-induced interstitial lung disorders","Clinical Finding","Standard","14,098","14,098","0","0","Condition","SNOMED","1"
"","4300676","404029005","Neurofibroma","Clinical Finding","Standard","9,759","10,745","0","0","Condition","SNOMED","1"
"","4004279","10091002","High output heart failure","Clinical Finding","Standard","8,606","8,606","0","0","Condition","SNOMED","1"
"","4174275","277844007","Pulmonary lymphangioleiomyomatosis","Clinical Finding","Standard","3,995","4,195","0","0","Condition","SNOMED","1"
"","4189294","373409004","Inflammatory disorder of mediastinum","Clinical Finding","Standard","0","1,261","0","0","Condition","SNOMED","1"
"","4232485","89420002","Pulmonary veno-occlusive disease","Clinical Finding","Standard","861","861","0","0","Condition","SNOMED","1"
"","4249898","7377003","Sclerosing mediastinitis","Clinical Finding","Standard","761","761","0","0","Condition","SNOMED","1"
"","45768941","707480001","Chronic hemolytic anemia","Clinical Finding","Standard","200","600","0","0","Condition","SNOMED","1"
"","4111945","254785001","Acquired hemangiomatosis","Clinical Finding","Standard","423","423","0","0","Condition","SNOMED","1"
"","4176962","363247006","Obesity associated disorder","Clinical Finding","Standard","302","302","0","0","Condition","SNOMED","1"
"","4268006","6183001","Indian childhood cirrhosis","Clinical Finding","Standard","300","300","0","0","Condition","SNOMED","1"
"","4121621","233949008","Pulmonary capillary hemangiomatosis","Clinical Finding","Standard","200","200","0","0","Condition","SNOMED","1"
"","45771016","707413005","Chronic pulmonary thromboembolism without pulmonary hypertension","Clinical Finding","Standard","200","200","0","0","Condition","SNOMED","1"
"","36676440","773329005","CK syndrome","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","37309625","16838951000119100","Acute on chronic right-sided congestive heart failure","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","37204406","783058007","Autosomal recessive severe congenital neutropenia due to G6PC3 deficiency","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","4180651","363070008","Developmental hereditary disorder","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","4121809","234161007","Familial pulmonary capillary hemangiomatosis","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
