"","Id","Code","Name","Class","Standard Concept Caption","RC","DRC","PC","DPC","Domain","Vocabulary","Count"
"","4161597","373905003","Jervell and Lange-Nielsen syndrome","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4100152","253414002","Atrioventricular septal defect and common atrioventricular junction","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","37016114","10672271000119100","Acute on chronic hypoxemic respiratory failure","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","3"
"","37110330","724550005","Neonatal cardiac failure due to pulmonary overperfusion","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4214861","80786002","Idiopathic acroosteolysis","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4100145","253390008","Tricuspid papillary muscle abnormality","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","45769390","708031000","Idiopathic eosinophilic pneumonia","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","40487550","448007000","Atrioventricular septal defect associated with tetralogy of Fallot","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4278365","65399007","Langerhans cell histiocytosis","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","2"
"","4124705","233924009","Heart failure as a complication of care","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4323427","70783003","Hypertrophy of tunica vaginalis","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","35625532","768552007","Congenital ventricular septal defect","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4179992","363005004","Cardiovascular system hereditary disorder","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4317288","95441000","Pulmonary artery stenosis","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","321588","56265001","Heart disease","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4343922","239885004","Fibrosclerosis - systemic","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","42537652","737174002","Inflammation of tunica vaginalis","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4141179","264086008","Malaligned outlet septum","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4196360","79840007","Idiopathic chloasma","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4233224","89819002","Cardiac insufficiency during AND/OR resulting from a procedure","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","4"
"","43530961","609507007","Induced termination of pregnancy complicated by cardiac failure","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","2"
"","37110393","724636005","Sudden idiopathic hearing loss","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4194320","314269007","Idiopathic choroidal neovascular membrane","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4227090","405549001","Abscess of connective tissue","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","75863","197834003","Chronic interstitial cystitis","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4171880","419982005","Corneal stromal degeneration","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","36715118","720605009","Cardiac anomaly and heterotaxy syndrome","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4098145","191256002","Idiopathic aplastic anemia","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","40487478","447943006","Tripartite right ventricle","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4354083","251042004","Peripheral pulmonary artery disease","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","43531001","609555007","Diastolic heart failure stage A","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4309027","83664006","Idiopathic atrophic hypothyroidism","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","43531002","609556008","Systolic heart failure stage A","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","37206611","786496006","Idiopathic detrusor overactivity","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4225061","405272003","Primary alveolar hypoventilation","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","440417","59282003","Pulmonary embolism","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","3"
"","40491522","448783009","Pulmonary vein dilatation","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","254061","60046008","Pleural effusion","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4079695","277638005","Sepsis-associated left ventricular failure","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","44784345","72481000119103","Congestive heart failure as early postoperative complication","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4130892","264467005","False tendon - heart","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","40481299","441910000","Idiopathic sleep related non-obstructive alveolar hypoventilation","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","3"
"","36715086","720567008","Bosley Salih Alorainy syndrome","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","37397178","717231003","PFAPA syndrome","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","40481517","444905003","Mass of soft tissue","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","36717237","722886001","Obscure gastrointestinal hemorrhage","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4167864","419026008","Effect of exposure to physical force","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","40403695","204311009","Eisenmenger's complex","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","77961","31487001","Disseminated idiopathic skeletal hyperostosis","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4100278","253523001","Primary endocardial fibroelastosis of right ventricle","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","44784166","698194006","Idiopathic resorption of root of tooth","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","374922","230481005","Idiopathic stabbing headache","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4141230","307514008","Idiopathic factor VIII deficiency","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4188331","46847001","Chronic pulmonary edema","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","42539551","735613004","Premenopausal idiopathic osteopenia","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","762003","285221000119109","Congestive heart failure as post-operative complication of non-cardiac surgery","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","762002","285211000119102","Congestive heart failure as post-operative complication of cardiac surgery","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4100263","253461001","Dilatation of right atrioventricular valve annulus","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","313502","77970009","Benign hypertensive heart disease without congestive heart failure","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4159647","371039008","Thromboembolic disorder","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4288737","68926002","Idiopathic arterial calcification of infancy","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","46271074","709109004","Hypercapnic respiratory failure","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","3"
"","37397147","717191005","Sporadic idiopathic steroid-resistant nephrotic syndrome","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","46271075","709111008","Acute hypoxemic respiratory failure","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4069533","203516005","Idiopathic hypertrophy of bone","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4008090","111941005","Familial disease","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4301030","403408001","Poikiloderma due to connective tissue disease","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","36713113","328511000119109","Saddle embolus of pulmonary artery","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","192680","34742003","Portal hypertension","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4301035","403424000","Idiopathic sclerosing lipogranuloma","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","37016198","14720231000119109","Epiploic appendagitis","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","36715141","720639008","Coloboma, congenital heart disease, ichthyosiform dermatosis, intellectual disability ear anomaly syndrome","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","37016194","145751000119104","Lymphangiomyomatosis of connective tissue","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","36717199","722051004","Obesity, colitis, hypothyroidism, cardiac hypertrophy, developmental delay syndrome","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4129018","237227006","Congenital heart disease in pregnancy","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","2"
"","43020888","472768001","Obstruction of pulmonary great vein due to compression by right atrial dilatation","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","764123","451041000124103","Atherosclerosis of coronary artery without angina pectoris","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4208786","312225001","Musculoskeletal and connective tissue disorder","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","2"
"","4284562","66989003","Chronic right-sided congestive heart failure","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","3"
"","4024552","105981003","Disorder of cardiac function","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","46273047","711524008","Idiopathic atrophoderma of Pasini and Pierini","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4079849","276553003","Idiopathic hepatitis in infancy","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","43020876","459060000","Infective endocarditis of right ventricular wall","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4305056","418254004","Corneal keloid","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","42539629","736464002","Chronic idiopathic pain syndrome","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","46271022","709044004","Chronic kidney disease","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","442603","66610008","Malignant hypertensive heart AND renal disease","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","43530856","609389009","High risk of heart failure, stage B","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4001998","11029002","Pulmonary apoplexy","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","3170508","11160001000004100","Mucous cyst","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","Nebraska Lexicon","1"
"","43020909","472789005","Obstruction of surgically constructed pulmonary venous pathway as complication of procedure","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","43530854","609386002","At risk for heart failure","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","43530855","609388001","High risk of heart failure, stage A","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4229440","88805009","Chronic congestive heart failure","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","2"
"","4274496","63977007","Seborrhea adiposa","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","442626","66052004","Benign hypertensive heart AND renal disease","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4131130","127063008","Erythrocytosis due to cyanotic congenital heart disease","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4153653","370493008","Renal medullary washout","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","36717359","15629641000119107","Systolic heart failure stage B due to ischemic cardiomyopathy","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","40479606","441557008","Septic pulmonary embolism","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","46273505","89201000119106","Dependence on supplemental oxygen when ambulating","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","42537903","737580004","Idiopathic bilateral vestibulopathy","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4344165","239918008","Undifferentiated connective tissue disease","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4147477","267388009","Idiopathic hypopituitarism","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4165905","415992005","Disorder of right cardiac ventricle","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4335981","231947004","Idiopathic anterior uveitis","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","40479576","441530006","Chronic diastolic heart failure","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","3"
