concept_id,concept_name,rationale
4142899,Subcutaneous rheumatoid nodule,PHOEBE Recommendation
607145,Systemic rheumatoid vasculitis,PHOEBE Recommendation
4043346,Disorder of thorax,PHOEBE Recommendation
4344497,Soft tissue lesion,PHOEBE Recommendation
44782620,Disorder of free lower limb,PHOEBE Recommendation
433128,Complication,PHOEBE Recommendation
4208786,Musculoskeletal and connective tissue disorder,PHOEBE Recommendation
80180,Osteoarthritis,PHOEBE Recommendation
257907,Disorder of lung,PHOEBE Recommendation
4054054,Joint injury,PHOEBE Recommendation
4181064,Inflammatory disorder of extremity,PHOEBE Recommendation
4181062,Inflammation of skin and/or subcutaneous tissue,PHOEBE Recommendation
4180010,Degenerative disorder of cartilage,PHOEBE Recommendation
253506,Pneumonitis,PHOEBE Recommendation
77635,Disorder of hand,PHOEBE Recommendation
4188970,Chronic disease of immune function,PHOEBE Recommendation
4266188,Disorder of body wall,PHOEBE Recommendation
434621,Autoimmune disease,PHOEBE Recommendation
40482662,Disorder of joint of ankle and/or foot,PHOEBE Recommendation
4090616,Disorder of soft tissue of upper limb,PHOEBE Recommendation
132706,Disorder of nail,PHOEBE Recommendation
40484571,Disorder of joint of shoulder region,PHOEBE Recommendation
4027258,Disorder of finger,PHOEBE Recommendation
439103,Articular cartilage disorder,PHOEBE Recommendation
443583,Disorder of ankle joint,PHOEBE Recommendation
81454,Injury of finger,PHOEBE Recommendation
4328821,Disorder of glenohumeral joint,PHOEBE Recommendation
35622958,Disorder in remission,PHOEBE Recommendation
4094283,Lower limb joint arthritis,PHOEBE Recommendation
4208390,Inflammation of sacroiliac joint,PHOEBE Recommendation
4119786,Interstitial lung disease,PHOEBE Recommendation
4205509,Arthritis of elbow,PHOEBE Recommendation
74125,Inflammatory polyarthropathy,PHOEBE Recommendation
4153359,Arthritis of spine,PHOEBE Recommendation
40483262,Arthritis of shoulder region joint,PHOEBE Recommendation
4267510,Rheumatoid factor level - finding,PHOEBE Recommendation
253797,Post-inflammatory pulmonary fibrosis,PHOEBE Recommendation
319825,Rheumatic heart disease,PHOEBE Recommendation
4159739,Arthritis of knee,PHOEBE Recommendation
764153,Disorder of right upper extremity,PHOEBE Recommendation
4189855,Chronic arthropathy,PHOEBE Recommendation
764154,Disorder of left upper extremity,PHOEBE Recommendation
4184089,Shoulder joint inflamed,PHOEBE Recommendation
4344259,Soft tissue lesion of elbow region,PHOEBE Recommendation
200527,Splenomegaly,PHOEBE Recommendation
4132999,Disorder of subcutaneous tissue,PHOEBE Recommendation
437082,Ankylosing spondylitis,PHOEBE Recommendation
4252581,Alveolar pneumopathy,PHOEBE Recommendation
4163270,Seronegative arthritis,PHOEBE Recommendation
4179877,Autoimmune connective tissue disorder,PHOEBE Recommendation
4264033,Systemic vasculitis,PHOEBE Recommendation
4262443,Chronic arthritis,PHOEBE Recommendation
759883,Arthritis of joint of left shoulder region,PHOEBE Recommendation
759884,Arthritis of joint of right shoulder region,PHOEBE Recommendation
4253901,Juvenile rheumatoid arthritis,PHOEBE Recommendation
37110370,Small vessel vasculitis,PHOEBE Recommendation
134118,Atrophic condition of skin,PHOEBE Recommendation
4138837,Pericarditis,PHOEBE Recommendation
4167909,Injury of nail,PHOEBE Recommendation
40490497,Arthritis of hand,PHOEBE Recommendation
259044,Pneumoconiosis,PHOEBE Recommendation
192763,Injury of blood vessel,PHOEBE Recommendation
