"","Id","Code","Name","Class","Standard Concept Caption","RC","DRC","PC","DPC","Domain","Vocabulary","Count"
"","4043346","118946009","Disorder of thorax","Clinical Finding","Standard","1,129,204","4,820,234,145","0","0","Condition","SNOMED","1"
"","4344497","239953001","Soft tissue lesion","Clinical Finding","Standard","13,681","2,773,423,168","0","0","Condition","SNOMED","1"
"","44782620","700012005","Disorder of free lower limb","Clinical Finding","Standard","1,642","1,729,372,598","0","0","Condition","SNOMED","1"
"","433128","116223007","Complication","Clinical Finding","Standard","390,363","1,587,756,326","0","0","Condition","SNOMED","1"
"","4208786","312225001","Musculoskeletal and connective tissue disorder","Clinical Finding","Standard","82,352","1,432,000,715","0","0","Condition","SNOMED","1"
"","80180","396275006","Osteoarthritis","Clinical Finding","Standard","158,737,867","1,277,040,430","0","0","Condition","SNOMED","2"
"","257907","19829001","Disorder of lung","Clinical Finding","Standard","45,761,081","1,131,505,612","0","0","Condition","SNOMED","1"
"","4054054","125610000","Joint injury","Clinical Finding","Standard","5,611","602,777,181","0","0","Condition","SNOMED","1"
"","4181064","363175000","Inflammatory disorder of extremity","Clinical Finding","Standard","16,395","484,984,106","0","0","Condition","SNOMED","1"
"","4181062","363168001","Inflammation of skin and/or subcutaneous tissue","Clinical Finding","Standard","18,924","435,842,897","0","0","Condition","SNOMED","1"
"","4180010","363055007","Degenerative disorder of cartilage","Clinical Finding","Standard","303","326,016,604","0","0","Condition","SNOMED","1"
"","253506","205237003","Pneumonitis","Clinical Finding","Standard","68,843","290,949,972","0","0","Condition","SNOMED","1"
"","77635","118933004","Disorder of hand","Clinical Finding","Standard","6,930,553","280,147,710","0","0","Condition","SNOMED","1"
"","4188970","413834006","Chronic disease of immune function","Clinical Finding","Standard","100","277,527,215","0","0","Condition","SNOMED","1"
"","4266188","399986003","Disorder of body wall","Clinical Finding","Standard","100","231,866,353","0","0","Condition","SNOMED","1"
"","434621","85828009","Autoimmune disease","Clinical Finding","Standard","1,447,693","229,989,545","0","0","Condition","SNOMED","1"
"","40482662","442246002","Disorder of joint of ankle and/or foot","Clinical Finding","Standard","11,908,784","223,837,802","0","0","Condition","SNOMED","1"
"","4090616","280135003","Disorder of soft tissue of upper limb","Clinical Finding","Standard","118,890","195,678,574","0","0","Condition","SNOMED","1"
"","132706","17790008","Disorder of nail","Clinical Finding","Standard","16,537,650","170,507,686","0","0","Condition","SNOMED","1"
"","40484571","444003007","Disorder of joint of shoulder region","Clinical Finding","Standard","2,751,236","137,296,600","0","0","Condition","SNOMED","1"
"","4027258","128618006","Disorder of finger","Clinical Finding","Standard","28,891","119,944,559","0","0","Condition","SNOMED","1"
"","439103","53417006","Articular cartilage disorder","Clinical Finding","Standard","669,482","104,303,357","0","0","Condition","SNOMED","1"
"","443583","428776005","Disorder of ankle joint","Clinical Finding","Standard","48,237","96,065,257","0","0","Condition","SNOMED","1"
"","81454","52011008","Injury of finger","Clinical Finding","Standard","8,902,277","78,214,644","0","0","Condition","SNOMED","1"
"","4328821","430940009","Disorder of glenohumeral joint","Clinical Finding","Standard","6,073","64,461,621","0","0","Condition","SNOMED","1"
"","35622958","765205004","Disorder in remission","Clinical Finding","Standard","450,877","57,798,403","0","0","Condition","SNOMED","1"
"","4094283","250131003","Lower limb joint arthritis","Clinical Finding","Standard","13,955","55,640,432","0","0","Condition","SNOMED","1"
"","4208390","55146009","Inflammation of sacroiliac joint","Clinical Finding","Standard","14,661,916","40,360,721","0","0","Condition","SNOMED","1"
"","4119786","233703007","Interstitial lung disease","Clinical Finding","Standard","4,958,627","31,495,715","0","0","Condition","SNOMED","1"
"","4205509","439656005","Arthritis of elbow","Clinical Finding","Standard","70,009","28,939,079","0","0","Condition","SNOMED","2"
"","74125","417373000","Inflammatory polyarthropathy","Clinical Finding","Standard","14,338,128","22,767,519","0","0","Condition","SNOMED","2"
"","4153359","371082009","Arthritis of spine","Clinical Finding","Standard","64,712","20,411,683","0","0","Condition","SNOMED","1"
"","40483262","443798008","Arthritis of shoulder region joint","Clinical Finding","Standard","10,159,818","20,236,492","0","0","Condition","SNOMED","1"
"","4267510","365600008","Rheumatoid factor level - finding","Clinical Finding","Standard","100","19,422,444","0","0","Condition","SNOMED","1"
"","253797","266368002","Post-inflammatory pulmonary fibrosis","Clinical Finding","Standard","15,221,595","15,221,595","0","0","Condition","SNOMED","1"
"","4013263","165839004","Rheumatoid factor positive","Clinical Finding","Standard","97,772","13,672,805","0","0","Condition","SNOMED","2"
"","319825","23685000","Rheumatic heart disease","Clinical Finding","Standard","788,948","13,163,921","0","0","Condition","SNOMED","1"
"","4159739","371081002","Arthritis of knee","Clinical Finding","Standard","1,633,713","12,499,283","0","0","Condition","SNOMED","3"
"","764153","451401000124107","Disorder of right upper extremity","Clinical Finding","Standard","0","11,915,356","0","0","Condition","SNOMED","1"
"","4189855","38850007","Chronic arthropathy","Clinical Finding","Standard","941","11,437,801","0","0","Condition","SNOMED","1"
"","764154","451411000124105","Disorder of left upper extremity","Clinical Finding","Standard","0","11,163,239","0","0","Condition","SNOMED","1"
"","4184089","298162008","Shoulder joint inflamed","Clinical Finding","Standard","1,377","9,759,412","0","0","Condition","SNOMED","1"
"","4344259","239964003","Soft tissue lesion of elbow region","Clinical Finding","Standard","783","8,964,434","0","0","Condition","SNOMED","1"
"","200527","16294009","Splenomegaly","Clinical Finding","Standard","7,218,096","8,021,264","0","0","Condition","SNOMED","1"
"","4132999","128041002","Disorder of subcutaneous tissue","Clinical Finding","Standard","576","7,655,222","0","0","Condition","SNOMED","1"
"","437082","9631008","Ankylosing spondylitis","Clinical Finding","Standard","6,284,758","6,321,707","0","0","Condition","SNOMED","1"
"","4252581","7436001","Alveolar pneumopathy","Clinical Finding","Standard","84,018","5,793,530","0","0","Condition","SNOMED","1"
"","4163270","399112009","Seronegative arthritis","Clinical Finding","Standard","23,990","5,712,356","0","0","Condition","SNOMED","1"
"","4179877","362992004","Autoimmune connective tissue disorder","Clinical Finding","Standard","100","5,439,929","0","0","Condition","SNOMED","1"
"","4264033","46956008","Systemic vasculitis","Clinical Finding","Standard","1,232","5,258,236","0","0","Condition","SNOMED","1"
"","4262443","35908007","Chronic arthritis","Clinical Finding","Standard","23,711","4,781,727","0","0","Condition","SNOMED","1"
"","759883","1074591000119106","Arthritis of joint of left shoulder region","Clinical Finding","Standard","0","4,400,528","0","0","Condition","SNOMED","2"
"","759884","1074611000119101","Arthritis of joint of right shoulder region","Clinical Finding","Standard","0","4,000,720","0","0","Condition","SNOMED","3"
"","4253901","410795001","Juvenile rheumatoid arthritis","Clinical Finding","Standard","1,126,556","3,835,002","0","0","Condition","SNOMED","2"
"","37110370","724599009","Small vessel vasculitis","Clinical Finding","Standard","200","3,480,749","0","0","Condition","SNOMED","1"
"","134118","400190005","Atrophic condition of skin","Clinical Finding","Standard","2,280,688","3,320,507","0","0","Condition","SNOMED","1"
"","4138837","3238004","Pericarditis","Clinical Finding","Standard","121,554","2,858,097","0","0","Condition","SNOMED","1"
"","4167909","275320004","Injury of nail","Clinical Finding","Standard","157,441","2,514,905","0","0","Condition","SNOMED","1"
"","40490497","448589005","Arthritis of hand","Clinical Finding","Standard","391,379","2,441,196","0","0","Condition","SNOMED","2"
"","259044","40122008","Pneumoconiosis","Clinical Finding","Standard","219,875","2,359,061","0","0","Condition","SNOMED","1"
"","192763","57662003","Injury of blood vessel","Clinical Finding","Standard","74,091","2,194,566","0","0","Condition","SNOMED","1"
"","4319304","95329006","Autoimmune skin disease","Clinical Finding","Standard","664","2,139,173","0","0","Condition","SNOMED","1"
"","72714","1961000","Chronic polyarticular juvenile rheumatoid arthritis","Clinical Finding","Standard","1,815,860","1,815,860","0","0","Condition","SNOMED","2"
"","4033051","238986007","Chemical-induced dermatological disorder","Clinical Finding","Standard","5,858","1,692,539","0","0","Condition","SNOMED","1"
"","4146124","427213005","Autoimmune vasculitis","Clinical Finding","Standard","1,857","1,174,849","0","0","Condition","SNOMED","1"
"","4218083","815008","Episcleritis","Clinical Finding","Standard","511,960","1,156,449","0","0","Condition","SNOMED","1"
"","4316084","95325000","Subcutaneous nodule","Clinical Finding","Standard","111,822","1,098,859","0","0","Condition","SNOMED","2"
"","4079731","239796000","Juvenile chronic arthritis","Clinical Finding","Standard","10,765","963,155","0","0","Condition","SNOMED","1"
"","42872407","1771000119109","Arthritis of wrist","Clinical Finding","Standard","116,798","899,027","0","0","Condition","SNOMED","2"
"","4286642","68449006","Arthritis of hip","Clinical Finding","Standard","374,228","891,390","0","0","Condition","SNOMED","2"
"","4107913","193250002","Myopathy due to rheumatoid arthritis","Clinical Finding","Standard","539,603","539,603","0","0","Condition","SNOMED","2"
"","36676836","774129008","Arthropathy of left knee joint","Clinical Finding","Standard","0","515,908","0","0","Condition","SNOMED","1"
"","72705","74391003","Pauciarticular juvenile rheumatoid arthritis","Clinical Finding","Standard","513,846","514,046","0","0","Condition","SNOMED","2"
"","4312754","86157004","Occupational lung disease","Clinical Finding","Standard","826","461,235","0","0","Condition","SNOMED","1"
"","36676837","774130003","Arthropathy of right knee joint","Clinical Finding","Standard","0","449,481","0","0","Condition","SNOMED","1"
"","4259507","410502007","Juvenile idiopathic arthritis","Clinical Finding","Standard","7,645","446,650","0","0","Condition","SNOMED","1"
"","4317266","95347000","Skin necrosis","Clinical Finding","Standard","6,173","441,157","0","0","Condition","SNOMED","1"
"","440822","41910004","Periostitis","Clinical Finding","Standard","4,637","405,194","0","0","Condition","SNOMED","1"
"","4218311","416956002","Undifferentiated inflammatory polyarthritis","Clinical Finding","Standard","397,561","397,561","0","0","Condition","SNOMED","1"
"","4182711","53312001","Vasculitis of the skin","Clinical Finding","Standard","244,460","295,664","0","0","Condition","SNOMED","1"
"","4300489","387801000","Cervical arthritis","Clinical Finding","Standard","95,842","257,089","0","0","Condition","SNOMED","1"
"","4039691","11791001","Necrotizing vasculitis","Clinical Finding","Standard","100,092","238,267","0","0","Condition","SNOMED","1"
"","75621","75822003","Acute polyarticular juvenile rheumatoid arthritis","Clinical Finding","Standard","181,944","181,944","0","0","Condition","SNOMED","2"
"","4116447","201796004","Systemic onset juvenile chronic arthritis","Clinical Finding","Standard","163,250","163,250","0","0","Condition","SNOMED","2"
"","4102493","193180002","Polyneuropathy in rheumatoid arthritis","Clinical Finding","Standard","154,138","154,138","0","0","Condition","SNOMED","2"
"","4223530","84172003","Spondylitis","Clinical Finding","Standard","12,619","121,417","0","0","Condition","SNOMED","1"
"","40489492","448394006","Inflammation of joint of foot","Clinical Finding","Standard","18,910","98,136","0","0","Condition","SNOMED","2"
"","4323882","429459001","Arthritis of acromioclavicular joint","Clinical Finding","Standard","92,814","93,214","0","0","Condition","SNOMED","2"
"","761926","20740001000004108","Mass of elbow region","Clinical Finding","Standard","0","88,289","0","0","Condition","SNOMED","1"
"","437897","18192007","Acute rheumatic endocarditis","Clinical Finding","Standard","78,911","78,911","0","0","Condition","SNOMED","1"
"","4025168","196125002","Diffuse interstitial pulmonary fibrosis","Clinical Finding","Standard","73,756","74,256","0","0","Condition","SNOMED","1"
"","4182009","298171004","Ankle joint inflamed","Clinical Finding","Standard","13,295","47,384","0","0","Condition","SNOMED","1"
"","4176008","428143003","Arthritis of joint of toe","Clinical Finding","Standard","9,875","41,350","0","0","Condition","SNOMED","1"
"","36687055","15726841000119108","Bilateral arthropathy of knee joints","Clinical Finding","Standard","0","36,115","0","0","Condition","SNOMED","1"
"","75622","201799006","Monarticular juvenile rheumatoid arthritis","Clinical Finding","Standard","33,346","33,346","0","0","Condition","SNOMED","2"
"","4240648","91944005","Arthritis of temporomandibular joint","Clinical Finding","Standard","23,450","24,050","0","0","Condition","SNOMED","2"
"","37119224","1074701000119105","Arthritis of right elbow","Clinical Finding","Standard","310","23,295","0","0","Condition","SNOMED","3"
"","759887","1074751000119109","Inflammation of joint of left hand","Clinical Finding","Standard","0","6,532","0","0","Condition","SNOMED","2"
"","759888","1074761000119106","Inflammation of joint of right hand","Clinical Finding","Standard","0","3,579","0","0","Condition","SNOMED","2"
"","4005650","110282008","Drug-induced lesion","Clinical Finding","Standard","0","3,473","0","0","Condition","SNOMED","1"
"","4185033","298167002","Finger joint inflamed","Clinical Finding","Standard","748","3,187","0","0","Condition","SNOMED","1"
"","37108613","1074891000119109","Arthritis of left foot","Clinical Finding","Standard","1,374","2,681","0","0","Condition","SNOMED","2"
"","37117139","1074921000119104","Arthritis of right foot","Clinical Finding","Standard","1,234","2,486","0","0","Condition","SNOMED","2"
"","4051056","123777002","Autoimmune leukopenia","Clinical Finding","Standard","100","2,373","0","0","Condition","SNOMED","1"
"","37108614","1074911000119106","Arthritis of right ankle","Clinical Finding","Standard","1,440","2,307","0","0","Condition","SNOMED","2"
"","37108607","1074731000119103","Arthritis of right wrist","Clinical Finding","Standard","2,037","2,237","0","0","Condition","SNOMED","3"
"","37108612","1074881000119106","Arthritis of left ankle","Clinical Finding","Standard","1,260","2,163","0","0","Condition","SNOMED","2"
