"","Id","Code","Name","Class","Standard Concept Caption","RC","DRC","PC","DPC","Domain","Vocabulary","Count"
"","4319300","95319004","Skin nodule","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","36686378","11780441000119100","Injury of articular cartilage of left knee joint","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","36686377","11780401000119102","Injury of articular cartilage of right knee joint","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4319304","95329006","Autoimmune skin disease","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","2"
"","4171828","48503007","Acute lymphangitis of hand","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4210765","56940005","Palmar erythema","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","759834","10624651000119101","Stress fracture of lateral condyle of left femur","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","81939","5137004","Recurrent dislocation of joint","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","81938","201977006","Climacteric arthritis of the shoulder region","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4317266","95347000","Skin necrosis","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","36684347","782538005","Tendinitis of ankle","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4014120","165840002","Rheumatoid factor negative","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4180010","363055007","Degenerative disorder of cartilage","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","81945","202465007","Palindromic rheumatism of multiple sites","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4313176","423310007","Post-infective arthritis of joint of hand","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","2"
"","4225116","84724007","Acute lymphangitis of buttock","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4266078","61126009","Infective polyarthritis","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","2"
"","79905","201994008","Transient arthropathy of the ankle and/or foot","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4264033","46956008","Systemic vasculitis","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4184090","298163003","Elbow joint inflamed","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4184089","298162008","Shoulder joint inflamed","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4343918","239868001","Osteoarthritis of finger joint","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4040720","118945008","Disorder of skull","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4214896","80941006","Subcutaneous sarcoidosis","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4114447","201807008","Juvenile arthritis in ulcerative colitis","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4198513","298945002","Wrist joint deformity","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4157453","372109003","Disorder of joint of spine","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4007950","111029001","Acrokerato-elastoidosis","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","440371","414029004","Disorder of immune function","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4001797","203068005","Contracture of adductor pollicis","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
"","4239487","58781003","Gluteal tendinitis","Clinical Finding","Standard","timeout","timeout","timeout","timeout","Condition","SNOMED","1"
