concept_name,concept_id,include,rationale
Occlusion of circumflex branch of left coronary artery,604426,True,"Yes, the condition of occlusion of the circumflex branch of the left coronary artery is specific to the malady of Acute Myocardial Infarction (AMI). 

In AMI, the sudden occlusion of a coronary artery leads to ischemia and necrosis of cardiac tissue, resulting in a heart attack. The circumflex branch of the left coronary artery is one of the main arteries that supply blood to the heart muscle. If this branch becomes occluded, it can lead to a heart attack by causing a lack of blood flow to a portion of the myocardium, resulting in myocardial cell death.

Therefore, if a patient has the condition of occlusion of the circumflex branch of the left coronary artery, it is highly likely that they have or are at risk of developing an acute myocardial infarction."
Atrial cardiopathy,3655971,False,"No

Rationale:
Atrial cardiopathy is a term used to describe structural and functional changes in the atria that may predispose individuals to atrial fibrillation and stroke. While atrial cardiopathy may increase the risk of certain cardiovascular events, it is not specific to acute myocardial infarction (AMI). AMI is primarily caused by coronary artery occlusion leading to myocardial ischemia and necrosis, which is distinct from the changes seen in atrial cardiopathy. Therefore, having atrial cardiopathy does not definitively mean that an individual will have an AMI."
Pericarditis secondary to acute myocardial infarction,4322145,True,"Yes, pericarditis secondary to acute myocardial infarction is specific to the malady of Acute Myocardial Infarction. 

Pericarditis is inflammation of the pericardium, the sac surrounding the heart. In the context of acute myocardial infarction, pericarditis can occur as a complication due to the inflammatory response triggered by myocardial necrosis. This condition is specific to acute myocardial infarction because it is a direct consequence of the heart attack itself. Therefore, if a patient has pericarditis secondary to acute myocardial infarction, they definitely have the malady of acute myocardial infarction."
Supraventricular tachycardia following acute myocardial infarction,609068,True,"Yes, the condition of supraventricular tachycardia following acute myocardial infarction is specific to the malady of acute myocardial infarction. 

Supraventricular tachycardia (SVT) is a rapid heart rhythm originating above the ventricles, often characterized by a heart rate greater than 100 beats per minute. In the context of acute myocardial infarction (AMI), SVT can occur as a complication due to the ischemic damage to the heart tissue. The stress on the heart from the AMI can lead to abnormal electrical impulses and trigger episodes of SVT.

Therefore, if a patient presents with supraventricular tachycardia following an acute myocardial infarction, it is highly likely that the underlying cause of the SVT is the AMI itself. The presence of SVT in this scenario would be a specific indicator of the AMI."
Unstable angina co-occurrent and due to coronary arteriosclerosis,36712982,True,"Yes, the condition of unstable angina co-occurrent and due to coronary arteriosclerosis is specific to the malady of Acute Myocardial Infarction (AMI). Unstable angina is a condition characterized by chest pain or discomfort that occurs at rest or with minimal exertion and is due to reduced blood flow to the heart muscle. It is considered a precursor to AMI, as it indicates an unstable plaque in the coronary arteries that may rupture and lead to a heart attack. Coronary arteriosclerosis refers to the buildup of plaque in the arteries, which can eventually lead to the occlusion of a coronary artery and result in AMI. Therefore, if a person has unstable angina co-occurrent and due to coronary arteriosclerosis, they are at high risk for developing AMI."
Acute on chronic combined systolic and diastolic heart failure,44782733,False,"No

Rationale:
Acute on chronic combined systolic and diastolic heart failure is a condition characterized by the exacerbation of both systolic and diastolic heart failure symptoms, leading to acute decompensation of heart function. While acute myocardial infarction can lead to heart failure as a complication, not all cases of acute on chronic combined systolic and diastolic heart failure are directly caused by a heart attack. Therefore, having this condition does not definitively mean that the individual has experienced an acute myocardial infarction."
Rupture of ventricle due to acute myocardial infarction,4147223,True,"Yes, the condition ""Rupture of ventricle due to acute myocardial infarction"" is specific to the malady of Acute Myocardial Infarction. 

Rupture of the ventricle is a serious complication that can occur as a result of an acute myocardial infarction. When a heart attack leads to significant damage to the heart muscle, it can weaken the ventricular wall and potentially lead to rupture. This complication is directly related to the occurrence of an acute myocardial infarction and is not typically seen in other conditions. Therefore, if a patient experiences a rupture of the ventricle, it is highly likely that they have also suffered from an acute myocardial infarction."
Mural thrombus of left ventricle following acute myocardial infarction,36712985,True,"Yes, the condition of ""Mural thrombus of left ventricle following acute myocardial infarction"" is specific to the malady of Acute Myocardial Infarction. 

Rationale:
A mural thrombus of the left ventricle is a complication that can occur following an acute myocardial infarction. The occlusion of a coronary artery during a heart attack can lead to ischemia and necrosis of cardiac tissue, which can result in the formation of a thrombus within the left ventricle. This complication is directly related to the initial event of acute myocardial infarction and is a known consequence of the condition. Therefore, if a patient has a mural thrombus of the left ventricle following an acute myocardial infarction, it is indicative that they have experienced an acute myocardial infarction."
Old myocardial infarction,314666,True,"Yes, the condition of ""Old myocardial infarction"" is specific to the malady of Acute Myocardial Infarction. 

Rationale: An old myocardial infarction refers to a previous heart attack that has already occurred and resulted in damage to the heart muscle. Since Acute Myocardial Infarction is characterized by the sudden occlusion of a coronary artery leading to myocardial cell death, an old myocardial infarction would be a past event of this nature. Therefore, if someone has an old myocardial infarction, it indicates that they have previously experienced Acute Myocardial Infarction."
Cardiac rupture due to and following acute myocardial infarction,4124687,True,"Yes, the condition of cardiac rupture due to and following acute myocardial infarction is specific to the malady of Acute Myocardial Infarction. 

Cardiac rupture is a serious complication that can occur following an acute myocardial infarction, where the necrotic myocardial tissue becomes weakened and may tear, leading to rupture of the heart muscle. This complication is directly related to the initial event of acute myocardial infarction and is a known consequence of the ischemic damage to the myocardium. Therefore, if a patient has cardiac rupture due to and following acute myocardial infarction, it is a clear indication that they have experienced an acute myocardial infarction."
Rupture of interventricular septum following acute myocardial infarction,609083,True,"Yes, the condition ""Rupture of interventricular septum following acute myocardial infarction"" is specific to the malady ""Acute Myocardial Infarction."" 

Rupture of the interventricular septum is a serious complication that can occur following an acute myocardial infarction. It is a direct consequence of the necrosis and weakening of the myocardium due to the heart attack. This condition is specific to acute myocardial infarction because it is a complication that arises as a result of the initial occlusion of a coronary artery and subsequent myocardial damage. Therefore, if a patient has a rupture of the interventricular septum following an acute myocardial infarction, it is indicative that they have experienced a heart attack."
Acute systolic heart failure,40480603,False,"No

Rationale:
Acute systolic heart failure is not specific to acute myocardial infarction. While acute myocardial infarction can lead to acute systolic heart failure as a complication, there are other causes of acute systolic heart failure such as severe valvular heart disease, viral myocarditis, or acute decompensation of chronic heart failure. Therefore, having acute systolic heart failure does not definitively mean that a person has acute myocardial infarction."
Acute on chronic systolic heart failure,40480602,False,"No

Rationale:
Acute on chronic systolic heart failure is a condition characterized by the acute decompensation of chronic heart failure, leading to worsening symptoms such as dyspnea, fatigue, and fluid retention. While acute on chronic systolic heart failure can increase the risk of developing complications such as acute myocardial infarction, it is not specific to the malady itself. Acute myocardial infarction is a distinct event involving the sudden occlusion of a coronary artery leading to myocardial cell death, which may or may not occur in the setting of chronic heart failure. Therefore, having acute on chronic systolic heart failure does not definitively mean that an individual has experienced an acute myocardial infarction."
Myocardial infarction,4329847,True,"Yes, the condition of myocardial infarction is specific to the malady of Acute Myocardial Infarction (AMI). If a person has a myocardial infarction, they definitely have experienced a heart attack, which is the defining characteristic of AMI. The condition of myocardial infarction is a direct indicator of the malady of AMI, as it refers to the death of cardiac tissue due to the sudden occlusion of a coronary artery. Therefore, the presence of myocardial infarction confirms the diagnosis of AMI."
Inferior ST segment elevation,45767555,True,"Yes, Inferior ST segment elevation is specific to Acute Myocardial Infarction (AMI).

Rationale:
Inferior ST segment elevation on an electrocardiogram (ECG) is a classic finding in patients with AMI involving the inferior wall of the heart. This pattern of ST segment elevation in leads II, III, and aVF is indicative of ischemia in the inferior region of the heart, which is commonly caused by occlusion of the right coronary artery or the left circumflex artery. Therefore, if a patient presents with inferior ST segment elevation, it is highly suggestive of AMI. However, it is important to note that not all cases of AMI may present with this specific ECG finding, as other patterns such as ST-segment elevation in the anterior leads (V1-V4) or new-onset Q waves may also be seen."
Postmyocardial infarction syndrome,319038,True,"Yes, postmyocardial infarction syndrome is specific to acute myocardial infarction. 

Postmyocardial infarction syndrome refers to a group of complications that can occur following a heart attack, such as pericarditis, Dressler syndrome, and ventricular aneurysm. These complications are directly related to the damage caused by the acute myocardial infarction and are not typically seen in other conditions. Therefore, if a patient is diagnosed with postmyocardial infarction syndrome, it is highly likely that they have previously experienced an acute myocardial infarction."
Left anterior descending coronary artery thrombosis,4153091,True,"Yes, left anterior descending coronary artery thrombosis is specific to acute myocardial infarction (AMI). The left anterior descending coronary artery is one of the major arteries that supplies blood to the heart muscle, and thrombosis in this artery can lead to the sudden occlusion of blood flow, resulting in ischemia and necrosis of cardiac tissue characteristic of AMI. Therefore, if a patient has left anterior descending coronary artery thrombosis, they definitely have the malady of acute myocardial infarction."
Anterior ST segment elevation,45767556,True,"Yes, anterior ST segment elevation is specific to Acute Myocardial Infarction (AMI). 

Anterior ST segment elevation on an electrocardiogram (ECG) is a classic finding in AMI, particularly in cases where the occlusion of the coronary artery affects the anterior wall of the heart. This specific ECG pattern is indicative of myocardial ischemia and necrosis, which are characteristic features of AMI. Therefore, if a patient presents with anterior ST segment elevation, it strongly suggests the presence of AMI. However, it is important to note that not all cases of AMI may present with anterior ST segment elevation, as the location of the occluded coronary artery can vary."
Acute coronary artery occlusion not resulting in myocardial infarction,44784623,False,"No

Rationale:
Acute coronary artery occlusion not resulting in myocardial infarction is a condition where there is a sudden blockage of a coronary artery, but it does not lead to myocardial cell death and the release of cardiac biomarkers. In contrast, acute myocardial infarction (AMI) specifically involves the occlusion of a coronary artery resulting in ischemia and necrosis of cardiac tissue, leading to the characteristic symptoms and diagnostic criteria mentioned in the description. Therefore, if a person has acute coronary artery occlusion not resulting in myocardial infarction, they do not definitively have AMI."
Coronary occlusion,316995,True,"Yes, coronary occlusion is specific to Acute Myocardial Infarction (AMI). Coronary occlusion refers to the sudden blockage of a coronary artery, which is the primary event that leads to AMI. In AMI, the occlusion results in ischemia and necrosis of cardiac tissue, causing a heart attack. Therefore, if someone has a coronary occlusion, they definitely have AMI."
Acute respiratory failure,319049,False,"No

Rationale: Acute respiratory failure is not specific to acute myocardial infarction. Acute respiratory failure is a condition characterized by the inability of the respiratory system to maintain adequate gas exchange, leading to hypoxemia and/or hypercapnia. While acute respiratory failure can occur as a complication of acute myocardial infarction due to cardiogenic pulmonary edema or other factors, it is not a defining feature of the malady itself. Therefore, having acute respiratory failure does not definitively mean that a person has acute myocardial infarction."
Paroxysmal ventricular tachycardia,437579,False,"No

Rationale:
Paroxysmal ventricular tachycardia is a condition characterized by episodes of rapid heart rate originating from the ventricles of the heart. While paroxysmal ventricular tachycardia can be a symptom or complication of acute myocardial infarction, it is not specific to this malady. There are various other causes of paroxysmal ventricular tachycardia, such as electrolyte imbalances, structural heart disease, and certain medications. Therefore, having paroxysmal ventricular tachycardia does not definitively mean that a person has acute myocardial infarction."
Generalized ischemic myocardial dysfunction,4110961,False,"No, generalized ischemic myocardial dysfunction is not specific to Acute Myocardial Infarction (AMI). While AMI involves ischemia and necrosis of cardiac tissue due to the occlusion of a coronary artery, generalized ischemic myocardial dysfunction can be caused by various other conditions such as severe coronary artery disease, myocarditis, or cardiomyopathy. Therefore, having generalized ischemic myocardial dysfunction does not definitively mean that a person has AMI, as the dysfunction could be due to a different underlying cause."
Occlusion of anterior descending branch of left coronary artery,3655011,True,"Yes, the condition of occlusion of the anterior descending branch of the left coronary artery is specific to the malady of Acute Myocardial Infarction (AMI). In AMI, the sudden occlusion of a coronary artery, such as the anterior descending branch of the left coronary artery, leads to ischemia and necrosis of cardiac tissue, resulting in a heart attack. Therefore, if a person has the condition of occlusion of the anterior descending branch of the left coronary artery, they definitely have the malady of AMI."
Subsequent ST segment elevation myocardial infarction,45766114,True,"Yes, subsequent ST segment elevation myocardial infarction is specific to Acute Myocardial Infarction (AMI). 

Rationale: Subsequent ST segment elevation myocardial infarction refers to a recurrent heart attack characterized by ST-segment elevation on electrocardiography (ECG) following an initial AMI. Therefore, if a patient has subsequent ST segment elevation myocardial infarction, it is indicative of a previous AMI. This condition is a direct consequence of AMI and is a clear indicator of the presence of the malady."
Disorder of cardiac ventricle,4166245,False,"No, a disorder of the cardiac ventricle is not specific to acute myocardial infarction (AMI). While AMI can lead to damage of the cardiac ventricle due to the ischemia and necrosis of cardiac tissue, a disorder of the cardiac ventricle can be caused by various other conditions such as cardiomyopathy, heart failure, or valvular heart disease. Therefore, having a disorder of the cardiac ventricle does not definitively mean that a person has AMI."
Dissection of coronary artery,37115756,False,"No

Rationale: While a dissection of a coronary artery can lead to reduced blood flow and potentially result in ischemia, it is not specific to acute myocardial infarction (AMI). A dissection of a coronary artery can occur in various conditions, including but not limited to AMI, spontaneous coronary artery dissection (SCAD), and aortic dissection. Therefore, having a dissection of a coronary artery does not definitively mean that a person has AMI."
Subsequent ST segment elevation myocardial infarction of anterior wall,45766113,True,"Yes, the condition of subsequent ST segment elevation myocardial infarction of the anterior wall is specific to the malady of Acute Myocardial Infarction. 

Rationale: The condition specifically mentions a subsequent ST segment elevation myocardial infarction of the anterior wall, which is a type of acute myocardial infarction. The description of the malady also includes information about ST-segment elevation on ECG being indicative of AMI. Therefore, if a patient has a subsequent ST segment elevation myocardial infarction of the anterior wall, they definitely have the malady of Acute Myocardial Infarction."
Congestive heart failure,319835,False,"No

Rationale:
Congestive heart failure is not specific to acute myocardial infarction. While acute myocardial infarction can lead to congestive heart failure as a complication, congestive heart failure can have various causes such as hypertension, valvular heart disease, or cardiomyopathy. Therefore, having congestive heart failure does not definitively mean that a person has had an acute myocardial infarction."
Delayed postmyocardial infarction pericarditis,37311078,False,"No

Rationale:
Delayed postmyocardial infarction pericarditis is a specific condition that occurs after a myocardial infarction, but not all patients who have had a myocardial infarction will develop pericarditis. Therefore, having delayed postmyocardial infarction pericarditis does not definitively mean that the individual has experienced an acute myocardial infarction."
Acute ischemic heart disease,319844,True,"Yes, acute ischemic heart disease is specific to acute myocardial infarction. Acute ischemic heart disease refers to a sudden decrease in blood flow to the heart muscle, which can lead to a heart attack (acute myocardial infarction). Therefore, if someone has acute ischemic heart disease, they definitely have the potential to develop a heart attack."
Left ventricular abnormality,442982,False,"No

Rationale: A left ventricular abnormality is a broad term that can encompass a variety of conditions affecting the left ventricle of the heart, such as left ventricular hypertrophy, left ventricular dilation, or left ventricular dysfunction. While left ventricular abnormalities can be a consequence of an acute myocardial infarction (AMI), they are not specific to AMI. Left ventricular abnormalities can also be caused by other conditions such as hypertension, valvular heart disease, or cardiomyopathy. Therefore, having a left ventricular abnormality does not definitively mean that a person has experienced an AMI."
Occlusion of posterior lateral branch of right coronary artery,3655760,True,"Yes, the condition of occlusion of the posterior lateral branch of the right coronary artery is specific to the malady of Acute Myocardial Infarction (AMI). In the description of AMI, it is mentioned that AMI is characterized by the sudden occlusion of a coronary artery, resulting in ischemia and necrosis of cardiac tissue. The occlusion of the posterior lateral branch of the right coronary artery would lead to a lack of blood flow to a portion of the myocardium, causing myocardial cell death and subsequent release of cardiac biomarkers such as troponin, which are indicative of AMI. Therefore, if a person has the condition of occlusion of this specific coronary artery branch, they would definitely have the malady of AMI."
Ischemic heart disease,4185932,True,"Yes, the condition of Ischemic heart disease is specific to the malady of Acute Myocardial Infarction. Ischemic heart disease refers to a condition where there is reduced blood flow to the heart muscle, often due to atherosclerosis or coronary artery disease. Acute Myocardial Infarction is a severe manifestation of ischemic heart disease, where there is a sudden occlusion of a coronary artery leading to myocardial cell death. Therefore, if a person has Ischemic heart disease, they are at risk of developing Acute Myocardial Infarction. However, not everyone with Ischemic heart disease will necessarily have an acute heart attack."
Ventricular septal abnormality,40457757,False,"No

Rationale:
A ventricular septal abnormality refers to a defect in the septum that separates the left and right ventricles of the heart. While this condition can potentially lead to complications such as heart failure, it is not specific to acute myocardial infarction (AMI). AMI is primarily caused by the sudden occlusion of a coronary artery leading to myocardial ischemia and necrosis, rather than a structural defect in the heart. Therefore, having a ventricular septal abnormality does not definitively mean that an individual has experienced an AMI."
Sequelae of cardiovascular disorders,4176969,False,"No, the condition ""Sequelae of cardiovascular disorders"" is not specific to Acute Myocardial Infarction (AMI). 

The term ""sequelae of cardiovascular disorders"" refers to the long-term consequences or complications that may arise as a result of various cardiovascular conditions, including but not limited to AMI. These sequelae can include conditions such as heart failure, arrhythmias, cardiogenic shock, and others. 

While AMI can certainly lead to sequelae such as heart failure or arrhythmias, the presence of sequelae of cardiovascular disorders does not definitively indicate the presence of AMI. Therefore, the condition is not specific to the malady in question."
Occlusion of posterior descending branch of right coronary artery,3655759,False,"No

Rationale: While occlusion of the posterior descending branch of the right coronary artery can contribute to the development of an acute myocardial infarction (AMI), it is not specific to the malady. AMI can result from occlusion of any of the coronary arteries, not just the posterior descending branch of the right coronary artery. Therefore, having this specific condition does not definitively mean that an individual has experienced an AMI."
