concept_name,concept_id,include,rationale
Post-infarction mural thrombus,4119606,True,"Yes, post-infarction mural thrombus is specific to Acute Myocardial Infarction (AMI). 

A post-infarction mural thrombus refers to a blood clot that forms on the damaged heart muscle following a heart attack. This condition is directly related to the pathophysiology of AMI, where the occlusion of a coronary artery leads to ischemia and necrosis of cardiac tissue. The formation of a thrombus in the area of myocardial infarction is a common complication of AMI and can increase the risk of further cardiovascular events such as stroke or pulmonary embolism. Therefore, if a patient has a post-infarction mural thrombus, it is highly likely that they have experienced an acute myocardial infarction."
Aneurysm of coronary vessels,316427,False,"No, an aneurysm of coronary vessels is not specific to Acute Myocardial Infarction (AMI). While an aneurysm of coronary vessels can be a complication of AMI, it can also occur due to other conditions such as atherosclerosis, connective tissue disorders, or infections. Therefore, having an aneurysm of coronary vessels does not definitively mean that a person has AMI."
Post-infarction hemopericardium,4119597,True,"Yes, post-infarction hemopericardium is specific to acute myocardial infarction. 

Post-infarction hemopericardium refers to the accumulation of blood in the pericardial sac following a myocardial infarction. This condition is a complication of acute myocardial infarction and occurs due to the rupture of the myocardium or a ventricular wall, leading to bleeding into the pericardial space. Therefore, if a patient has post-infarction hemopericardium, it is indicative of a prior acute myocardial infarction. On the other hand, not all patients with acute myocardial infarction will develop post-infarction hemopericardium, as it is a specific complication rather than a universal feature of the disease."
Stable angina due to coronary arteriosclerosis,37209632,False,"No

Rationale: Stable angina due to coronary arteriosclerosis is a chronic condition characterized by predictable chest pain or discomfort that occurs with exertion or emotional stress and is relieved by rest or nitroglycerin. It is caused by partial obstruction of coronary arteries due to arteriosclerosis, leading to reduced blood flow to the heart muscle. While stable angina is a risk factor for acute myocardial infarction (AMI), not all individuals with stable angina will go on to have a heart attack. Therefore, having stable angina due to coronary arteriosclerosis does not definitively mean that an individual will have an acute myocardial infarction."
Myocardial infarction due to atherothrombotic coronary artery disease,604179,True,"Yes, the condition ""Myocardial infarction due to atherothrombotic coronary artery disease"" is specific to the malady ""Acute Myocardial Infarction."" 

The condition specifically mentions the cause of the myocardial infarction being atherothrombotic coronary artery disease, which is a common underlying pathology leading to acute myocardial infarction. Therefore, if a person has this condition, they definitely have experienced an acute myocardial infarction. However, not all cases of acute myocardial infarction are due to atherothrombotic coronary artery disease, as there are other potential causes such as coronary artery spasm or embolism."
TIMI grade 3: complete perfusion,4161570,True,"Yes, the condition of TIMI grade 3: complete perfusion is specific to Acute Myocardial Infarction (AMI). 

The Thrombolysis In Myocardial Infarction (TIMI) grading system is used to assess the degree of coronary artery perfusion after a heart attack. A TIMI grade of 3 indicates complete perfusion of the affected coronary artery, which is a positive outcome following reperfusion therapy in the setting of AMI. Therefore, if a patient has TIMI grade 3 complete perfusion, it is highly indicative of AMI. However, it is important to note that not all patients with AMI will achieve TIMI grade 3, as this depends on various factors such as the extent of myocardial damage and the timeliness of intervention."
Single coronary vessel disease,4111393,True,"Yes, the condition of single coronary vessel disease is specific to the malady of Acute Myocardial Infarction. 

Rationale: Acute Myocardial Infarction (AMI) is caused by the sudden occlusion of a coronary artery, leading to ischemia and necrosis of cardiac tissue. Single coronary vessel disease refers to the presence of significant blockage or narrowing in one of the coronary arteries supplying blood to the heart. If a person has single coronary vessel disease, they are at increased risk of developing AMI if the blockage progresses to the point of causing a complete occlusion of the artery. Therefore, the presence of single coronary vessel disease is specific to the malady of Acute Myocardial Infarction."
Angina co-occurrent and due to coronary arteriosclerosis,36712983,True,"Yes, the condition ""Angina co-occurrent and due to coronary arteriosclerosis"" is specific to the malady of Acute Myocardial Infarction (AMI). 

Angina pectoris is chest pain or discomfort that occurs when the heart muscle does not receive enough blood flow, typically due to coronary artery disease (coronary arteriosclerosis). In the context of AMI, angina can be a warning sign of an impending heart attack. When angina is co-occurrent and due to coronary arteriosclerosis, it indicates that the underlying cause of the chest pain is related to atherosclerotic plaque buildup in the coronary arteries, which can lead to the sudden occlusion of a coronary artery and result in an acute myocardial infarction. Therefore, if a person has angina co-occurrent and due to coronary arteriosclerosis, they are at high risk for developing AMI."
Cardiac arrest due to cardiac disorder,4172822,True,"Yes, the condition ""Cardiac arrest due to cardiac disorder"" is specific to the malady Acute Myocardial Infarction (AMI). 

Cardiac arrest is a sudden loss of heart function, breathing, and consciousness, often caused by an underlying cardiac disorder such as AMI. In the case of AMI, the sudden occlusion of a coronary artery leads to ischemia and necrosis of cardiac tissue, which can result in cardiac arrest. Therefore, if a person experiences cardiac arrest due to a cardiac disorder, it is highly likely that the underlying cause is an acute myocardial infarction."
Heart disease,321588,False,"No, the condition ""heart disease"" is not specific to the malady of Acute Myocardial Infarction (AMI). Heart disease is a broad term that encompasses a range of conditions affecting the heart, including coronary artery disease, heart failure, arrhythmias, and more. While AMI is a type of heart disease, not all heart disease conditions involve the sudden occlusion of a coronary artery leading to myocardial infarction. Therefore, having heart disease does not definitively mean that an individual has experienced an acute myocardial infarction."
Silent myocardial infarction,4124686,True,"Yes, the condition of silent myocardial infarction is specific to the malady of Acute Myocardial Infarction. 

Silent myocardial infarction refers to a heart attack that occurs without the typical symptoms of chest pain or discomfort. It is often diagnosed incidentally on an electrocardiogram (ECG) or imaging study performed for other reasons. However, despite the absence of symptoms, silent myocardial infarctions still result in myocardial cell death and can lead to complications such as heart failure or arrhythmias. 

Since silent myocardial infarctions are a subtype of acute myocardial infarction, if a person has a silent myocardial infarction, they definitely have the malady of Acute Myocardial Infarction. On the other hand, not all cases of Acute Myocardial Infarction may present as silent, as many individuals experience the classic symptoms of chest pain or discomfort."
Acquired ventricular septal defect,42536633,False,"No

Rationale: Acquired ventricular septal defect is not specific to acute myocardial infarction. While a ventricular septal defect can occur as a complication of a heart attack due to the necrosis of cardiac tissue, it can also be caused by other factors such as infective endocarditis, trauma, or certain medical procedures. Therefore, the presence of an acquired ventricular septal defect does not definitively indicate the presence of acute myocardial infarction."
Triple vessel disease of the heart,4124682,True,"Yes, triple vessel disease of the heart is specific to Acute Myocardial Infarction. 

Triple vessel disease refers to the presence of significant blockages in all three major coronary arteries supplying blood to the heart. This condition increases the risk of developing acute myocardial infarction (heart attack) as it can lead to severe ischemia and necrosis of cardiac tissue. Therefore, if a person has triple vessel disease of the heart, they are at a higher risk of experiencing an acute myocardial infarction. However, not all individuals with acute myocardial infarction will necessarily have triple vessel disease, as there are other causes of heart attacks such as plaque rupture in a single coronary artery."
