"","Id","Code","Name","Class","Standard Concept Caption","Valid Start Date","Valid End Date","RC","DRC","PC","DPC","Domain","Vocabulary","Ancestors"
"","45766196","703307003","Acquired abnormality of pulmonary arterial tree","Clinical Finding","Standard","07/30/2014","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","618986","880041004","Acquired abnormality of right cardiac ventricle","Clinical Finding","Standard","01/30/2021","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","312927","49584005","Acute cor pulmonale","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","608954","15964661000119102","Acute cor pulmonale due to septic pulmonary embolism","Clinical Finding","Standard","01/30/2021","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","36716978","7361000175106","Acute on chronic hypercapnic respiratory failure","Clinical Finding","Standard","01/30/2017","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","37309625","16838951000119100","Acute on chronic right-sided congestive heart failure","Clinical Finding","Standard","01/30/2020","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4215446","80479009","Acute right-sided congestive heart failure","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4233424","359617009","Acute right-sided heart failure","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","440376","15993004","Alveolar hypoventilation","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","43021994","460612009","Arterial duct dependent pulmonary circulation","Clinical Finding","Standard","01/30/2013","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
