concept_name,concept_id,include,rationale
Measurement finding,4041436,False,"No, the condition ""Measurement finding"" is not specific to Pulmonary Hypertension. A measurement finding could refer to any type of measurement taken during a medical evaluation, such as blood pressure, heart rate, oxygen saturation, etc. While measurements such as elevated mean pulmonary arterial pressure (mPAP) greater than or equal to 20 mmHg at rest are indicative of Pulmonary Hypertension, the term ""Measurement finding"" is too broad and non-specific to definitively link to Pulmonary Hypertension. Additional clinical evaluation and diagnostic tests would be needed to confirm a diagnosis of Pulmonary Hypertension."
Hypertensive disorder,316866,False,"No

Rationale: A hypertensive disorder is a general term used to describe conditions characterized by high blood pressure. While pulmonary hypertension specifically refers to elevated blood pressure within the pulmonary vasculature, a hypertensive disorder can refer to high blood pressure in general, which can affect various parts of the body, not just the pulmonary vasculature. Therefore, having a hypertensive disorder does not necessarily mean that an individual has pulmonary hypertension."
Heart disease,321588,False,"No, the condition ""heart disease"" is not specific to the malady of Pulmonary Hypertension. Heart disease is a broad term that encompasses a variety of conditions affecting the heart, including coronary artery disease, heart failure, arrhythmias, and more. While Pulmonary Hypertension can lead to right ventricular dysfunction and heart failure, not all individuals with heart disease will develop Pulmonary Hypertension. Additionally, Pulmonary Hypertension can have various underlying causes beyond heart disease, such as connective tissue diseases, congenital heart defects, or chronic lung diseases. Therefore, having heart disease does not definitively mean that an individual has Pulmonary Hypertension."
Disorder of connective tissue,253549,True,"Yes, a disorder of connective tissue can be specific to Pulmonary Hypertension. Connective tissue diseases, such as systemic sclerosis (scleroderma) and systemic lupus erythematosus, are known to be associated with the development of Pulmonary Hypertension. In these cases, the presence of a connective tissue disorder can lead to the development of PH, making it a specific condition for this malady."
Complication,433128,False,"No, the condition ""Complication"" is not specific to Pulmonary Hypertension. Complications can arise from various medical conditions, including Pulmonary Hypertension, but having a complication does not definitively mean that a person has Pulmonary Hypertension. Complications are additional problems that can occur as a result of a primary disease or condition, and they can be seen in a wide range of medical situations. Therefore, the presence of a complication does not necessarily indicate the presence of Pulmonary Hypertension."
Disorder of lung,257907,False,"No. A disorder of the lung is a very broad and nonspecific condition that can encompass a wide range of pulmonary issues, such as infections, obstructive lung diseases, interstitial lung diseases, etc. While pulmonary hypertension can be associated with certain lung diseases, it is not specific to just a general disorder of the lung. Therefore, having a disorder of the lung does not definitively mean that a person has pulmonary hypertension."
Disorder of artery,321887,False,"No, the condition ""Disorder of artery"" is not specific to Pulmonary Hypertension. While Pulmonary Hypertension does involve elevated blood pressure within the pulmonary vasculature, it is a specific condition characterized by an increase in mean pulmonary arterial pressure (mPAP) greater than or equal to 20 mmHg at rest. The term ""Disorder of artery"" is too broad and could encompass a wide range of conditions affecting various arteries in the body, not just the pulmonary arteries as seen in Pulmonary Hypertension."
Sleep disorder,435524,False,"No, a sleep disorder is not specific to pulmonary hypertension. While patients with pulmonary hypertension may experience symptoms such as fatigue and difficulty sleeping due to their condition, having a sleep disorder does not definitively mean that a person has pulmonary hypertension. Sleep disorders can have various causes and are not exclusive to pulmonary hypertension."
Renal failure syndrome,192359,False,"No

Rationale: Renal failure syndrome is a condition related to kidney dysfunction, which can lead to various complications such as electrolyte imbalances, fluid overload, and metabolic disturbances. While renal failure syndrome can have systemic effects on the body, it is not specific to pulmonary hypertension. Pulmonary hypertension is primarily a condition affecting the pulmonary vasculature and right ventricular function, and while it can be associated with other conditions such as connective tissue diseases or congenital heart defects, renal failure syndrome is not a defining characteristic of pulmonary hypertension."
Heart failure,316139,True,"Yes, heart failure is specific to pulmonary hypertension. 

Rationale: Pulmonary hypertension can lead to right ventricular dysfunction and ultimately heart failure. Therefore, if a patient has pulmonary hypertension, they may develop heart failure as a complication of the condition. However, not all patients with heart failure will have pulmonary hypertension, as heart failure can have various causes other than pulmonary hypertension."
Chronic obstructive lung disease,255573,False,"No.

Rationale: Chronic obstructive lung disease (COPD) is a chronic inflammatory lung disease that causes obstructed airflow from the lungs. While COPD can lead to pulmonary hypertension as a complication, not all patients with COPD will develop pulmonary hypertension. Therefore, having COPD does not definitively mean that a person has pulmonary hypertension. On the other hand, pulmonary hypertension can be associated with various conditions, including COPD, but it is not specific to COPD."
Atrial fibrillation,313217,False,"No, atrial fibrillation is not specific to pulmonary hypertension. While atrial fibrillation can be seen in patients with pulmonary hypertension, it is not a defining characteristic of the condition. Atrial fibrillation is a common arrhythmia characterized by irregular and often rapid heart rate, which can occur in various cardiac and non-cardiac conditions. In the context of pulmonary hypertension, atrial fibrillation may develop as a result of right heart strain and dilation, but it is not a necessary component for the diagnosis of pulmonary hypertension. Therefore, having atrial fibrillation does not definitively mean that a person has pulmonary hypertension."
Chronic renal failure,198185,False,"No, chronic renal failure is not specific to pulmonary hypertension. While chronic renal failure can lead to various complications and comorbidities, it is not a defining characteristic of pulmonary hypertension. Pulmonary hypertension is primarily related to elevated blood pressure within the pulmonary vasculature and right ventricular dysfunction, rather than kidney dysfunction. Therefore, having chronic renal failure does not definitively mean that an individual has pulmonary hypertension."
Disorder of vein,4234997,False,"No, a disorder of the vein is not specific to Pulmonary Hypertension. While Pulmonary Hypertension is characterized by elevated blood pressure within the pulmonary vasculature, it specifically refers to the pulmonary arteries rather than veins. Additionally, a disorder of the vein could refer to a wide range of conditions affecting veins throughout the body, which may not necessarily be directly related to the pathophysiology of Pulmonary Hypertension."
Congestive heart failure,319835,False,"No

Rationale: While congestive heart failure can lead to right ventricular dysfunction and ultimately heart failure, it is not specific to pulmonary hypertension. There are various causes of congestive heart failure, including coronary artery disease, hypertension, and valvular heart disease, among others. Therefore, having congestive heart failure does not definitively mean that a person has pulmonary hypertension."
Chronic disease of cardiovascular system,4028244,False,"No, the condition ""Chronic disease of cardiovascular system"" is not specific to Pulmonary Hypertension. Pulmonary Hypertension is a specific condition characterized by elevated blood pressure within the pulmonary vasculature, leading to right ventricular dysfunction and ultimately heart failure. While Pulmonary Hypertension does involve the cardiovascular system, it is a distinct and specific condition that is not encompassed by a general term like ""Chronic disease of cardiovascular system."""
Heart valve disorder,4281749,False,"No, a heart valve disorder is not specific to Pulmonary Hypertension. While patients with Pulmonary Hypertension may develop right heart failure, which can lead to tricuspid valve regurgitation, a heart valve disorder is not a defining characteristic of Pulmonary Hypertension. Pulmonary Hypertension is primarily characterized by elevated blood pressure within the pulmonary vasculature, not by heart valve abnormalities."
