concept_name,concept_id,include,rationale
Jervell and Lange-Nielsen syndrome,4161597,True,"Yes, Jervell and Lange-Nielsen syndrome is specific to Pulmonary Hypertension.

Rationale:
Jervell and Lange-Nielsen syndrome is a rare autosomal recessive disorder characterized by congenital deafness and long QT interval on electrocardiogram, which predisposes affected individuals to life-threatening arrhythmias. In addition to these features, individuals with Jervell and Lange-Nielsen syndrome can also develop pulmonary hypertension. Therefore, if a person has Jervell and Lange-Nielsen syndrome, they definitely have the malady of Pulmonary Hypertension."
Atrioventricular septal defect and common atrioventricular junction,4100152,True,"Yes, the condition of Atrioventricular septal defect and common atrioventricular junction is specific to the malady of Pulmonary Hypertension.

Rationale:
Atrioventricular septal defect and common atrioventricular junction are congenital heart defects that can lead to increased pressure in the pulmonary vasculature, ultimately causing pulmonary hypertension. Patients with these conditions are at an increased risk of developing PH due to the abnormal blood flow and pressure within the heart and lungs. Therefore, if a patient has Atrioventricular septal defect and common atrioventricular junction, they are likely to develop Pulmonary Hypertension as a result."
Acute on chronic hypoxemic respiratory failure,37016114,False,"No

Rationale: Acute on chronic hypoxemic respiratory failure is a condition characterized by a sudden worsening of respiratory function in a patient with pre-existing chronic respiratory insufficiency. While pulmonary hypertension can lead to chronic hypoxemia and respiratory failure, not all patients with pulmonary hypertension will develop acute on chronic hypoxemic respiratory failure. Therefore, the presence of acute on chronic hypoxemic respiratory failure does not definitively indicate the presence of pulmonary hypertension."
Neonatal cardiac failure due to pulmonary overperfusion,37110330,True,"Yes, neonatal cardiac failure due to pulmonary overperfusion is specific to Pulmonary Hypertension. 

Neonatal cardiac failure due to pulmonary overperfusion is a condition where there is excessive blood flow to the lungs, leading to increased pressure in the pulmonary vasculature. This increased pressure can ultimately lead to right ventricular dysfunction and heart failure, which are characteristic features of Pulmonary Hypertension. Therefore, if a neonate presents with cardiac failure due to pulmonary overperfusion, it is highly likely that they have Pulmonary Hypertension."
Idiopathic acroosteolysis,4214861,False,"No, idiopathic acroosteolysis is not specific to pulmonary hypertension. Idiopathic acroosteolysis is a rare condition characterized by the resorption of the distal phalanges of the hands and feet, leading to bone loss and deformity. It is not directly related to the pathophysiology of pulmonary hypertension or its associated symptoms. While a patient with pulmonary hypertension may potentially have idiopathic acroosteolysis as a comorbidity, the presence of idiopathic acroosteolysis does not definitively indicate the presence of pulmonary hypertension."
Tricuspid papillary muscle abnormality,4100145,False,"No, a tricuspid papillary muscle abnormality is not specific to Pulmonary Hypertension. While tricuspid regurgitation can be a common finding in patients with Pulmonary Hypertension due to right ventricular dysfunction, a tricuspid papillary muscle abnormality alone does not definitively indicate the presence of Pulmonary Hypertension. Additional diagnostic evaluation, such as echocardiography and right heart catheterization, would be necessary to confirm the diagnosis of Pulmonary Hypertension in this case."
Idiopathic eosinophilic pneumonia,45769390,False,"No, idiopathic eosinophilic pneumonia is not specific to pulmonary hypertension. Idiopathic eosinophilic pneumonia is a rare inflammatory lung disease characterized by the accumulation of eosinophils in the lungs, leading to respiratory symptoms such as cough, dyspnea, and fever. While pulmonary hypertension can be associated with various conditions, including lung diseases, it is not a defining feature of idiopathic eosinophilic pneumonia. Therefore, having idiopathic eosinophilic pneumonia does not necessarily mean that a person will also have pulmonary hypertension."
Atrioventricular septal defect associated with tetralogy of Fallot,40487550,False,"No, the condition ""Atrioventricular septal defect associated with tetralogy of Fallot"" is not specific to Pulmonary Hypertension. While patients with congenital heart defects such as atrioventricular septal defect and tetralogy of Fallot may develop pulmonary hypertension as a complication, not all patients with these conditions will go on to develop PH. Pulmonary hypertension can have various etiologies, including but not limited to congenital heart defects. Therefore, having the condition does not definitively mean that the patient has the malady of Pulmonary Hypertension."
Langerhans cell histiocytosis,4278365,False,"No.

Rationale: Langerhans cell histiocytosis is a rare disorder characterized by the abnormal proliferation of Langerhans cells in various tissues. While it can affect the lungs and cause pulmonary involvement, it is not specific to pulmonary hypertension. Therefore, having Langerhans cell histiocytosis does not definitively mean that a person has pulmonary hypertension."
Heart failure as a complication of care,4124705,False,"No, heart failure as a complication of care is not specific to Pulmonary Hypertension. While heart failure can be a potential complication of Pulmonary Hypertension due to the strain on the right ventricle, it is not exclusive to this condition. Heart failure can have various causes such as coronary artery disease, hypertension, valvular heart disease, and other cardiomyopathies. Therefore, having heart failure as a complication of care does not definitively mean that a person has Pulmonary Hypertension."
Hypertrophy of tunica vaginalis,4323427,False,"No, hypertrophy of tunica vaginalis is not specific to Pulmonary Hypertension. Hypertrophy of tunica vaginalis refers to an enlargement of the tunica vaginalis, which is a membrane that covers the testis. This condition is not related to the pathophysiology of Pulmonary Hypertension, which involves elevated blood pressure in the pulmonary vasculature leading to right ventricular dysfunction and heart failure. Therefore, having hypertrophy of tunica vaginalis does not necessarily mean that a person has Pulmonary Hypertension."
Congenital ventricular septal defect,35625532,True,"Yes, a congenital ventricular septal defect is specific to pulmonary hypertension. 

A congenital ventricular septal defect is a type of congenital heart defect where there is an abnormal opening in the septum (wall) between the two lower chambers of the heart (ventricles). This defect can lead to increased blood flow to the lungs, causing pulmonary hypertension over time. In the context of the malady of pulmonary hypertension, having a congenital ventricular septal defect can definitely contribute to the development of pulmonary hypertension. Therefore, if a patient has a congenital ventricular septal defect, they may develop pulmonary hypertension as a result."
Cardiovascular system hereditary disorder,4179992,False,"No, the condition ""Cardiovascular system hereditary disorder"" is not specific to Pulmonary Hypertension. While Pulmonary Hypertension can be hereditary in some cases, not all hereditary cardiovascular disorders lead to Pulmonary Hypertension. There are various hereditary cardiovascular disorders that can present with different symptoms and complications, so having a hereditary cardiovascular disorder does not definitively mean that an individual will have Pulmonary Hypertension. Additional evaluation and testing would be needed to confirm the presence of Pulmonary Hypertension in a patient with a hereditary cardiovascular disorder."
Pulmonary artery stenosis,4317288,True,"Yes, pulmonary artery stenosis is specific to Pulmonary Hypertension. Pulmonary artery stenosis refers to a narrowing of the pulmonary artery, which can lead to increased pressure within the pulmonary vasculature. This increased pressure can contribute to the development of Pulmonary Hypertension. Therefore, if a patient has pulmonary artery stenosis, they may develop Pulmonary Hypertension as a result of this condition."
Heart disease,321588,False,"No, heart disease is not specific to pulmonary hypertension. While pulmonary hypertension can lead to right ventricular dysfunction and ultimately heart failure, heart disease is a broad term that encompasses a variety of conditions affecting the heart, including coronary artery disease, heart rhythm disorders, and structural heart defects. Pulmonary hypertension is a specific condition characterized by elevated blood pressure within the pulmonary vasculature, which can result from various underlying causes. Therefore, having heart disease does not definitively mean that an individual has pulmonary hypertension."
Fibrosclerosis - systemic,4343922,False,"No, fibrosclerosis - systemic is not specific to Pulmonary Hypertension. Fibrosclerosis is a condition characterized by the abnormal formation of fibrous tissue in various organs and tissues throughout the body. While fibrosis can occur in the lungs and contribute to pulmonary hypertension, it is not a specific indicator of the condition. Pulmonary Hypertension is specifically defined by elevated blood pressure within the pulmonary vasculature, which may or may not be associated with fibrosclerosis in other organs. Therefore, having fibrosclerosis - systemic does not definitively mean that an individual has Pulmonary Hypertension."
Inflammation of tunica vaginalis,42537652,False,"No, inflammation of the tunica vaginalis is not specific to pulmonary hypertension. Inflammation of the tunica vaginalis refers to inflammation of the serous membrane that covers the testis and is typically associated with conditions such as epididymitis or testicular torsion. It is not a known symptom or sign of pulmonary hypertension."
Malaligned outlet septum,4141179,False,"No, malaligned outlet septum is not specific to Pulmonary Hypertension. Malaligned outlet septum refers to a congenital heart defect where the outlet septum is not properly aligned, leading to abnormalities in the structure of the heart. While congenital heart defects can be associated with Pulmonary Hypertension, having a malaligned outlet septum does not definitively mean that a person has Pulmonary Hypertension. Further evaluation and testing would be needed to determine if Pulmonary Hypertension is present in a patient with a malaligned outlet septum."
Idiopathic chloasma,4196360,False,"No.

Rationale:
Idiopathic chloasma is a condition characterized by the development of brown patches on the skin, typically on the face. It is a benign condition that is not related to pulmonary hypertension. While patients with pulmonary hypertension may have skin changes as a result of decreased oxygenation, idiopathic chloasma is not a specific symptom or sign of pulmonary hypertension. Therefore, having idiopathic chloasma does not definitively indicate the presence of pulmonary hypertension."
Cardiac insufficiency during AND/OR resulting from a procedure,4233224,False,"No, cardiac insufficiency during and/or resulting from a procedure is not specific to Pulmonary Hypertension. While patients with Pulmonary Hypertension may develop right heart failure as a complication of the disease, cardiac insufficiency during or after a procedure can be caused by a variety of factors unrelated to PH, such as underlying heart disease, arrhythmias, or complications of the procedure itself. Therefore, the presence of cardiac insufficiency during or after a procedure does not definitively indicate the presence of Pulmonary Hypertension."
Induced termination of pregnancy complicated by cardiac failure,43530961,True,"Yes, the condition ""Induced termination of pregnancy complicated by cardiac failure"" is specific to the malady Pulmonary Hypertension. 

Pulmonary Hypertension can lead to right ventricular dysfunction and ultimately heart failure, which can be exacerbated by conditions such as induced termination of pregnancy. In this case, the cardiac failure complicating the induced termination of pregnancy would likely be due to the elevated blood pressure within the pulmonary vasculature characteristic of Pulmonary Hypertension. Therefore, if a patient has the condition of induced termination of pregnancy complicated by cardiac failure, they would definitely have the malady of Pulmonary Hypertension."
Sudden idiopathic hearing loss,37110393,False,"No.

Rationale: Sudden idiopathic hearing loss is not specific to pulmonary hypertension. While patients with pulmonary hypertension may have various symptoms such as dyspnea, fatigue, chest pain, syncope, and signs of right heart failure, sudden idiopathic hearing loss is not a common symptom associated with this condition. Therefore, the presence of sudden idiopathic hearing loss does not definitively indicate the presence of pulmonary hypertension."
Idiopathic choroidal neovascular membrane,4194320,False,"No, idiopathic choroidal neovascular membrane is not specific to Pulmonary Hypertension. Choroidal neovascular membrane is a condition involving the growth of abnormal blood vessels in the choroid layer of the eye, which can lead to vision loss. This condition is not directly related to the pathophysiology of Pulmonary Hypertension, and having idiopathic choroidal neovascular membrane does not necessarily mean that a person has Pulmonary Hypertension."
Abscess of connective tissue,4227090,False,"No, an abscess of connective tissue is not specific to Pulmonary Hypertension. An abscess of connective tissue is a localized collection of pus within the connective tissue, typically caused by a bacterial infection. This condition is not directly related to the pathophysiology of Pulmonary Hypertension, which involves elevated blood pressure in the pulmonary vasculature leading to right ventricular dysfunction and heart failure. While a patient with Pulmonary Hypertension may potentially develop an abscess of connective tissue as a secondary complication, the presence of an abscess of connective tissue does not definitively indicate the presence of Pulmonary Hypertension."
Chronic interstitial cystitis,75863,False,"No.

Rationale:
Chronic interstitial cystitis is a condition that affects the bladder, causing symptoms such as pelvic pain, urinary urgency, and frequency. It is not directly related to pulmonary hypertension, which primarily affects the pulmonary vasculature and right ventricular function. While patients with chronic interstitial cystitis may have other comorbidities, there is no direct link between these two conditions. Therefore, having chronic interstitial cystitis does not necessarily mean that a person has pulmonary hypertension."
Corneal stromal degeneration,4171880,False,"No

Rationale: Corneal stromal degeneration is a condition affecting the cornea of the eye, which is not directly related to pulmonary hypertension. While a patient with pulmonary hypertension may have other comorbidities or conditions, corneal stromal degeneration is not specific to pulmonary hypertension."
Cardiac anomaly and heterotaxy syndrome,36715118,False,"No, the condition ""Cardiac anomaly and heterotaxy syndrome"" is not specific to Pulmonary Hypertension. While patients with heterotaxy syndrome may have cardiac anomalies that can lead to pulmonary hypertension as a complication, not all patients with cardiac anomalies and heterotaxy syndrome will develop pulmonary hypertension. Pulmonary hypertension can have various causes, as mentioned in the description of the malady, and it is not solely linked to cardiac anomalies and heterotaxy syndrome. Therefore, having the condition does not definitively mean that the individual will have Pulmonary Hypertension."
Idiopathic aplastic anemia,4098145,False,"No, idiopathic aplastic anemia is not specific to pulmonary hypertension. Idiopathic aplastic anemia is a condition characterized by bone marrow failure, leading to a decrease in the production of red blood cells, white blood cells, and platelets. It is not directly related to the elevated blood pressure within the pulmonary vasculature seen in pulmonary hypertension. While patients with pulmonary hypertension may develop anemia as a secondary complication, the presence of idiopathic aplastic anemia does not definitively indicate the presence of pulmonary hypertension."
Tripartite right ventricle,40487478,False,"No, a tripartite right ventricle is not specific to pulmonary hypertension. While right ventricular dysfunction is a common feature of pulmonary hypertension, a tripartite right ventricle refers to a specific anatomical variation in the right ventricle where it is divided into three distinct parts. This anatomical variation can be present in individuals with or without pulmonary hypertension, and therefore having a tripartite right ventricle does not definitively indicate the presence of pulmonary hypertension. Additional diagnostic evaluation would be needed to confirm the diagnosis of pulmonary hypertension in a patient with a tripartite right ventricle."
